State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
AL,"Acadian Advantage, LLC",Bob Riley and Associates on behalf of HPC Specialty Pharmacy,FOURTH QUARTER REPORT,"$10,000.00",1/17/2020,2019
AL,"Acadian Advantage, LLC",Bob Riley and Associates on behalf of HPC Specialty Pharmacy,FOURTH QUARTER REPORT,"$15,000.00",1/30/2019,2018
AL,"Acadian Advantage, LLC",Bob Riley and Associates on behalf of HPC Specialty Pharmacy,FIRST QUARTER REPORT,"$15,000.00",4/17/2019,2019
AL,"Acadian Advantage, LLC",Bob Riley and Associates on behalf of HPC Specialty Pharmacy,SECOND QUARTER REPORT,"$15,000.00",7/18/2019,2019
AL,"Acadian Advantage, LLC",Bob Riley and Associates on behalf of HPC Specialty Pharmacy,THIRD QUARTER AMENDMENT,"$15,000.00",10/23/2018,2018
AL,"Acadian Advantage, LLC",Bob Riley and Associates on behalf of HPC Specialty Pharmacy,THIRD QUARTER REPORT,"$15,000.00",10/31/2019,2019
AL,"ADCOCK, MICHAEL W",COOPER GREEN HOSPITAL,YEAR-END TERMINATION,"$40,000.00",2/14/2001,2000
AL,"ADCOCK, MICHAEL W",COOPER GREEN HOSPITAL,YEAR-END REPORT,,2/16/2000,1999
AL,"ADCOCK, MICHAEL W",COOPER GREEN HOSPITAL,REGISTRATION,,7/12/1999,1999
AL,"ADCOCK, MICHAEL W",COOPER GREEN HOSPITAL,MID-YEAR REPORT,"$40,000.00",8/15/2000,2000
AL,"ADCOCK, MICHAEL W",COOPER GREEN HOSPITAL,MID-YEAR REPORT,"$20,000.00",8/16/1999,1999
AL,Alabama Farmers Federation,Alabama Farmers Federation,YEAR-END REPORT,"$40,000.00",3/29/2004,2003
AL,Alabama Farmers Federation,Alabama Farmers Federation,THIRD QUARTER REPORT,"$66,000.00",10/8/2009,2009
AL,Alabama Farmers Federation,Alabama Farmers Federation,THIRD QUARTER AMENDMENT,"$67,000.00",10/13/2009,2009
AL,"ALBRIGHT, SALLY L.",STILLMAN COLLEGE,REGISTRATION,,7/12/2000,2000
AL,ALSTON & BIRD LLP,HEALTH SOUTH CORPORATION,FOURTH QUARTER REPORT,"$110,000.00",1/20/2010,2009
AL,ALSTON & BIRD LLP,HEALTH SOUTH CORPORATION,YEAR-END REPORT,"$260,000.00",2/14/2006,2005
AL,ALSTON & BIRD LLP,HEALTH SOUTH CORPORATION,YEAR-END REPORT,"$20,000.00",2/17/2005,2004
AL,ALSTON & BIRD LLP,HEALTH SOUTH CORPORATION,FIRST QUARTER REPORT,"$110,000.00",4/20/2010,2010
AL,ALSTON & BIRD LLP,HEALTH SOUTH CORPORATION,SECOND QUARTER AMENDMENT,"$120,000.00",5/4/2012,2010
AL,ALSTON & BIRD LLP,HEALTH SOUTH CORPORATION,SECOND QUARTER REPORT,"$120,000.00",5/4/2012,2010
AL,ALSTON & BIRD LLP,HEALTH SOUTH CORPORATION,YEAR-END AMENDMENT,"$260,000.00",7/10/2006,2005
AL,ALSTON & BIRD LLP,HEALTH SOUTH CORPORATION,SECOND QUARTER REPORT,"$120,000.00",7/20/2010,2010
AL,ALSTON & BIRD LLP,HEALTH SOUTH CORPORATION,MID-YEAR REPORT,"$180,000.00",8/7/2006,2006
AL,ALSTON & BIRD LLP,HEALTH SOUTH CORPORATION,REGISTRATION,,9/16/2004,2004
AL,American Capitol Group,GENACO BIOMEDICAL,YEAR-END REPORT,"$40,000.00",1/15/2008,2007
AL,American Capitol Group,GENACO BIOMEDICAL,YEAR-END REPORT,"$40,000.00",1/17/2007,2006
AL,American Capitol Group,GENACO BIOMEDICAL,YEAR-END REPORT,"$20,000.00",2/6/2006,2005
AL,American Capitol Group,GENACO BIOMEDICAL,FIRST QUARTER TERMINATION,"$5,000.00",3/27/2008,2008
AL,American Capitol Group,GENACO BIOMEDICAL,MID-YEAR REPORT,"$20,000.00",6/7/2006,2006
AL,American Capitol Group,GENACO BIOMEDICAL,MID-YEAR REPORT,"$40,000.00",8/9/2007,2007
AL,American Capitol Group,GENACO BIOMEDICAL,REGISTRATION,,11/22/2005,2005
AL,Baker & Hostetler LLP,"NHS Management, L.L.C.",FOURTH QUARTER REPORT,"$20,000.00",1/12/2009,2008
AL,Baker & Hostetler LLP,"NHS Management, L.L.C.",FOURTH QUARTER REPORT,"$20,000.00",1/15/2010,2009
AL,Baker & Hostetler LLP,"NHS Management, L.L.C.",FOURTH QUARTER REPORT,"$20,000.00",1/19/2012,2011
AL,Baker & Hostetler LLP,"NHS Management, L.L.C.",FOURTH QUARTER REPORT,"$20,000.00",1/20/2011,2010
AL,Baker & Hostetler LLP,"NHS Management, L.L.C.",FIRST QUARTER REPORT,"$20,000.00",4/14/2009,2009
AL,Baker & Hostetler LLP,"NHS Management, L.L.C.",FIRST QUARTER REPORT,"$20,000.00",4/16/2010,2010
AL,Baker & Hostetler LLP,"NHS Management, L.L.C.",FIRST QUARTER REPORT,"$20,000.00",4/20/2011,2011
AL,Baker & Hostetler LLP,"NHS Management, L.L.C.",SECOND QUARTER REPORT,"$20,000.00",7/13/2009,2009
AL,Baker & Hostetler LLP,"NHS Management, L.L.C.",SECOND QUARTER REPORT,"$15,000.00",7/19/2010,2010
AL,Baker & Hostetler LLP,"NHS Management, L.L.C.",REGISTRATION,,9/23/2008,2008
AL,Baker & Hostetler LLP,"NHS Management, L.L.C.",THIRD QUARTER REPORT,"$20,000.00",10/7/2008,2008
AL,Baker & Hostetler LLP,"NHS Management, L.L.C.",THIRD QUARTER REPORT,"$20,000.00",10/12/2011,2011
AL,Baker & Hostetler LLP,"NHS Management, L.L.C.",THIRD QUARTER REPORT,"$20,000.00",10/19/2009,2009
