State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
AZ,"Abell, Henry & Associates, LLC",TriWest Healthcare Alliance,YEAR-END REPORT,,2/12/2008,2007
AZ,"Abell, Henry & Associates, LLC",TriWest Healthcare Alliance,MID-YEAR REPORT,"$10,000.00 ",7/13/2007,2007
AZ,"Abell, Henry & Associates, LLC",TriWest Healthcare Alliance,REGISTRATION,,7/13/2007,2007
AZ,"ALBERTINE ENTERPRISES, INC.",WORLD CHIROPRACTIC ALLIANCE,YEAR-END REPORT,"$15,000.00 ",1/3/2001,2000
AZ,"ALBERTINE ENTERPRISES, INC.",WORLD CHIROPRACTIC ALLIANCE,YEAR-END REPORT,"$15,000.00 ",1/9/2003,2002
AZ,"ALBERTINE ENTERPRISES, INC.",WORLD CHIROPRACTIC ALLIANCE,YEAR-END REPORT,"$30,000.00 ",1/11/2005,2004
AZ,"ALBERTINE ENTERPRISES, INC.",WORLD CHIROPRACTIC ALLIANCE,YEAR-END REPORT,,1/16/2008,2007
AZ,"ALBERTINE ENTERPRISES, INC.",WORLD CHIROPRACTIC ALLIANCE,YEAR-END REPORT,"$15,000.00 ",1/20/2004,2003
AZ,"ALBERTINE ENTERPRISES, INC.",WORLD CHIROPRACTIC ALLIANCE,YEAR-END REPORT,"$30,000.00 ",2/21/2006,2005
AZ,"ALBERTINE ENTERPRISES, INC.",WORLD CHIROPRACTIC ALLIANCE,MID-YEAR REPORT,"$30,000.00 ",6/7/2007,2006
AZ,"ALBERTINE ENTERPRISES, INC.",WORLD CHIROPRACTIC ALLIANCE,MID-YEAR REPORT,"$15,000.00 ",7/5/2000,2000
AZ,"ALBERTINE ENTERPRISES, INC.",WORLD CHIROPRACTIC ALLIANCE,MID-YEAR REPORT,"$15,000.00 ",7/9/2003,2003
AZ,"ALBERTINE ENTERPRISES, INC.",WORLD CHIROPRACTIC ALLIANCE,MID-YEAR REPORT,"$15,000.00 ",7/16/2002,2002
AZ,"ALBERTINE ENTERPRISES, INC.",WORLD CHIROPRACTIC ALLIANCE,MID-YEAR REPORT,"$15,000.00 ",7/17/2001,2001
AZ,"ALBERTINE ENTERPRISES, INC.",WORLD CHIROPRACTIC ALLIANCE,SECOND QUARTER REPORT,,7/18/2008,2008
AZ,"ALBERTINE ENTERPRISES, INC.",WORLD CHIROPRACTIC ALLIANCE,MID-YEAR REPORT,"$15,000.00 ",7/20/2004,2004
AZ,"ALBERTINE ENTERPRISES, INC.",WORLD CHIROPRACTIC ALLIANCE,MID-YEAR REPORT,"$30,000.00 ",7/22/2005,2005
AZ,"ALBERTINE ENTERPRISES, INC.",WORLD CHIROPRACTIC ALLIANCE,MID-YEAR REPORT,,8/22/2007,2007
AZ,"ALBERTINE ENTERPRISES, INC.",WORLD CHIROPRACTIC ALLIANCE,REGISTRATION,,12/29/1999,2000
AZ,ALSTON & BIRD LLP,Matrix Medical Network,FOURTH QUARTER REPORT,"$50,000.00 ",1/19/2016,2015
AZ,ALSTON & BIRD LLP,Matrix Medical Network,FOURTH QUARTER REPORT,"$50,000.00 ",1/23/2017,2016
AZ,ALSTON & BIRD LLP,Matrix Medical Network,REGISTRATION,,3/11/2015,2015
AZ,ALSTON & BIRD LLP,Matrix Medical Network,FIRST QUARTER REPORT,"$50,000.00 ",4/19/2015,2015
AZ,ALSTON & BIRD LLP,Matrix Medical Network,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2016,2016
AZ,ALSTON & BIRD LLP,Matrix Medical Network,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2017,2017
AZ,ALSTON & BIRD LLP,Matrix Medical Network,SECOND QUARTER REPORT,"$50,000.00 ",7/19/2015,2015
AZ,ALSTON & BIRD LLP,Matrix Medical Network,SECOND QUARTER REPORT,"$50,000.00 ",7/20/2016,2016
AZ,ALSTON & BIRD LLP,Matrix Medical Network,SECOND QUARTER TERMINATION,"$30,000.00 ",7/20/2017,2017
AZ,ALSTON & BIRD LLP,Matrix Medical Network,THIRD QUARTER REPORT,"$50,000.00 ",10/20/2015,2015
AZ,ALSTON & BIRD LLP,Matrix Medical Network,THIRD QUARTER REPORT,"$50,000.00 ",10/20/2016,2016
AZ,American Capitol Group,C-PATH INSTITUTE,FOURTH QUARTER REPORT,"$15,000.00 ",1/8/2018,2017
AZ,American Capitol Group,C-PATH INSTITUTE,FOURTH QUARTER REPORT,"$15,000.00 ",1/11/2017,2016
AZ,American Capitol Group,C-PATH INSTITUTE,FOURTH QUARTER REPORT,"$15,000.00 ",1/13/2016,2015
AZ,American Capitol Group,C-PATH INSTITUTE,FOURTH QUARTER REPORT,"$15,000.00 ",1/15/2015,2014
AZ,American Capitol Group,C-PATH INSTITUTE,FOURTH QUARTER REPORT,"$15,000.00 ",1/17/2019,2018
AZ,American Capitol Group,C-PATH INSTITUTE,FIRST QUARTER REPORT,"$15,000.00 ",4/5/2017,2017
AZ,American Capitol Group,C-PATH INSTITUTE,FIRST QUARTER REPORT,"$15,000.00 ",4/12/2018,2018
AZ,American Capitol Group,C-PATH INSTITUTE,FIRST QUARTER REPORT,"$15,000.00 ",4/19/2016,2016
AZ,American Capitol Group,C-PATH INSTITUTE,FIRST QUARTER REPORT,"$15,000.00 ",4/20/2015,2015
AZ,American Capitol Group,C-PATH INSTITUTE,FIRST QUARTER AMENDMENT,"$30,000.00 ",4/25/2008,2008
AZ,American Capitol Group,C-PATH INSTITUTE,REGISTRATION,,5/12/2005,2005
AZ,American Capitol Group,C-PATH INSTITUTE,SECOND QUARTER REPORT,"$15,000.00 ",7/6/2017,2017
AZ,American Capitol Group,C-PATH INSTITUTE,SECOND QUARTER REPORT,"$15,000.00 ",7/9/2018,2018
AZ,American Capitol Group,C-PATH INSTITUTE,SECOND QUARTER REPORT,"$15,000.00 ",7/11/2016,2016
AZ,American Capitol Group,C-PATH INSTITUTE,SECOND QUARTER REPORT,"$30,000.00 ",7/12/2012,2012
AZ,American Capitol Group,C-PATH INSTITUTE,SECOND QUARTER REPORT,"$15,000.00 ",7/13/2015,2015
AZ,American Capitol Group,C-PATH INSTITUTE,SECOND QUARTER REPORT,"$15,000.00 ",7/15/2014,2014
AZ,American Capitol Group,C-PATH INSTITUTE,MID-YEAR REPORT,"$20,000.00 ",7/29/2005,2005
AZ,American Capitol Group,C-PATH INSTITUTE,MID-YEAR REPORT,"$80,000.00 ",8/8/2007,2007
AZ,American Capitol Group,C-PATH INSTITUTE,YEAR-END REPORT,"$80,000.00 ",8/8/2007,2007
AZ,American Capitol Group,C-PATH INSTITUTE,THIRD QUARTER REPORT,"$15,000.00 ",10/3/2018,2018
AZ,American Capitol Group,C-PATH INSTITUTE,THIRD QUARTER REPORT,"$20,000.00 ",10/10/2012,2012
AZ,American Capitol Group,C-PATH INSTITUTE,THIRD QUARTER REPORT,"$15,000.00 ",10/17/2014,2014
AZ,American Capitol Group,C-PATH INSTITUTE,THIRD QUARTER REPORT,"$15,000.00 ",10/19/2017,2017
AZ,American Capitol Group,C-PATH INSTITUTE,THIRD QUARTER REPORT,"$15,000.00 ",10/22/2015,2015
AZ,American Capitol Group,C-PATH INSTITUTE,THIRD QUARTER REPORT,"$15,000.00 ",10/24/2016,2016
AZ,American Continental Group,"Bioptics, Inc.",REGISTRATION AMENDMENT,,4/9/2009,2008
AZ,American Continental Group,"Bioptics, Inc.",FIRST QUARTER REPORT,"$20,000.00 ",4/19/2008,2008
AZ,American Continental Group,"Bioptics, Inc.",SECOND QUARTER REPORT,"$20,000.00 ",7/19/2008,2008
AZ,American Continental Group,"Bioptics, Inc.",THIRD QUARTER TERMINATION,"$10,000.00 ",10/15/2008,2008
AZ,"American Defense International, Inc.","Dental Sticks, Inc.",REGISTRATION,,1/20/2015,2015
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,FOURTH QUARTER REPORT,"$40,000.00 ",1/6/2014,2013
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,FOURTH QUARTER REPORT,"$30,000.00 ",1/10/2012,2011
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,FOURTH QUARTER REPORT,"$40,000.00 ",1/12/2015,2014
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,FOURTH QUARTER REPORT,"$30,000.00 ",1/14/2011,2010
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,FOURTH QUARTER REPORT,"$40,000.00 ",1/17/2017,2016
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,FOURTH QUARTER REPORT,"$30,000.00 ",1/22/2018,2017
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,THIRD QUARTER REPORT,"$20,000.00 ",1/22/2018,2017
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,FOURTH QUARTER REPORT,"$30,000.00 ",1/24/2013,2012
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,FOURTH QUARTER REPORT,"$40,000.00 ",1/26/2019,2018
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,FOURTH QUARTER REPORT,"$29,200.00 ",1/27/2010,2009
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,FOURTH QUARTER REPORT,"$28,140.00 ",2/6/2009,2008
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,YEAR-END REPORT,"$51,000.00 ",2/7/2008,2007
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,FOURTH QUARTER REPORT,"$40,000.00 ",2/26/2016,2015
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,YEAR-END REPORT,"$150,000.00 ",2/27/2003,2002
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,YEAR-END REPORT,"$46,000.00 ",3/5/2007,2006
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,YEAR-END REPORT,"$120,000.00 ",3/9/2004,2003
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,YEAR-END REPORT,"$85,000.00 ",3/27/2006,2005
AZ,Arizona State University,ARIZONA STATE UNIVERSITY,FIRST QUARTER REPORT,"$40,000.00 ",4/3/2017,2017
