State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
CO,121 Strategies & Government Relations,"BioScrip, Inc.",REGISTRATION,,1/3/2017,2016
CO,121 Strategies & Government Relations,"BioScrip, Inc.",FOURTH QUARTER REPORT,,1/23/2017,2016
CO,121 Strategies & Government Relations,"BioScrip, Inc.",FIRST QUARTER TERMINATION,"$20,000.00 ",4/20/2017,2017
CO,"Abell, Henry & Associates, LLC",Spectrum Healthcare Resources,YEAR-END REPORT,"$20,000.00 ",2/1/2008,2007
CO,"Abell, Henry & Associates, LLC",Spectrum Healthcare Resources,FIRST QUARTER AMENDMENT,,4/18/2008,2008
CO,"Abell, Henry & Associates, LLC",Spectrum Healthcare Resources,FIRST QUARTER REPORT,,4/18/2008,2008
CO,"Abell, Henry & Associates, LLC",Spectrum Healthcare Resources,FIRST QUARTER AMENDMENT,,5/4/2008,2008
CO,"Abell, Henry & Associates, LLC",Spectrum Healthcare Resources,SECOND QUARTER REPORT,,6/26/2008,2008
CO,"Abell, Henry & Associates, LLC",Spectrum Healthcare Resources,MID-YEAR REPORT,"$20,000.00 ",7/13/2007,2007
CO,"Abell, Henry & Associates, LLC",Spectrum Healthcare Resources,REGISTRATION,,7/13/2007,2007
CO,"Abell, Henry & Associates, LLC",Spectrum Healthcare Resources,THIRD QUARTER REPORT,,10/3/2008,2008
CO,Akerman LLP,WESTMORELAND COAL COMPANY,FOURTH QUARTER REPORT,,1/12/2010,2009
CO,Akerman LLP,WESTMORELAND COAL COMPANY,REGISTRATION,,6/19/2009,2009
CO,Akerman LLP,WESTMORELAND COAL COMPANY,SECOND QUARTER REPORT,,7/10/2009,2009
CO,Akerman LLP,WESTMORELAND COAL COMPANY,THIRD QUARTER REPORT,,10/14/2009,2009
CO,Akin Gump Strauss Hauer & Feld,"Charlotte's Web, Inc.",FOURTH QUARTER REPORT,"$80,000.00 ",1/20/2020,2019
CO,Akin Gump Strauss Hauer & Feld,"Charlotte's Web, Inc.",REGISTRATION,,11/22/2019,2019
CO,Akin Gump Strauss Hauer & Feld,"Charlotte's Web, Inc.",REGISTRATION AMENDMENT,,12/5/2019,2019
CO,Akin Gump Strauss Hauer & Feld,"Resurgent Health and Medical, LLC",FOURTH QUARTER REPORT,"$40,000.00 ",1/19/2012,2011
CO,Akin Gump Strauss Hauer & Feld,"Resurgent Health and Medical, LLC",REGISTRATION,,3/31/2011,2011
CO,Akin Gump Strauss Hauer & Feld,"Resurgent Health and Medical, LLC",FIRST QUARTER REPORT,"$60,000.00 ",4/18/2011,2011
CO,Akin Gump Strauss Hauer & Feld,"Resurgent Health and Medical, LLC",FIRST QUARTER REPORT,"$60,000.00 ",4/20/2012,2012
CO,Akin Gump Strauss Hauer & Feld,"Resurgent Health and Medical, LLC",SECOND QUARTER REPORT,"$60,000.00 ",7/16/2011,2011
CO,Akin Gump Strauss Hauer & Feld,"Resurgent Health and Medical, LLC",SECOND QUARTER REPORT,"$40,000.00 ",7/19/2012,2012
CO,Akin Gump Strauss Hauer & Feld,"Resurgent Health and Medical, LLC",THIRD QUARTER REPORT,"$20,000.00 ",10/20/2011,2011
CO,Akin Gump Strauss Hauer & Feld,"Resurgent Health and Medical, LLC",THIRD QUARTER REPORT,"$20,000.00 ",10/20/2012,2012
CO,ALSTON & BIRD LLP,Air Methods Corporation,REGISTRATION,,2/17/2017,2017
CO,ALSTON & BIRD LLP,Air Methods Corporation,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2017,2017
CO,ALSTON & BIRD LLP,Air Methods Corporation,SECOND QUARTER TERMINATION,"$30,000.00 ",7/20/2017,2017
CO,ALSTON & BIRD LLP,Colorado Hospital Association,FOURTH QUARTER REPORT,"$20,000.00 ",1/21/2020,2019
CO,ALSTON & BIRD LLP,Colorado Hospital Association,FOURTH QUARTER REPORT,"$20,000.00 ",1/22/2019,2018
CO,ALSTON & BIRD LLP,Colorado Hospital Association,REGISTRATION,,2/13/2018,2018
