State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
FL,"ADP TotalSource, Inc.","ADP TotalSource, Inc.",FIRST QUARTER REPORT,"$100,000.00 ",4/18/2014,2014
FL,"ADP TotalSource, Inc.","ADP TotalSource, Inc.",FIRST QUARTER REPORT,"$100,000.00 ",4/20/2015,2015
FL,"ADP TotalSource, Inc.","ADP TotalSource, Inc.",FIRST QUARTER REPORT,"$40,000.00 ",4/20/2016,2016
FL,"ADP TotalSource, Inc.","ADP TotalSource, Inc.",FIRST QUARTER REPORT,"$100,000.00 ",4/22/2013,2013
FL,"ADP TotalSource, Inc.","ADP TotalSource, Inc.",FIRST QUARTER REPORT,"$210,000.00 ",7/5/2012,2012
FL,"ADP TotalSource, Inc.","ADP TotalSource, Inc.",FIRST QUARTER AMENDMENT,"$200,000.00 ",7/23/2012,2012
FL,"Aim, LLC",TherapeuticsMD,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2016,2016
FL,"Aim, LLC",TherapeuticsMD,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2017,2017
FL,"Aim, LLC",TherapeuticsMD,FIRST QUARTER REPORT,,4/24/2018,2018
FL,Akerman LLP,JACKSON HEALTH SYSTEM,FIRST QUARTER REPORT,"$60,000.00 ",4/13/2011,2011
FL,Akerman LLP,JACKSON HEALTH SYSTEM,FIRST QUARTER REPORT,"$10,000.00 ",4/15/2010,2010
FL,Akerman LLP,JACKSON HEALTH SYSTEM,FIRST QUARTER REPORT,"$40,000.00 ",4/16/2009,2009
FL,Akerman LLP,Martin Memorial Health Systems,FIRST QUARTER REPORT,"$20,000.00 ",4/13/2011,2011
FL,Akerman LLP,Martin Memorial Health Systems,FIRST QUARTER TERMINATION,"$10,000.00 ",4/18/2012,2012
FL,Akerman LLP,Martin Memorial Health Systems,FIRST QUARTER REPORT,"$20,000.00 ",10/13/2010,2010
FL,Akerman LLP,MIAMI CHILDREN'S HOSPITAL,FIRST QUARTER REPORT,"$15,000.00 ",4/13/2011,2011
FL,Akerman LLP,MIAMI CHILDREN'S HOSPITAL,FIRST QUARTER REPORT,"$20,000.00 ",4/15/2010,2010
FL,Akerman LLP,MIAMI CHILDREN'S HOSPITAL,FIRST QUARTER REPORT,"$20,000.00 ",4/17/2012,2012
FL,Akerman LLP,MIAMI DADE COUNTY,FIRST QUARTER TERMINATION,"$20,000.00 ",4/15/2010,2010
FL,Akerman LLP,MIAMI DADE COUNTY,FIRST QUARTER REPORT,"$20,000.00 ",4/15/2015,2015
FL,Akerman LLP,MIAMI DADE COUNTY,FIRST QUARTER REPORT,"$20,000.00 ",4/16/2009,2009
FL,Akerman LLP,MIAMI DADE COUNTY,FIRST QUARTER REPORT,"$40,000.00 ",4/17/2012,2012
FL,Akerman LLP,MIAMI DADE COUNTY,FIRST QUARTER REPORT,"$20,000.00 ",4/18/2013,2013
FL,Akerman LLP,MIAMI DADE COUNTY,FIRST QUARTER REPORT,"$30,000.00 ",4/19/2019,2019
FL,Akerman LLP,MIAMI DADE COUNTY,FIRST QUARTER REPORT,,4/20/2011,2011
FL,Akerman LLP,MIAMI DADE COUNTY,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2016,2016
FL,Akerman LLP,MIAMI DADE COUNTY,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2017,2017
FL,Akerman LLP,MIAMI DADE COUNTY,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2018,2018
FL,Akerman LLP,MIAMI DADE COUNTY,FIRST QUARTER REPORT,"$20,000.00 ",4/21/2014,2014
FL,Akerman LLP,PHARMERICA,FIRST QUARTER REPORT,"$10,000.00 ",4/15/2008,2008
FL,Akerman LLP,PHARMERICA,FIRST QUARTER TERMINATION,"$10,000.00 ",4/15/2009,2009
FL,Akerman LLP,PHARMERICA,FIRST QUARTER TERMINATION AMENDMENT,"$10,000.00 ",12/23/2009,2009
FL,Akerman LLP,SEMINOLE TRIBE OF FLORIDA,FIRST QUARTER REPORT,"$30,000.00 ",4/16/2012,2012
FL,Akerman LLP,SHANDS HEALTHCARE,FIRST QUARTER REPORT,"$40,000.00 ",4/15/2010,2010
FL,Akerman LLP,SHANDS HEALTHCARE,FIRST QUARTER REPORT,"$50,000.00 ",4/16/2009,2009
