State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
GA,A. L. Rush and Associates,CADUCEUS OCCUPATION MEDICINE,REGISTRATION,,1/6/2009,2009
GA,A. L. Rush and Associates,CADUCEUS OCCUPATION MEDICINE,FIRST QUARTER REPORT,"$14,400.00 ",4/28/2009,2009
GA,"Active Policy Solutions, LLC",National Council of Youth Sports (NCYS),FOURTH QUARTER REPORT,,1/3/2020,2019
GA,Advantage Associates International,GLOBERXCOM,REGISTRATION,,9/20/1999,1999
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FOURTH QUARTER REPORT,"$1,210,000.00 ",1/18/2010,2009
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FOURTH QUARTER REPORT,"$1,120,000.00 ",1/19/2012,2011
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FOURTH QUARTER REPORT,"$1,000,000.00 ",1/20/2011,2010
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FOURTH QUARTER REPORT,"$830,000.00 ",1/21/2009,2008
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FOURTH QUARTER REPORT,,1/21/2014,2013
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FOURTH QUARTER REPORT,"$1,300,000.00 ",1/21/2020,2019
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FOURTH QUARTER REPORT,"$1,610,000.00 ",1/22/2013,2012
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FOURTH QUARTER REPORT,"$820,000.00 ",1/22/2019,2018
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,YEAR-END REPORT,"$660,000.00 ",2/10/2000,1999
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,YEAR-END REPORT,"$68,000.00 ",2/11/2002,2001
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,YEAR-END REPORT,"$1,500,000.00 ",2/11/2003,2002
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,YEAR-END REPORT,"$820,000.00 ",2/13/2001,2000
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,YEAR-END REPORT,"$1,280,000.00 ",2/13/2004,2003
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,YEAR-END REPORT,"$2,000,000.00 ",2/13/2006,2005
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,YEAR-END REPORT,"$2,020,000.00 ",2/13/2007,2006
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,YEAR-END REPORT,"$2,100,000.00 ",2/14/2005,2004
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,YEAR-END REPORT,"$1,740,000.00 ",2/14/2008,2007
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FIRST QUARTER REPORT,"$980,000.00 ",4/20/2009,2009
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FIRST QUARTER REPORT,"$1,240,000.00 ",4/20/2010,2010
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FIRST QUARTER REPORT,"$1,020,000.00 ",4/20/2011,2011
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FIRST QUARTER REPORT,"$1,140,000.00 ",4/20/2012,2012
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FIRST QUARTER REPORT,"$950,000.00 ",4/21/2008,2008
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FIRST QUARTER REPORT,"$1,080,000.00 ",4/21/2014,2014
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FIRST QUARTER REPORT,"$1,360,000.00 ",4/22/2013,2013
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FIRST QUARTER REPORT,"$1,210,000.00 ",4/22/2019,2019
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,SECOND QUARTER REPORT,"$780,000.00 ",7/17/2009,2009
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,SECOND QUARTER REPORT,"$880,000.00 ",7/18/2008,2008
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,SECOND QUARTER REPORT,"$1,270,000.00 ",7/20/2010,2010
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,SECOND QUARTER REPORT,"$940,000.00 ",7/20/2011,2011
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,SECOND QUARTER REPORT,"$910,000.00 ",7/20/2012,2012
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,SECOND QUARTER REPORT,"$1,080,000.00 ",7/20/2018,2018
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,SECOND QUARTER REPORT,"$980,000.00 ",7/21/2014,2014
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,SECOND QUARTER REPORT,"$1,250,000.00 ",7/22/2013,2013
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,SECOND QUARTER REPORT,"$1,370,000.00 ",7/22/2019,2019
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,MID-YEAR REPORT,"$1,840,000.00 ",7/24/2006,2006
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,FOURTH QUARTER AMENDMENT,"$1,210,000.00 ",7/29/2010,2009
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,MID-YEAR REPORT,"$640,000.00 ",8/9/1999,1999
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,MID-YEAR REPORT,"$940,000.00 ",8/13/2001,2001
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,MID-YEAR REPORT,"$780,000.00 ",8/14/2000,2000
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,MID-YEAR REPORT,"$800,000.00 ",8/14/2002,2002
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,MID-YEAR REPORT,"$1,040,000.00 ",8/14/2003,2003
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,MID-YEAR REPORT,"$2,000,000.00 ",8/14/2007,2007
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,MID-YEAR REPORT,"$2,000,000.00 ",8/15/2005,2005
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,MID-YEAR REPORT,"$2,100,000.00 ",8/16/2004,2004
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,THIRD QUARTER REPORT,"$1,020,000.00 ",10/13/2009,2009
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,THIRD QUARTER REPORT,"$910,000.00 ",10/20/2008,2008
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,THIRD QUARTER REPORT,"$1,150,000.00 ",10/20/2010,2010
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,THIRD QUARTER REPORT,"$810,000.00 ",10/20/2011,2011
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,THIRD QUARTER REPORT,"$960,000.00 ",10/20/2014,2014
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,THIRD QUARTER REPORT,"$1,150,000.00 ",10/21/2013,2013
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,THIRD QUARTER REPORT,"$1,100,000.00 ",10/21/2019,2019
GA,AFLAC INCORPORATED,AFLAC INCORPORATED,THIRD QUARTER REPORT,"$1,220,000.00 ",10/22/2012,2012
GA,AGCO Corporation,AGCO Corporation,FIRST QUARTER REPORT,"$490,000.00 ",4/22/2013,2013
GA,Akerman LLP,INNER HARBOUR,REGISTRATION,,6/3/2009,2009
GA,Akerman LLP,INNER HARBOUR,SECOND QUARTER REPORT,"$10,000.00 ",7/10/2009,2009
GA,Akerman LLP,INNER HARBOUR,THIRD QUARTER TERMINATION,"$10,000.00 ",10/22/2009,2009
GA,Akin Gump Strauss Hauer & Feld,"Alton Healthcare, LLC",FIRST QUARTER TERMINATION,"$10,000.00 ",4/22/2019,2019
GA,Akin Gump Strauss Hauer & Feld,"Alton Healthcare, LLC",REGISTRATION,,9/14/2018,2018
GA,Akin Gump Strauss Hauer & Feld,"Alton Healthcare, LLC",THIRD QUARTER REPORT,"$40,000.00 ",10/22/2018,2018
GA,Akin Gump Strauss Hauer & Feld,Asian American Hotel Owners Association,FOURTH QUARTER REPORT,"$20,000.00 ",1/18/2015,2014
GA,Akin Gump Strauss Hauer & Feld,Asian American Hotel Owners Association,FIRST QUARTER REPORT,"$20,000.00 ",4/18/2015,2015
GA,Akin Gump Strauss Hauer & Feld,Asian American Hotel Owners Association,REGISTRATION,,7/9/2014,2014
GA,Akin Gump Strauss Hauer & Feld,Asian American Hotel Owners Association,SECOND QUARTER REPORT,"$20,000.00 ",7/20/2015,2015
GA,Akin Gump Strauss Hauer & Feld,Asian American Hotel Owners Association,SECOND QUARTER REPORT,,7/21/2014,2014
GA,Akin Gump Strauss Hauer & Feld,Asian American Hotel Owners Association,THIRD QUARTER REPORT,"$30,000.00 ",10/20/2014,2014
GA,Akin Gump Strauss Hauer & Feld,Asian American Hotel Owners Association,THIRD QUARTER REPORT,"$20,000.00 ",10/20/2015,2015
GA,Akin Gump Strauss Hauer & Feld,CHOICEPOINT,YEAR-END REPORT,"$300,000.00 ",2/13/2006,2005
GA,Akin Gump Strauss Hauer & Feld,CHOICEPOINT,YEAR-END REPORT,"$320,000.00 ",2/13/2007,2006
GA,Akin Gump Strauss Hauer & Feld,CHOICEPOINT,MID-YEAR REPORT,"$320,000.00 ",7/29/2006,2006
GA,Akin Gump Strauss Hauer & Feld,CHOICEPOINT,MID-YEAR REPORT,"$240,000.00 ",8/11/2007,2007
GA,Akin Gump Strauss Hauer & Feld,CHOICEPOINT,MID-YEAR REPORT,"$260,000.00 ",8/22/2005,2005
GA,Akin Gump Strauss Hauer & Feld,CRYOLIFE INC,YEAR-END REPORT,"$20,000.00 ",2/15/2005,2004
GA,Akin Gump Strauss Hauer & Feld,CRYOLIFE INC,YEAR-END REPORT,"$20,000.00 ",2/17/2004,2003
GA,Akin Gump Strauss Hauer & Feld,CRYOLIFE INC,REGISTRATION,,7/11/2003,2003
GA,Akin Gump Strauss Hauer & Feld,CRYOLIFE INC,MID-YEAR REPORT,"$20,000.00 ",8/14/2003,2003
GA,Akin Gump Strauss Hauer & Feld,CRYOLIFE INC,MID-YEAR REPORT,"$40,000.00 ",8/17/2004,2004
GA,Akin Gump Strauss Hauer & Feld,CRYOLIFE INC,MID-YEAR REPORT,"$20,000.00 ",8/22/2005,2005
GA,Akin Gump Strauss Hauer & Feld,Equifax Inc.,FOURTH QUARTER REPORT,"$40,000.00 ",1/19/2018,2017
GA,Akin Gump Strauss Hauer & Feld,Equifax Inc.,FOURTH QUARTER REPORT,"$40,000.00 ",1/20/2016,2015
GA,Akin Gump Strauss Hauer & Feld,Equifax Inc.,REGISTRATION,,3/26/2015,2015
GA,Akin Gump Strauss Hauer & Feld,Equifax Inc.,FIRST QUARTER REPORT,"$30,000.00 ",4/18/2015,2015
GA,Akin Gump Strauss Hauer & Feld,Equifax Inc.,FIRST QUARTER REPORT,"$40,000.00 ",4/19/2016,2016
GA,Akin Gump Strauss Hauer & Feld,Equifax Inc.,SECOND QUARTER REPORT,"$40,000.00 ",7/18/2016,2016
GA,Akin Gump Strauss Hauer & Feld,Equifax Inc.,SECOND QUARTER REPORT,"$40,000.00 ",7/19/2017,2017
GA,Akin Gump Strauss Hauer & Feld,Equifax Inc.,SECOND QUARTER REPORT,"$40,000.00 ",7/20/2015,2015
GA,Akin Gump Strauss Hauer & Feld,Equifax Inc.,THIRD QUARTER REPORT,"$40,000.00 ",10/17/2015,2015
GA,Akin Gump Strauss Hauer & Feld,Equifax Inc.,THIRD QUARTER REPORT,"$40,000.00 ",10/19/2017,2017
GA,Akin Gump Strauss Hauer & Feld,"Fletcher Group, Inc.",FOURTH QUARTER REPORT,"$30,000.00 ",1/22/2019,2018
GA,Akin Gump Strauss Hauer & Feld,"Fletcher Group, Inc.",FIRST QUARTER REPORT,"$20,000.00 ",4/22/2019,2019
GA,Akin Gump Strauss Hauer & Feld,"Fletcher Group, Inc.",REGISTRATION,,7/20/2018,2018
GA,Akin Gump Strauss Hauer & Feld,"Fletcher Group, Inc.",SECOND QUARTER REPORT,"$20,000.00 ",7/22/2019,2019
GA,Akin Gump Strauss Hauer & Feld,"Fletcher Group, Inc.",SECOND QUARTER REPORT,"$10,000.00 ",7/23/2018,2018
GA,Akin Gump Strauss Hauer & Feld,"Fletcher Group, Inc.",THIRD QUARTER REPORT,"$20,000.00 ",10/20/2019,2019
GA,Akin Gump Strauss Hauer & Feld,"Fletcher Group, Inc.",THIRD QUARTER REPORT,"$20,000.00 ",10/22/2018,2018
