State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
HI,"Cassidy & Associates, Inc.",QUEEN EMMA FOUNDATION,REGISTRATION AMENDMENT,,5/1/2001,2001
HI,"Cassidy & Associates, Inc.",QUEEN EMMA FOUNDATION,MID-YEAR TERMINATION (NO ACTIVITY),,8/14/2002,2002
HI,"Cassidy & Associates, Inc.",QUEEN EMMA FOUNDATION,MID-YEAR REPORT,"$60,000.00 ",8/16/1999,1999
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,FOURTH QUARTER REPORT,"$10,000.00 ",1/6/2017,2016
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,FOURTH QUARTER REPORT,"$10,000.00 ",1/7/2019,2018
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,FOURTH QUARTER REPORT,"$10,000.00 ",1/10/2018,2017
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,FOURTH QUARTER REPORT,,1/12/2012,2011
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,FOURTH QUARTER REPORT,"$10,000.00 ",1/14/2016,2015
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,FOURTH QUARTER REPORT,"$10,000.00 ",1/14/2020,2019
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,FIRST QUARTER REPORT,,4/6/2012,2012
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,FIRST QUARTER REPORT,"$10,000.00 ",4/6/2016,2016
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,FIRST QUARTER REPORT,"$10,000.00 ",4/11/2017,2017
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,FIRST QUARTER REPORT,"$10,000.00 ",4/11/2018,2018
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,FIRST QUARTER REPORT,"$10,000.00 ",4/11/2019,2019
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,SECOND QUARTER REPORT,"$10,000.00 ",7/9/2019,2019
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,SECOND QUARTER REPORT,"$10,000.00 ",7/11/2018,2018
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,SECOND QUARTER REPORT,"$10,000.00 ",7/12/2017,2017
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,SECOND QUARTER REPORT,"$10,000.00 ",7/13/2016,2016
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,THIRD QUARTER REPORT,"$10,000.00 ",10/4/2019,2019
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,THIRD QUARTER REPORT,"$10,000.00 ",10/6/2017,2017
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,THIRD QUARTER REPORT,"$10,000.00 ",10/10/2018,2018
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,REGISTRATION,,10/13/2010,2010
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,THIRD QUARTER REPORT,"$10,000.00 ",10/14/2015,2015
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,THIRD QUARTER REPORT,"$10,000.00 ",10/14/2016,2016
HI,Health and Medicine Counsel of Washington,U.S. Hereditary Angioedema Association,THIRD QUARTER REPORT,,10/15/2010,2010
HI,"HUDSON ASSOC, R.J.",ST FRANCIS MEDICAL GROUP,REGISTRATION,,4/6/2004,2003
HI,"McAllister & Quinn, LLC",HAWAII MEDICAL SERVICE ASSOCIATION BLUE CROSS BLUE SHIELD OF HAWAII,REGISTRATION,,1/6/2009,2009
HI,"McAllister & Quinn, LLC",HAWAII MEDICAL SERVICE ASSOCIATION BLUE CROSS BLUE SHIELD OF HAWAII,FOURTH QUARTER REPORT,"$22,500.00 ",1/6/2014,2013
HI,"McAllister & Quinn, LLC",HAWAII MEDICAL SERVICE ASSOCIATION BLUE CROSS BLUE SHIELD OF HAWAII,FOURTH QUARTER REPORT,"$22,500.00 ",1/7/2015,2014
HI,"McAllister & Quinn, LLC",HAWAII MEDICAL SERVICE ASSOCIATION BLUE CROSS BLUE SHIELD OF HAWAII,FOURTH QUARTER REPORT,"$7,500.00 ",1/10/2017,2016
HI,"McAllister & Quinn, LLC",HAWAII MEDICAL SERVICE ASSOCIATION BLUE CROSS BLUE SHIELD OF HAWAII,FOURTH QUARTER REPORT,"$22,500.00 ",1/12/2011,2010
HI,"McAllister & Quinn, LLC",HAWAII MEDICAL SERVICE ASSOCIATION BLUE CROSS BLUE SHIELD OF HAWAII,FOURTH QUARTER REPORT,"$22,500.00 ",1/15/2016,2015
