State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
IA,Abigail Stork,Iowa Hospital Association,YEAR-END REPORT,,2/12/2008,2007
IA,Abigail Stork,Iowa Hospital Association,REGISTRATION,,11/9/2007,2007
IA,Alliance for Patient Access,Alliance for Patient Access,FOURTH QUARTER REPORT,"$30,000.00 ",1/20/2020,2019
IA,Alliance for Patient Access,Alliance for Patient Access,REGISTRATION,,4/25/2019,2019
IA,Alliance for Patient Access,Alliance for Patient Access,SECOND QUARTER REPORT,"$30,000.00 ",7/21/2019,2019
IA,Alliance for Patient Access,Alliance for Patient Access,THIRD QUARTER REPORT,"$30,000.00 ",10/19/2019,2019
IA,ALSTON & BIRD LLP,Des Moines University,FOURTH QUARTER REPORT,"$20,000.00 ",1/20/2010,2009
IA,ALSTON & BIRD LLP,Des Moines University,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2010,2010
IA,ALSTON & BIRD LLP,Des Moines University,REGISTRATION,,7/2/2009,2009
IA,ALSTON & BIRD LLP,Des Moines University,SECOND QUARTER REPORT,"$20,000.00 ",7/20/2009,2009
IA,ALSTON & BIRD LLP,Des Moines University,SECOND QUARTER TERMINATION,"$20,000.00 ",7/20/2010,2010
IA,ALSTON & BIRD LLP,Des Moines University,THIRD QUARTER REPORT,"$20,000.00 ",10/20/2009,2009
IA,ALSTON & BIRD LLP,Iowa Health System,FOURTH QUARTER REPORT,"$50,000.00 ",1/20/2010,2009
IA,ALSTON & BIRD LLP,Iowa Health System,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2010,2010
IA,ALSTON & BIRD LLP,Iowa Health System,REGISTRATION,,7/2/2009,2009
IA,ALSTON & BIRD LLP,Iowa Health System,SECOND QUARTER REPORT,"$30,000.00 ",7/20/2009,2009
IA,ALSTON & BIRD LLP,Iowa Health System,SECOND QUARTER TERMINATION,"$30,000.00 ",7/20/2010,2010
IA,ALSTON & BIRD LLP,Iowa Health System,THIRD QUARTER REPORT,"$50,000.00 ",10/20/2009,2009
IA,Arent Fox LLP,DEPARTMENT OF PUBLIC HEALTH-IA,REGISTRATION,,8/15/2000,2000
IA,Arent Fox LLP,"KemPharm, Inc.",FOURTH QUARTER REPORT,"$30,000.00 ",1/19/2018,2017
IA,Arent Fox LLP,"KemPharm, Inc.",REGISTRATION,,2/23/2017,2017
IA,Arent Fox LLP,"KemPharm, Inc.",FIRST QUARTER REPORT,"$30,000.00 ",4/18/2018,2018
IA,Arent Fox LLP,"KemPharm, Inc.",FIRST QUARTER REPORT,"$30,000.00 ",4/20/2017,2017
IA,Arent Fox LLP,"KemPharm, Inc.",SECOND QUARTER REPORT,"$30,000.00 ",7/19/2017,2017
IA,Arent Fox LLP,"KemPharm, Inc.",SECOND QUARTER REPORT,"$30,000.00 ",7/19/2018,2018
IA,Arent Fox LLP,"KemPharm, Inc.",THIRD QUARTER TERMINATION,"$10,000.00 ",10/18/2018,2018
IA,Arent Fox LLP,"KemPharm, Inc.",THIRD QUARTER REPORT,"$30,000.00 ",10/19/2017,2017
IA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,IOWA CLINIC,YEAR-END TERMINATION,"$40,000.00 ",2/25/2005,2004
IA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,IOWA CLINIC,YEAR-END REPORT,"$20,000.00 ",3/8/2004,2003
IA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,IOWA CLINIC,REGISTRATION,,8/6/2003,2003
IA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,IOWA CLINIC,MID-YEAR REPORT,"$40,000.00 ",8/13/2004,2004
IA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,IOWA CLINIC,MID-YEAR REPORT,,8/14/2003,2003
IA,Broydrick & Associates,Blank Children's Hospital,FOURTH QUARTER TERMINATION,"$10,000.00 ",1/13/2012,2011
IA,Broydrick & Associates,Blank Children's Hospital,REGISTRATION,,9/14/2011,2011
IA,Broydrick & Associates,Blank Children's Hospital,THIRD QUARTER REPORT,"$10,000.00 ",10/17/2011,2011
IA,Broydrick & Associates,Blank Children's Hospital,THIRD QUARTER REPORT,"$10,000.00 ",10/17/2011,2011
IA,Broydrick & Associates,MCCORD RESEARCH FOUNDATION,FIRST QUARTER REPORT,"$10,000.00 ",4/14/2010,2010
IA,Broydrick & Associates,MCCORD RESEARCH FOUNDATION,SECOND QUARTER REPORT,"$10,000.00 ",7/7/2010,2010
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",FOURTH QUARTER REPORT,"$40,000.00 ",1/14/2015,2014
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",FOURTH QUARTER REPORT,"$10,000.00 ",1/19/2016,2015
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",FOURTH QUARTER REPORT,"$30,000.00 ",1/19/2020,2019
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",FOURTH QUARTER REPORT,"$40,000.00 ",1/21/2019,2018
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",FOURTH QUARTER REPORT,"$10,000.00 ",1/22/2018,2017
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",REGISTRATION AMENDMENT,,3/22/2017,2017
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",REGISTRATION,,4/3/2014,2014
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",FIRST QUARTER REPORT,"$10,000.00 ",4/16/2018,2018
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",FIRST QUARTER REPORT,"$10,000.00 ",4/18/2014,2014
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",FIRST QUARTER REPORT,"$30,000.00 ",4/19/2016,2016
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",FIRST QUARTER REPORT,"$10,000.00 ",4/19/2017,2017
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",FIRST QUARTER REPORT,"$10,000.00 ",4/20/2015,2015
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",FIRST QUARTER REPORT,"$30,000.00 ",4/21/2019,2019
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",SECOND QUARTER REPORT,"$10,000.00 ",7/17/2015,2015
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",SECOND QUARTER REPORT,"$80,000.00 ",7/18/2018,2018
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",SECOND QUARTER REPORT,"$30,000.00 ",7/19/2016,2016
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",SECOND QUARTER REPORT,"$10,000.00 ",7/20/2017,2017
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",SECOND QUARTER REPORT,"$30,000.00 ",7/20/2019,2019
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",SECOND QUARTER REPORT,"$10,000.00 ",7/21/2014,2014
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",THIRD QUARTER REPORT,"$10,000.00 ",10/16/2014,2014
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",THIRD QUARTER REPORT,"$10,000.00 ",10/16/2015,2015
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",SECOND QUARTER AMENDMENT,"$10,000.00 ",10/19/2018,2018
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",THIRD QUARTER REPORT,,10/19/2018,2018
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",THIRD QUARTER REPORT,"$10,000.00 ",10/20/2017,2017
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",THIRD QUARTER REPORT,"$30,000.00 ",10/20/2019,2019
IA,"Capitol Counsel, LLC","Woodberry Associates, LLC",SECOND QUARTER TERMINATION,"$30,000.00 ",10/21/2016,2016
IA,Carmela Brown,Mercy Health Network of Iowa,FOURTH QUARTER REPORT,"$10,000.00 ",1/4/2011,2010
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION AMENDMENT,,1/4/2011,2011
IA,Carmela Brown,Mercy Health Network of Iowa,FOURTH QUARTER REPORT,"$10,000.00 ",1/6/2009,2008
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION,,1/6/2009,2009
IA,Carmela Brown,Mercy Health Network of Iowa,FOURTH QUARTER TERMINATION AMENDMENT,"$10,000.00 ",1/6/2012,2011
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION AMENDMENT,,1/7/2009,2009
IA,Carmela Brown,Mercy Health Network of Iowa,FOURTH QUARTER TERMINATION AMENDMENT,"$10,000.00 ",1/11/2012,2011
IA,Carmela Brown,Mercy Health Network of Iowa,FOURTH QUARTER REPORT,"$10,000.00 ",1/18/2010,2009
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION AMENDMENT,,1/18/2010,2010
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION,,4/4/2008,2008
IA,Carmela Brown,Mercy Health Network of Iowa,FIRST QUARTER REPORT,"$10,000.00 ",4/4/2011,2011
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION AMENDMENT,,4/4/2011,2011
IA,Carmela Brown,Mercy Health Network of Iowa,FIRST QUARTER REPORT,"$10,000.00 ",4/5/2010,2010
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION AMENDMENT,,4/5/2010,2010
IA,Carmela Brown,Mercy Health Network of Iowa,FIRST QUARTER REPORT,"$10,000.00 ",4/6/2009,2009
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION,,4/6/2009,2009
IA,Carmela Brown,Mercy Health Network of Iowa,FIRST QUARTER REPORT,"$10,000.00 ",4/12/2008,2008
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION AMENDMENT,,7/5/2011,2011
IA,Carmela Brown,Mercy Health Network of Iowa,SECOND QUARTER REPORT,"$10,000.00 ",7/5/2011,2011
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION AMENDMENT,,7/6/2010,2010
IA,Carmela Brown,Mercy Health Network of Iowa,SECOND QUARTER REPORT,"$10,000.00 ",7/6/2010,2010
IA,Carmela Brown,Mercy Health Network of Iowa,SECOND QUARTER REPORT,"$10,000.00 ",7/10/2008,2008
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION,,7/13/2009,2009
IA,Carmela Brown,Mercy Health Network of Iowa,SECOND QUARTER REPORT,"$10,000.00 ",7/13/2009,2009
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION,,10/6/2008,2008
IA,Carmela Brown,Mercy Health Network of Iowa,THIRD QUARTER REPORT,"$10,000.00 ",10/6/2008,2008
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION AMENDMENT,,10/7/2008,2008
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION,,10/7/2009,2009
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION AMENDMENT,,10/7/2009,2009
IA,Carmela Brown,Mercy Health Network of Iowa,THIRD QUARTER REPORT,"$10,000.00 ",10/7/2009,2009
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION AMENDMENT,,10/7/2010,2010
IA,Carmela Brown,Mercy Health Network of Iowa,THIRD QUARTER REPORT,"$10,000.00 ",10/7/2010,2010
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION AMENDMENT,,10/10/2011,2011
IA,Carmela Brown,Mercy Health Network of Iowa,THIRD QUARTER REPORT,"$10,000.00 ",10/10/2011,2011
IA,"Cassidy & Associates, Inc.",CENTRAL COLLEGE,MID-YEAR REPORT,"$60,000.00 ",8/9/2000,2000
IA,"Cornerstone Government Affairs, Inc.",UnityPoint Health,FOURTH QUARTER REPORT,"$50,000.00 ",1/21/2020,2019
IA,"Cornerstone Government Affairs, Inc.",UnityPoint Health,REGISTRATION,,4/4/2019,2019
IA,"Cornerstone Government Affairs, Inc.",UnityPoint Health,FIRST QUARTER REPORT,"$20,000.00 ",4/17/2019,2019
IA,"Cornerstone Government Affairs, Inc.",UnityPoint Health,SECOND QUARTER REPORT,"$50,000.00 ",7/22/2019,2019
IA,"Cornerstone Government Affairs, Inc.",UnityPoint Health,THIRD QUARTER REPORT,"$50,000.00 ",10/21/2019,2019
IA,David Peyton,VERMEER CORPORATION,YEAR-END REPORT,"$20,000.00 ",2/13/2008,2007
IA,David Peyton,VERMEER CORPORATION,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2009,2009
IA,David Peyton,VERMEER CORPORATION,SECOND QUARTER REPORT,"$20,000.00 ",7/15/2009,2009
IA,David Peyton,VERMEER CORPORATION,THIRD QUARTER TERMINATION,"$20,000.00 ",10/20/2009,2009
IA,Dentons US LLP,"City of Cedar Rapids, Iowa",REGISTRATION,,8/22/2008,2008
IA,Dentons US LLP,Des Moines University,FOURTH QUARTER REPORT,"$30,000.00 ",1/16/2009,2008
IA,Dentons US LLP,Des Moines University,REGISTRATION,,3/28/2008,2008
IA,Dentons US LLP,Des Moines University,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2009,2009
IA,Dentons US LLP,Des Moines University,SECOND QUARTER TERMINATION,"$30,000.00 ",7/20/2009,2009
IA,Dentons US LLP,Iowa Health System,REGISTRATION,,1/21/2009,2009
IA,DLA Piper LLP (US),Des Moines University,FOURTH QUARTER REPORT,"$20,000.00 ",1/17/2011,2010
IA,DLA Piper LLP (US),Des Moines University,FOURTH QUARTER TERMINATION,"$10,000.00 ",1/19/2012,2011
IA,DLA Piper LLP (US),Des Moines University,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2011,2011
IA,DLA Piper LLP (US),Des Moines University,SECOND QUARTER REPORT,"$10,000.00 ",7/20/2011,2011
IA,DLA Piper LLP (US),Des Moines University,REGISTRATION,,9/22/2010,2010
IA,DLA Piper LLP (US),Des Moines University,THIRD QUARTER REPORT,"$20,000.00 ",10/20/2011,2011
IA,"Dutko Worldwide, LLC",DES MOINES UNIV,YEAR-END REPORT,"$60,000.00 ",2/14/2005,2004
IA,"Dutko Worldwide, LLC",DES MOINES UNIV,REGISTRATION,,5/6/2004,2004
