State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
ID,APCO Worldwide LLC,Mountain View Hospital,FOURTH QUARTER REPORT,"$20,000.00 ",1/15/2009,2008
ID,APCO Worldwide LLC,Mountain View Hospital,SECOND QUARTER REPORT,"$20,000.00 ",3/24/2009,2008
ID,APCO Worldwide LLC,Mountain View Hospital,REGISTRATION,,10/16/2008,2008
ID,APCO Worldwide LLC,Mountain View Hospital,THIRD QUARTER REPORT,"$20,000.00 ",10/20/2008,2008
ID,BKSH & Associates,AMERICAN FREEDOM INNOVATIONS (FORMERLY LIBERTY STRATEGIES LLC),FOURTH QUARTER TERMINATION,"$60,000.00 ",1/20/2010,2009
ID,BKSH & Associates,AMERICAN FREEDOM INNOVATIONS (FORMERLY LIBERTY STRATEGIES LLC),REGISTRATION,,9/29/2009,2009
ID,BKSH & Associates,AMERICAN FREEDOM INNOVATIONS (FORMERLY LIBERTY STRATEGIES LLC),THIRD QUARTER REPORT,"$60,000.00 ",10/22/2009,2009
ID,Bose Public Affairs Group,"International Isotopes, Inc.",REGISTRATION,,3/11/2010,2010
ID,Capitol Management Initiatives,NIGHTHAWK RADIOLOGY,MID-YEAR TERMINATION,,1/2/2008,2007
ID,Capitol Management Initiatives,NIGHTHAWK RADIOLOGY,REGISTRATION,,2/8/2006,2006
ID,Capitol Management Initiatives,NIGHTHAWK RADIOLOGY,YEAR-END REPORT,"$54,000.00 ",2/12/2007,2006
ID,Capitol Management Initiatives,NIGHTHAWK RADIOLOGY,YEAR-END REPORT,"$18,000.00 ",2/28/2006,2005
ID,Capitol Management Initiatives,NIGHTHAWK RADIOLOGY,MID-YEAR REPORT,"$54,000.00 ",8/8/2006,2006
ID,"Cassidy & Associates, Inc.",ST ALPHONSUS REGIONAL MEDICAL CENTER,REGISTRATION,,6/8/2001,2001
ID,"CTF Global LLC (formerly filing as The Grossman Group, LLC)",Idaho State University,REGISTRATION,,3/29/2004,2004
ID,"First Principles, LLC",HAPPE Corporation,REGISTRATION,,6/2/2017,2017
ID,"First Principles, LLC",HAPPE Corporation,SECOND QUARTER REPORT,"$10,000.00 ",12/7/2017,2017
ID,"First Principles, LLC",HAPPE Corporation,THIRD QUARTER TERMINATION,"$10,000.00 ",12/7/2017,2017
ID,Gallatin Public Affairs,TWIN FALLS COALITON,REGISTRATION,,3/29/2004,2004
ID,Gallatin Public Affairs,TWIN FALLS COALITON,MID-YEAR REPORT,"$40,000.00 ",8/12/2004,2004
ID,"GIVENS PURSLEY, LLP",SAINT ALPHONSUS REGIONAL MEDICAL CTR,YEAR-END REPORT,,3/19/2001,2000
ID,"GIVENS PURSLEY, LLP",SAINT ALPHONSUS REGIONAL MEDICAL CTR,MID-YEAR REPORT,"$50,000.00 ",8/15/2000,2000
ID,"GIVENS PURSLEY, LLP",SAINT ALPHONSUS REGIONAL MEDICAL CTR,REGISTRATION,,9/22/1999,1999
ID,"Johnston Group, LLC",Madison Memorial Hospital,FOURTH QUARTER REPORT,"$5,000.00 ",1/7/2019,2018
ID,"Johnston Group, LLC",Madison Memorial Hospital,FOURTH QUARTER REPORT,"$10,000.00 ",1/15/2018,2017
ID,"Johnston Group, LLC",Madison Memorial Hospital,FIRST QUARTER REPORT,"$10,000.00 ",4/8/2018,2018
ID,"Johnston Group, LLC",Madison Memorial Hospital,SECOND QUARTER REPORT,"$10,000.00 ",7/13/2018,2018
ID,"Johnston Group, LLC",Madison Memorial Hospital,REGISTRATION,,7/26/2017,2017
ID,"Johnston Group, LLC",Madison Memorial Hospital,THIRD QUARTER REPORT,"$10,000.00 ",10/5/2017,2017
ID,"Johnston Group, LLC",Madison Memorial Hospital,THIRD QUARTER REPORT,"$10,000.00 ",10/5/2018,2018
ID,"LaRocco & Associates, Inc.",Albertson's LLC,REGISTRATION,,6/26/2013,2013
ID,Mercer Crest LLC,College of Southern Idaho,FOURTH QUARTER REPORT,"$10,000.00 ",1/31/2011,2010
ID,Mercer Crest LLC,College of Southern Idaho,REGISTRATION,,5/6/2010,2010
ID,Mercer Crest LLC,College of Southern Idaho,SECOND QUARTER REPORT,"$15,000.00 ",8/4/2010,2010
ID,Mercer Crest LLC,College of Southern Idaho,THIRD QUARTER AMENDMENT,"$10,000.00 ",10/20/2010,2010
ID,"Miller & Chevalier, Chtd.","Blue Cross of Idaho Health Service, Inc.",REGISTRATION,,6/29/2018,2018
ID,"Miller & Chevalier, Chtd.","Blue Cross of Idaho Health Service, Inc.",SECOND QUARTER REPORT,,7/19/2018,2018
ID,"Miller & Chevalier, Chtd.","Blue Cross of Idaho Health Service, Inc.",THIRD QUARTER REPORT,,10/19/2018,2018
ID,"OBADAL, FILLER, MACLEOD & KLEIN, P.L.C.",American Concrete Pressure Pipe Association,FIRST QUARTER REPORT,,4/20/2010,2010
ID,"OBADAL, FILLER, MACLEOD & KLEIN, P.L.C.",American Concrete Pressure Pipe Association,THIRD QUARTER REPORT,"$10,000.00 ",10/19/2012,2012
ID,"Quorum Public Policy, Inc.","LaRocco & Associates, Inc., on behalf of Albertson's LLC",REGISTRATION,,8/23/2013,2013
ID,REGENCE BLUESHIELD OF IDAHO,REGENCE BLUESHIELD OF IDAHO,YEAR-END REPORT,,2/12/2007,2006
ID,REGENCE BLUESHIELD OF IDAHO,REGENCE BLUESHIELD OF IDAHO,YEAR-END REPORT,,4/13/2004,2003
ID,REGENCE BLUESHIELD OF IDAHO,REGENCE BLUESHIELD OF IDAHO,MID-YEAR REPORT,,7/23/2003,2003
ID,REGENCE BLUESHIELD OF IDAHO,REGENCE BLUESHIELD OF IDAHO,REGISTRATION,,7/23/2003,2003
ID,REGENCE BLUESHIELD OF IDAHO,REGENCE BLUESHIELD OF IDAHO,MID-YEAR REPORT,,8/2/2007,2007
ID,REGENCE BLUESHIELD OF IDAHO,REGENCE BLUESHIELD OF IDAHO,MID-YEAR AMENDMENT,,8/14/2006,2006
ID,REGENCE BLUESHIELD OF IDAHO,REGENCE BLUESHIELD OF IDAHO,MID-YEAR REPORT,,8/14/2006,2006
ID,REGENCE BLUESHIELD OF IDAHO,REGENCE BLUESHIELD OF IDAHO,MID-YEAR REPORT,,8/23/2006,2006
ID,REGENCE BLUESHIELD OF IDAHO,REGENCE BLUESHIELD OF IDAHO,YEAR-END REPORT,,10/2/2006,2005
ID,Sellery Associates,Federal Wildland Fire Service Association,FOURTH QUARTER REPORT,"$7,500.00 ",1/23/2014,2013
ID,Sellery Associates,Federal Wildland Fire Service Association,REGISTRATION,,3/8/2013,2013
ID,Sellery Associates,Federal Wildland Fire Service Association,FIRST QUARTER REPORT,"$7,500.00 ",4/21/2014,2014
ID,Sellery Associates,Federal Wildland Fire Service Association,FIRST QUARTER REPORT,,4/22/2013,2013
ID,Sellery Associates,Federal Wildland Fire Service Association,SECOND QUARTER REPORT,"$7,500.00 ",7/22/2013,2013
ID,Sellery Associates,Federal Wildland Fire Service Association,THIRD QUARTER REPORT,"$7,500.00 ",10/24/2013,2013
ID,"Strategic Applications International, LLC",LUKE COMMISSION,FOURTH QUARTER REPORT,,1/20/2010,2009
ID,"Strategic Applications International, LLC",LUKE COMMISSION,REGISTRATION,,1/20/2010,2009
ID,"Strategic Applications International, LLC",LUKE COMMISSION,FOURTH QUARTER REPORT,,1/20/2012,2011
ID,"Strategic Applications International, LLC",LUKE COMMISSION,FIRST QUARTER REPORT,,1/27/2011,2011
ID,"Strategic Applications International, LLC",LUKE COMMISSION,FOURTH QUARTER REPORT,,1/27/2011,2010
ID,"Strategic Applications International, LLC",LUKE COMMISSION,FOURTH QUARTER TERMINATION,,1/28/2013,2012
ID,"Strategic Applications International, LLC",LUKE COMMISSION,FOURTH QUARTER TERMINATION AMENDMENT,,1/28/2013,2012
ID,"Strategic Applications International, LLC",LUKE COMMISSION,FIRST QUARTER REPORT,,4/20/2012,2012
ID,"Strategic Applications International, LLC",LUKE COMMISSION,FIRST QUARTER REPORT,,4/27/2010,2010
ID,"Strategic Applications International, LLC",LUKE COMMISSION,SECOND QUARTER REPORT,,7/19/2012,2012
