State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
IL,A.G. Kaffes and Associates LLC,Oral Health America,FIRST QUARTER TERMINATION,,2/1/2019,2019
IL,A.G. Kaffes and Associates LLC,Oral Health America,FIRST QUARTER REPORT,,4/18/2015,2015
IL,A.G. Kaffes and Associates LLC,Oral Health America,FIRST QUARTER REPORT,,4/20/2016,2016
IL,A.G. Kaffes and Associates LLC,Oral Health America,FIRST QUARTER REPORT,"$6,000.00 ",4/20/2018,2018
IL,A.G. Kaffes and Associates LLC,Oral Health America,FIRST QUARTER REPORT,"$6,000.00 ",4/21/2017,2017
IL,A.G. Kaffes and Associates LLC,Oral Health America,FIRST QUARTER REPORT,,5/4/2014,2014
IL,"ADVOCATE AURORA HEALTH, INC.","ADVOCATE AURORA HEALTH, INC.",FIRST QUARTER REPORT,"$200,000.00 ",4/12/2019,2019
IL,"ADVOCATE AURORA HEALTH, INC.","ADVOCATE AURORA HEALTH, INC.",FIRST QUARTER REPORT,"$58,000.00 ",4/18/2008,2008
IL,"ADVOCATE AURORA HEALTH, INC.","ADVOCATE AURORA HEALTH, INC.",FIRST QUARTER REPORT,"$60,000.00 ",4/20/2009,2009
IL,"ADVOCATE AURORA HEALTH, INC.","ADVOCATE AURORA HEALTH, INC.",FIRST QUARTER REPORT,"$60,000.00 ",4/20/2010,2010
IL,"ADVOCATE AURORA HEALTH, INC.","ADVOCATE AURORA HEALTH, INC.",FIRST QUARTER REPORT,"$110,000.00 ",4/20/2011,2011
IL,"ADVOCATE AURORA HEALTH, INC.","ADVOCATE AURORA HEALTH, INC.",FIRST QUARTER REPORT,"$110,000.00 ",4/20/2012,2012
IL,"ADVOCATE AURORA HEALTH, INC.","ADVOCATE AURORA HEALTH, INC.",FIRST QUARTER REPORT,"$240,000.00 ",4/20/2015,2015
IL,"ADVOCATE AURORA HEALTH, INC.","ADVOCATE AURORA HEALTH, INC.",FIRST QUARTER REPORT,"$240,000.00 ",4/20/2017,2017
