State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FOURTH QUARTER REPORT,"$45,000.00 ",1/2/2020,2019
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,THIRD QUARTER REPORT,"$45,000.00 ",1/2/2020,2019
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FOURTH QUARTER REPORT,"$45,000.00 ",1/8/2018,2017
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,THIRD QUARTER REPORT,"$45,000.00 ",1/8/2018,2017
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FOURTH QUARTER REPORT,"$45,000.00 ",1/16/2015,2014
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,THIRD QUARTER REPORT,"$45,000.00 ",1/16/2015,2014
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FOURTH QUARTER REPORT,"$40,000.00 ",1/24/2013,2012
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FOURTH QUARTER REPORT,"$10,000.00 ",1/27/2012,2011
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,MID-YEAR REPORT,,2/2/2004,2004
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FOURTH QUARTER REPORT,"$50,000.00 ",2/10/2014,2013
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,YEAR-END REPORT,,2/14/2006,2005
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FOURTH QUARTER REPORT,"$15,000.00 ",2/14/2011,2010
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FOURTH QUARTER REPORT,"$10,000.00 ",2/26/2009,2008
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FOURTH QUARTER REPORT,"$45,000.00 ",3/1/2019,2018
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FOURTH QUARTER REPORT,"$15,000.00 ",3/5/2010,2009
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,MID-YEAR REPORT,"$20,000.00 ",3/14/2008,2007
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FIRST QUARTER REPORT,"$45,000.00 ",4/3/2017,2017
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FOURTH QUARTER REPORT,"$45,000.00 ",4/3/2017,2016
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FIRST QUARTER AMENDMENT,"$45,000.00 ",4/15/2016,2016
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FIRST QUARTER REPORT,"$40,000.00 ",4/22/2013,2013
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FIRST QUARTER REPORT,"$45,000.00 ",4/23/2014,2014
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FIRST QUARTER REPORT,"$45,000.00 ",4/24/2019,2019
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,REGISTRATION,,5/4/2004,2004
IN,Advanced Capitol Consulting,AMERICAN COLLEGE OF SPORTS MEDICINE,FIRST QUARTER REPORT,"$30,000.00 ",5/15/2012,2012
