State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
LA,"Adams and Reese, LLP",EAST JEFFERSON COMMUNITY HEALTH CENTER,MID-YEAR REPORT,"$20,000.00 ",2/10/2004,2003
LA,"Adams and Reese, LLP",EAST JEFFERSON COMMUNITY HEALTH CENTER,REGISTRATION,,2/25/2003,2003
LA,"Adams and Reese, LLP",EAST JEFFERSON COMMUNITY HEALTH CENTER,YEAR-END TERMINATION,"$20,000.00 ",4/5/2004,2003
LA,"Adams and Reese, LLP",HEMOPHILIA FED OF AMERICA,YEAR-END TERMINATION,"$10,000.00 ",2/13/2007,2006
LA,"Adams and Reese, LLP",HEMOPHILIA FED OF AMERICA,REGISTRATION,,10/31/2006,2006
LA,"Adams and Reese, LLP",LOUISIANA PRIMARY CARE ASSOCIATION INC,REGISTRATION,,3/13/2008,2008
LA,"Adams and Reese, LLP",LOUISIANA PRIMARY CARE ASSOCIATION INC,FIRST QUARTER REPORT,"$15,000.00 ",4/21/2008,2008
LA,Akin Gump Strauss Hauer & Feld,"OncoLogics, Inc.",REGISTRATION,,3/25/2009,2009
LA,"Amedisys, Inc.","Amedisys, Inc.",REGISTRATION,,2/19/2013,2013
LA,"Amedisys, Inc.","Amedisys, Inc.",SECOND QUARTER REPORT,"$289,794.00 ",7/22/2013,2013
LA,"Amedisys, Inc.","Amedisys, Inc.",REGISTRATION AMENDMENT,,8/2/2016,2016
LA,"Amedisys, Inc.","Amedisys, Inc.",THIRD QUARTER REPORT,"$291,044.00 ",10/21/2013,2013
LA,"ANDREWS & BOWE, PLLP",PEDIATRIC & INTERNAL MEDICINE ASSOC,REGISTRATION,,1/9/2006,2006
LA,"ANDREWS & BOWE, PLLP",PEDIATRIC & INTERNAL MEDICINE ASSOC,YEAR-END (NO ACTIVITY),,1/10/2006,2005
LA,"ANDREWS & BOWE, PLLP",PEDIATRIC & INTERNAL MEDICINE ASSOC,YEAR-END REPORT,,2/11/2007,2006
LA,"ANDREWS & BOWE, PLLP",PEDIATRIC & INTERNAL MEDICINE ASSOC,MID-YEAR TERMINATION,,6/3/2007,2007
LA,"ANDREWS & BOWE, PLLP",PEDIATRIC & INTERNAL MEDICINE ASSOC,MID-YEAR REPORT,,8/16/2006,2006
LA,Avenue Solutions,Amedisys Home Health and Hospice Care,REGISTRATION,,11/19/2018,2018
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,"Amedisys, Inc.",FOURTH QUARTER REPORT,"$30,000.00 ",1/16/2009,2008
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,"Amedisys, Inc.",FOURTH QUARTER REPORT,"$40,000.00 ",1/20/2010,2009
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,"Amedisys, Inc.",FIRST QUARTER REPORT,"$30,000.00 ",4/20/2009,2009
