State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
ME,Akin Gump Strauss Hauer & Feld,Network for Regional Healthcare Improvement,FOURTH QUARTER REPORT,"$10,000.00 ",1/19/2017,2016
ME,Akin Gump Strauss Hauer & Feld,Network for Regional Healthcare Improvement,FOURTH QUARTER REPORT,"$10,000.00 ",1/20/2016,2015
ME,Akin Gump Strauss Hauer & Feld,Network for Regional Healthcare Improvement,FIRST QUARTER AMENDMENT,"$10,000.00 ",4/3/2017,2016
ME,Akin Gump Strauss Hauer & Feld,Network for Regional Healthcare Improvement,SECOND QUARTER AMENDMENT,"$10,000.00 ",4/3/2017,2016
ME,Akin Gump Strauss Hauer & Feld,Network for Regional Healthcare Improvement,FIRST QUARTER REPORT,"$10,000.00 ",4/12/2017,2017
ME,Akin Gump Strauss Hauer & Feld,Network for Regional Healthcare Improvement,FIRST QUARTER REPORT,"$10,000.00 ",4/19/2016,2016
ME,Akin Gump Strauss Hauer & Feld,Network for Regional Healthcare Improvement,SECOND QUARTER TERMINATION,,6/30/2017,2017
ME,Akin Gump Strauss Hauer & Feld,Network for Regional Healthcare Improvement,SECOND QUARTER REPORT,"$10,000.00 ",7/19/2016,2016
ME,Akin Gump Strauss Hauer & Feld,Network for Regional Healthcare Improvement,REGISTRATION,,9/24/2015,2015
ME,Akin Gump Strauss Hauer & Feld,Network for Regional Healthcare Improvement,THIRD QUARTER REPORT,"$10,000.00 ",10/17/2015,2015
ME,Akin Gump Strauss Hauer & Feld,Network for Regional Healthcare Improvement,THIRD QUARTER REPORT,"$10,000.00 ",10/20/2016,2016
ME,"Buchanan Ingersoll & Rooney, PC",MARTIN'S POINT HEALTH CARE,FOURTH QUARTER REPORT,"$30,000.00 ",1/19/2011,2010
ME,"Buchanan Ingersoll & Rooney, PC",MARTIN'S POINT HEALTH CARE,FOURTH QUARTER REPORT,"$30,000.00 ",1/20/2012,2011
ME,"Buchanan Ingersoll & Rooney, PC",MARTIN'S POINT HEALTH CARE,FOURTH QUARTER TERMINATION,"$30,000.00 ",1/22/2013,2012
ME,"Buchanan Ingersoll & Rooney, PC",MARTIN'S POINT HEALTH CARE,REGISTRATION,,4/1/2010,2010
ME,"Buchanan Ingersoll & Rooney, PC",MARTIN'S POINT HEALTH CARE,FIRST QUARTER REPORT,"$20,000.00 ",4/19/2010,2010
ME,"Buchanan Ingersoll & Rooney, PC",MARTIN'S POINT HEALTH CARE,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2011,2011
ME,"Buchanan Ingersoll & Rooney, PC",MARTIN'S POINT HEALTH CARE,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2012,2012
ME,"Buchanan Ingersoll & Rooney, PC",MARTIN'S POINT HEALTH CARE,SECOND QUARTER REPORT,"$30,000.00 ",7/19/2011,2011
ME,"Buchanan Ingersoll & Rooney, PC",MARTIN'S POINT HEALTH CARE,SECOND QUARTER REPORT,"$30,000.00 ",7/20/2010,2010
ME,"Buchanan Ingersoll & Rooney, PC",MARTIN'S POINT HEALTH CARE,SECOND QUARTER REPORT,"$30,000.00 ",7/20/2012,2012
ME,"Buchanan Ingersoll & Rooney, PC",MARTIN'S POINT HEALTH CARE,THIRD QUARTER REPORT,"$30,000.00 ",10/19/2010,2010
ME,"Buchanan Ingersoll & Rooney, PC",MARTIN'S POINT HEALTH CARE,THIRD QUARTER REPORT,"$30,000.00 ",10/19/2011,2011
ME,"Buchanan Ingersoll & Rooney, PC",MARTIN'S POINT HEALTH CARE,THIRD QUARTER REPORT,"$30,000.00 ",10/22/2012,2012
ME,"Capitol Strategy Consultants, Inc.",Maine Coast Memorial Hospital,FIRST QUARTER REPORT,,4/20/2009,2009
ME,"Capitol Strategy Consultants, Inc.",Maine Coast Memorial Hospital,SECOND QUARTER REPORT,,7/21/2009,2009
ME,"Capitol Strategy Consultants, Inc.",Maine Coast Memorial Hospital,THIRD QUARTER REPORT,,10/21/2009,2009
ME,"Cassidy & Associates, Inc.",CENTRAL MAINE HEALTHCARE,REGISTRATION,,1/29/2003,2002
ME,"Cassidy & Associates, Inc.",HWT INC,REGISTRATION,,2/14/2001,2001
