State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
MI,"Abraham & Roetzel, LLC",MatchRX,FIRST QUARTER TERMINATION,,4/20/2015,2015
MI,Akin Gump Strauss Hauer & Feld,HOSTS LEARNING,MID-YEAR REPORT,"$40,000.00 ",8/14/2002,2002
MI,Akin Gump Strauss Hauer & Feld,MatchRx,FOURTH QUARTER REPORT,"$10,000.00 ",1/20/2016,2015
MI,Akin Gump Strauss Hauer & Feld,MatchRx,FIRST QUARTER REPORT,"$10,000.00 ",4/19/2016,2016
MI,Akin Gump Strauss Hauer & Feld,MatchRx,REGISTRATION,,6/2/2015,2015
MI,Akin Gump Strauss Hauer & Feld,MatchRx,SECOND QUARTER REPORT,"$20,000.00 ",7/18/2015,2015
MI,Akin Gump Strauss Hauer & Feld,MatchRx,THIRD QUARTER REPORT,"$20,000.00 ",10/17/2015,2015
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FOURTH QUARTER REPORT,"$18,000.00 ",1/1/2014,2013
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FOURTH QUARTER REPORT,"$18,000.00 ",1/1/2020,2019
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FOURTH QUARTER REPORT,"$15,000.00 ",1/2/2012,2011
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FOURTH QUARTER AMENDMENT,"$18,000.00 ",1/2/2015,2014
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FOURTH QUARTER REPORT,"$18,000.00 ",1/2/2015,2014
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FOURTH QUARTER REPORT,"$18,000.00 ",1/2/2018,2017
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FOURTH QUARTER REPORT,"$15,000.00 ",1/3/2011,2010
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FOURTH QUARTER REPORT,"$18,000.00 ",1/3/2017,2016
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FOURTH QUARTER REPORT,"$18,000.00 ",1/3/2019,2018
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FOURTH QUARTER REPORT,"$15,000.00 ",1/4/2013,2012
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FOURTH QUARTER REPORT,"$18,000.00 ",1/4/2016,2015
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FIRST QUARTER REPORT,"$18,000.00 ",3/31/2016,2016
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FIRST QUARTER REPORT,"$18,000.00 ",4/1/2014,2014
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FIRST QUARTER REPORT,"$18,000.00 ",4/1/2015,2015
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FIRST QUARTER REPORT,"$18,000.00 ",4/1/2017,2017
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FIRST QUARTER REPORT,"$18,000.00 ",4/1/2018,2018
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FIRST QUARTER REPORT,"$18,000.00 ",4/1/2019,2019
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FIRST QUARTER REPORT,"$15,000.00 ",4/2/2011,2011
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FIRST QUARTER REPORT,"$17,000.00 ",4/6/2013,2013
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,FIRST QUARTER REPORT,"$15,000.00 ",4/7/2012,2012
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,SECOND QUARTER REPORT,"$15,000.00 ",7/1/2011,2011
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,SECOND QUARTER REPORT,"$15,000.00 ",7/1/2012,2012
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,SECOND QUARTER REPORT,"$18,000.00 ",7/1/2015,2015
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,SECOND QUARTER REPORT,"$18,000.00 ",7/1/2016,2016
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,SECOND QUARTER REPORT,"$18,000.00 ",7/1/2017,2017
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,SECOND QUARTER REPORT,"$18,000.00 ",7/1/2018,2018
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,SECOND QUARTER REPORT,"$18,000.00 ",7/2/2019,2019
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,SECOND QUARTER REPORT,"$18,000.00 ",7/6/2013,2013
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,SECOND QUARTER REPORT,"$18,000.00 ",7/7/2014,2014
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,REGISTRATION,,7/15/2010,2010
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,THIRD QUARTER REPORT,"$15,000.00 ",10/1/2010,2010
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,THIRD QUARTER REPORT,"$15,000.00 ",10/1/2011,2011
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,THIRD QUARTER REPORT,"$15,000.00 ",10/1/2012,2012
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,THIRD QUARTER REPORT,"$18,000.00 ",10/1/2014,2014
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,THIRD QUARTER REPORT,"$18,000.00 ",10/1/2015,2015
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,THIRD QUARTER REPORT,"$18,000.00 ",10/1/2018,2018
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,THIRD QUARTER REPORT,"$18,000.00 ",10/8/2017,2017
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,THIRD QUARTER REPORT,"$18,000.00 ",10/11/2013,2013
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,THIRD QUARTER REPORT,"$18,000.00 ",10/16/2016,2016
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,THIRD QUARTER REPORT,"$18,000.00 ",11/18/2019,2019
MI,"ALPINE GROUP, INC.",SPARROW HEALTH SYSTEM,REGISTRATION,,2/8/2006,2006
MI,"ALPINE GROUP, INC.",SPARROW HEALTH SYSTEM,REGISTRATION,,7/19/2006,2006
MI,ALSTON & BIRD LLP,BNN Holdings Corp,REGISTRATION,,1/18/2013,2013
MI,ALSTON & BIRD LLP,BNN Holdings Corp,FIRST QUARTER TERMINATION,"$20,000.00 ",4/22/2013,2013
MI,ALSTON & BIRD LLP,FORD MOTOR CO,YEAR-END REPORT,"$40,000.00 ",2/17/2005,2004
MI,ALSTON & BIRD LLP,FORD MOTOR CO,REGISTRATION,,5/19/2004,2004
MI,ALSTON & BIRD LLP,FORD MOTOR CO,MID-YEAR (NO ACTIVITY),,8/25/2004,2004
MI,ALSTON & BIRD LLP,INGHAM REGIONAL MEDICAL CENTER & SPARROW HEALTH SYSTEM,YEAR-END REPORT,"$80,000.00 ",2/13/2007,2006
MI,ALSTON & BIRD LLP,Regents of the University of Michigan,FOURTH QUARTER REPORT,,1/21/2020,2019
MI,ALSTON & BIRD LLP,Regents of the University of Michigan,FIRST QUARTER REPORT,"$20,000.00 ",4/22/2019,2019
MI,ALSTON & BIRD LLP,Regents of the University of Michigan,SECOND QUARTER REPORT,"$10,000.00 ",7/22/2019,2019
MI,ALSTON & BIRD LLP,Regents of the University of Michigan,REGISTRATION,,9/24/2018,2018
MI,ALSTON & BIRD LLP,Regents of the University of Michigan,THIRD QUARTER REPORT,,10/21/2019,2019
MI,Altarum Institute,Altarum Institute,FOURTH QUARTER REPORT,,1/15/2013,2012
MI,Altarum Institute,Altarum Institute,FOURTH QUARTER REPORT,,1/18/2012,2011
MI,Altarum Institute,Altarum Institute,FOURTH QUARTER REPORT,,1/19/2016,2015
MI,Altarum Institute,Altarum Institute,FOURTH QUARTER REPORT,,1/19/2017,2016
MI,Altarum Institute,Altarum Institute,FOURTH QUARTER REPORT,,1/20/2015,2014
MI,Altarum Institute,Altarum Institute,REGISTRATION,,3/15/2011,2011
MI,Altarum Institute,Altarum Institute,REGISTRATION AMENDMENT,,3/29/2011,2011
MI,Altarum Institute,Altarum Institute,FIRST QUARTER REPORT,,4/14/2015,2015
MI,Altarum Institute,Altarum Institute,FIRST QUARTER REPORT,,4/18/2014,2014
MI,Altarum Institute,Altarum Institute,FIRST QUARTER REPORT,"$10,000.00 ",4/19/2011,2011
MI,Altarum Institute,Altarum Institute,FIRST QUARTER REPORT,,4/19/2012,2012
MI,Altarum Institute,Altarum Institute,FIRST QUARTER REPORT,"$10,000.00 ",4/19/2013,2013
MI,Altarum Institute,Altarum Institute,FIRST QUARTER REPORT,,4/20/2016,2016
MI,Altarum Institute,Altarum Institute,SECOND QUARTER REPORT,,7/6/2016,2016
MI,Altarum Institute,Altarum Institute,SECOND QUARTER REPORT,,7/18/2013,2013
