State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
MO,"ADKINS, STAN",AMERICAN LIVER FOUNDATION GREATER KANSAS CITY CHAPETER,REGISTRATION,,5/17/1999,1999
MO,"African Federal Group, LLC",AFRICANFEDERAL GROUP LLC,REGISTRATION AMENDMENT,,3/10/2013,2012
MO,"African Federal Group, LLC",AFRICANFEDERAL GROUP LLC,REGISTRATION,,12/18/2012,2012
MO,Air Medical Group Holdings,Air Medical Group Holdings,FOURTH QUARTER REPORT,"$920,000.00 ",1/17/2020,2019
MO,Air Medical Group Holdings,Air Medical Group Holdings,REGISTRATION,,10/18/2019,2019
MO,Air Medical Group Holdings,Air Medical Group Holdings,THIRD QUARTER REPORT,"$1,190,000.00 ",10/21/2019,2019
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,FOURTH QUARTER REPORT,"$890,000.00 ",1/21/2020,2019
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,SECOND QUARTER REPORT,"$60,000.00 ",7/22/2019,2019
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,SECOND QUARTER AMENDMENT,"$200,000.00 ",8/15/2019,2019
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,THIRD QUARTER REPORT,"$1,090,000.00 ",10/21/2019,2019
MO,Akin Gump Strauss Hauer & Feld,AVAX TECHNOLOGIES,YEAR-END REPORT,"$20,000.00 ",2/14/2000,1999
MO,Akin Gump Strauss Hauer & Feld,AVAX TECHNOLOGIES,YEAR-END TERMINATION,,2/14/2001,2000
MO,Akin Gump Strauss Hauer & Feld,AVAX TECHNOLOGIES,MID-YEAR REPORT,,8/11/2000,2000
MO,Akin Gump Strauss Hauer & Feld,AVAX TECHNOLOGIES,MID-YEAR REPORT,"$40,000.00 ",8/13/1999,1999
MO,"ALPINE GROUP, INC.",Mallinckrodt,FOURTH QUARTER REPORT,"$40,000.00 ",1/16/2018,2017
MO,"ALPINE GROUP, INC.",Mallinckrodt,FOURTH QUARTER REPORT,"$40,000.00 ",1/17/2020,2019
MO,"ALPINE GROUP, INC.",Mallinckrodt,FOURTH QUARTER REPORT,"$40,000.00 ",1/18/2019,2018
MO,"ALPINE GROUP, INC.",Mallinckrodt,FOURTH QUARTER REPORT,"$40,000.00 ",1/21/2017,2016
MO,"ALPINE GROUP, INC.",Mallinckrodt,SECOND QUARTER REPORT,"$40,000.00 ",1/25/2017,2016
MO,"ALPINE GROUP, INC.",Mallinckrodt,FIRST QUARTER REPORT,"$40,000.00 ",4/13/2018,2018
MO,"ALPINE GROUP, INC.",Mallinckrodt,FIRST QUARTER REPORT,"$40,000.00 ",4/22/2019,2019
MO,"ALPINE GROUP, INC.",Mallinckrodt,FIRST QUARTER REPORT,"$40,000.00 ",5/26/2017,2017
MO,"ALPINE GROUP, INC.",Mallinckrodt,SECOND QUARTER REPORT,"$20,000.00 ",7/13/2017,2017
MO,"ALPINE GROUP, INC.",Mallinckrodt,SECOND QUARTER REPORT,"$40,000.00 ",7/13/2018,2018
MO,"ALPINE GROUP, INC.",Mallinckrodt,SECOND QUARTER REPORT,"$40,000.00 ",7/22/2019,2019
MO,"ALPINE GROUP, INC.",Mallinckrodt,REGISTRATION,,10/4/2016,2016
MO,"ALPINE GROUP, INC.",Mallinckrodt,THIRD QUARTER REPORT,"$40,000.00 ",10/16/2017,2017
MO,"ALPINE GROUP, INC.",Mallinckrodt,THIRD QUARTER REPORT,"$40,000.00 ",10/19/2018,2018
MO,"ALPINE GROUP, INC.",Mallinckrodt,THIRD QUARTER REPORT,"$40,000.00 ",10/20/2016,2016
MO,"ALPINE GROUP, INC.",Mallinckrodt,THIRD QUARTER REPORT,"$40,000.00 ",10/21/2019,2019
MO,ALSTON & BIRD LLP,American College of Lifestyle Medicine,FOURTH QUARTER REPORT,"$50,000.00 ",1/21/2020,2019
MO,ALSTON & BIRD LLP,American College of Lifestyle Medicine,REGISTRATION,,5/21/2019,2019
MO,ALSTON & BIRD LLP,American College of Lifestyle Medicine,SECOND QUARTER REPORT,"$50,000.00 ",7/22/2019,2019
MO,ALSTON & BIRD LLP,American College of Lifestyle Medicine,THIRD QUARTER REPORT,"$50,000.00 ",10/21/2019,2019
MO,ALSTON & BIRD LLP,MISSOURI HOSPITAL ASSOCIATION,REGISTRATION,,8/24/2006,2006
MO,ANWAY LONG GROUP,Mallinckrodt LLC,REGISTRATION,,1/21/2019,2018
MO,Arent Fox LLP,LOGAN COLLEGE & CHIROPRACTIC,MID-YEAR REPORT,"$20,000.00 ",8/14/2001,2001
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,FOURTH QUARTER REPORT,"$50,000.00 ",1/16/2020,2019
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,FOURTH QUARTER REPORT,"$60,000.00 ",1/18/2019,2018
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,FOURTH QUARTER REPORT,"$60,000.00 ",1/19/2018,2017
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,FOURTH QUARTER REPORT,"$50,000.00 ",1/20/2017,2016
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,REGISTRATION,,1/31/2016,2015
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,FOURTH QUARTER REPORT,,3/24/2016,2015
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,FIRST QUARTER REPORT,"$50,000.00 ",4/19/2016,2016
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,FIRST QUARTER REPORT,"$60,000.00 ",4/19/2018,2018
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,FIRST QUARTER REPORT,"$70,000.00 ",4/19/2019,2019
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,FIRST QUARTER AMENDMENT,"$50,000.00 ",4/20/2016,2016
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2017,2017
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,SECOND QUARTER REPORT,"$50,000.00 ",7/18/2017,2017
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,SECOND QUARTER REPORT,"$50,000.00 ",7/19/2016,2016
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,SECOND QUARTER REPORT,"$60,000.00 ",7/19/2018,2018
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,SECOND QUARTER REPORT,"$50,000.00 ",7/19/2019,2019
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,THIRD QUARTER REPORT,"$50,000.00 ",10/17/2016,2016
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,THIRD QUARTER REPORT,"$60,000.00 ",10/19/2017,2017
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,THIRD QUARTER REPORT,"$60,000.00 ",10/19/2018,2018
MO,Arnold & Porter Kaye Scholer LLP,American Association of Orthodontists,THIRD QUARTER REPORT,"$50,000.00 ",10/21/2019,2019
MO,Artemis Strategies,HRB Tax Group,FOURTH QUARTER REPORT,"$50,000.00 ",1/28/2014,2013
MO,Artemis Strategies,HRB Tax Group,FIRST QUARTER REPORT,"$10,000.00 ",7/9/2013,2013
MO,Artemis Strategies,HRB Tax Group,SECOND QUARTER REPORT,"$50,000.00 ",7/23/2013,2013
MO,Artemis Strategies,HRB Tax Group,THIRD QUARTER REPORT,"$50,000.00 ",10/29/2013,2013
MO,ASSN OF MISSOURI ELECTRIC COOPERATIVES,ASSN OF MISSOURI ELECTRIC COOPERATIVES,MID-YEAR REPORT,,8/13/1999,1999
MO,Axela Government Relations LLC,KidneyWise,REGISTRATION,,1/18/2010,2009
MO,Axela Government Relations LLC,KidneyWise,FOURTH QUARTER REPORT,"$10,000.00 ",1/20/2010,2009
MO,Axela Government Relations LLC,KidneyWise,FIRST QUARTER REPORT,"$40,000.00 ",4/19/2010,2010
MO,Axela Government Relations LLC,KidneyWise,SECOND QUARTER REPORT,"$40,000.00 ",7/13/2010,2010
MO,Barnes & Thornburg LLP,Ascension Health Alliance,FOURTH QUARTER REPORT,"$60,000.00 ",1/18/2018,2017
MO,Barnes & Thornburg LLP,Ascension Health Alliance,FOURTH QUARTER REPORT,"$60,000.00 ",1/20/2019,2018
MO,Barnes & Thornburg LLP,Ascension Health Alliance,FIRST QUARTER REPORT,"$60,000.00 ",4/20/2018,2018
MO,Barnes & Thornburg LLP,Ascension Health Alliance,FIRST QUARTER REPORT,"$60,000.00 ",4/21/2019,2019
MO,Barnes & Thornburg LLP,Ascension Health Alliance,REGISTRATION,,5/18/2017,2017
MO,Barnes & Thornburg LLP,Ascension Health Alliance,SECOND QUARTER REPORT,"$60,000.00 ",7/19/2018,2018
