State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
NH,Akin Gump Strauss Hauer & Feld,Dartmouth-Hitchcock Medical Center,FOURTH QUARTER REPORT,"$20,000.00 ",1/19/2015,2014
NH,Akin Gump Strauss Hauer & Feld,Dartmouth-Hitchcock Medical Center,FOURTH QUARTER REPORT,"$10,000.00 ",1/20/2016,2015
NH,Akin Gump Strauss Hauer & Feld,Dartmouth-Hitchcock Medical Center,FIRST QUARTER REPORT,,4/18/2015,2015
NH,Akin Gump Strauss Hauer & Feld,Dartmouth-Hitchcock Medical Center,FIRST QUARTER REPORT,,4/19/2016,2016
NH,Akin Gump Strauss Hauer & Feld,Dartmouth-Hitchcock Medical Center,SECOND QUARTER REPORT,,7/20/2015,2015
NH,Akin Gump Strauss Hauer & Feld,Dartmouth-Hitchcock Medical Center,SECOND QUARTER TERMINATION,,7/20/2016,2016
NH,Akin Gump Strauss Hauer & Feld,Dartmouth-Hitchcock Medical Center,THIRD QUARTER REPORT,"$20,000.00 ",10/20/2015,2015
NH,Akin Gump Strauss Hauer & Feld,Dartmouth-Hitchcock Medical Center,REGISTRATION,,12/5/2014,2014
NH,American Continental Group,EMERSON ECOLOGICS LLC (FORMERLY KNOWN AS LIBERTY LANE PARTNERS),FOURTH QUARTER REPORT,"$40,000.00 ",1/18/2011,2010
NH,American Continental Group,EMERSON ECOLOGICS LLC (FORMERLY KNOWN AS LIBERTY LANE PARTNERS),FOURTH QUARTER REPORT,"$50,000.00 ",1/18/2012,2011
NH,American Continental Group,EMERSON ECOLOGICS LLC (FORMERLY KNOWN AS LIBERTY LANE PARTNERS),REGISTRATION,,4/11/2009,2009
NH,American Continental Group,EMERSON ECOLOGICS LLC (FORMERLY KNOWN AS LIBERTY LANE PARTNERS),FIRST QUARTER REPORT,"$30,000.00 ",4/15/2009,2009
NH,American Continental Group,EMERSON ECOLOGICS LLC (FORMERLY KNOWN AS LIBERTY LANE PARTNERS),FIRST QUARTER REPORT,"$50,000.00 ",4/18/2011,2011
NH,American Continental Group,EMERSON ECOLOGICS LLC (FORMERLY KNOWN AS LIBERTY LANE PARTNERS),FIRST QUARTER REPORT,"$40,000.00 ",4/20/2010,2010
NH,American Continental Group,EMERSON ECOLOGICS LLC (FORMERLY KNOWN AS LIBERTY LANE PARTNERS),REGISTRATION AMENDMENT,,4/20/2010,2010
NH,American Continental Group,EMERSON ECOLOGICS LLC (FORMERLY KNOWN AS LIBERTY LANE PARTNERS),FIRST QUARTER REPORT,"$50,000.00 ",4/20/2012,2012
NH,American Continental Group,EMERSON ECOLOGICS LLC (FORMERLY KNOWN AS LIBERTY LANE PARTNERS),SECOND QUARTER REPORT,"$50,000.00 ",7/13/2011,2011
NH,American Continental Group,EMERSON ECOLOGICS LLC (FORMERLY KNOWN AS LIBERTY LANE PARTNERS),SECOND QUARTER REPORT,"$40,000.00 ",7/14/2010,2010
NH,American Continental Group,EMERSON ECOLOGICS LLC (FORMERLY KNOWN AS LIBERTY LANE PARTNERS),THIRD QUARTER REPORT,"$50,000.00 ",10/19/2011,2011
NH,American Continental Group,EMERSON ECOLOGICS LLC (FORMERLY KNOWN AS LIBERTY LANE PARTNERS),THIRD QUARTER REPORT,"$40,000.00 ",10/20/2010,2010
NH,"Cassidy & Associates, Inc.",ELLIOT HEALTH SYSTEM,REGISTRATION,,1/24/2002,2002
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FOURTH QUARTER REPORT,"$10,000.00 ",1/12/2010,2009
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FOURTH QUARTER REPORT,"$7,800.00 ",1/16/2018,2017
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FOURTH QUARTER REPORT,"$10,000.00 ",1/18/2011,2010
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FOURTH QUARTER TERMINATION,"$15,000.00 ",1/20/2012,2011
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FOURTH QUARTER REPORT,"$15,000.00 ",1/21/2020,2019
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FOURTH QUARTER REPORT,"$15,000.00 ",1/22/2019,2018
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,REGISTRATION AMENDMENT,,2/14/2017,2017
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,REGISTRATION,,2/26/2008,2008
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FIRST QUARTER REPORT,"$10,000.00 ",4/11/2011,2011
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FIRST QUARTER REPORT,"$10,000.00 ",4/16/2009,2009
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FIRST QUARTER REPORT,"$10,000.00 ",4/19/2010,2010
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FIRST QUARTER REPORT,"$10,000.00 ",4/19/2018,2018
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FIRST QUARTER REPORT,"$15,000.00 ",4/19/2019,2019
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,SECOND QUARTER REPORT,"$10,000.00 ",7/1/2010,2010
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,SECOND QUARTER REPORT,"$10,000.00 ",7/2/2009,2009
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,SECOND QUARTER REPORT,"$10,000.00 ",7/5/2011,2011
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,SECOND QUARTER REPORT,"$15,000.00 ",7/18/2019,2019
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,SECOND QUARTER REPORT,"$7,800.00 ",7/19/2017,2017
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,SECOND QUARTER REPORT,"$10,000.00 ",7/19/2018,2018
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,THIRD QUARTER REPORT,"$10,000.00 ",10/3/2011,2011
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,THIRD QUARTER REPORT,"$10,000.00 ",10/12/2009,2009
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,THIRD QUARTER REPORT,"$10,000.00 ",10/12/2010,2010
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,THIRD QUARTER REPORT,"$15,000.00 ",10/14/2019,2019
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,THIRD QUARTER REPORT,"$7,800.00 ",10/20/2017,2017
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,THIRD QUARTER REPORT,"$15,000.00 ",10/21/2018,2018
NH,"Foley & Lardner, LLP",Novocure Inc.,FOURTH QUARTER REPORT,"$60,000.00 ",1/19/2018,2017
NH,"Foley & Lardner, LLP",Novocure Inc.,FOURTH QUARTER REPORT,"$180,000.00 ",1/20/2020,2019
NH,"Foley & Lardner, LLP",Novocure Inc.,FOURTH QUARTER REPORT,"$90,000.00 ",1/22/2019,2018
NH,"Foley & Lardner, LLP",Novocure Inc.,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2018,2018
NH,"Foley & Lardner, LLP",Novocure Inc.,FIRST QUARTER REPORT,"$90,000.00 ",4/22/2019,2019
NH,"Foley & Lardner, LLP",Novocure Inc.,SECOND QUARTER REPORT,"$80,000.00 ",7/19/2018,2018
NH,"Foley & Lardner, LLP",Novocure Inc.,SECOND QUARTER REPORT,"$120,000.00 ",7/22/2019,2019
NH,"Foley & Lardner, LLP",Novocure Inc.,THIRD QUARTER REPORT,"$140,000.00 ",10/21/2019,2019
NH,"Foley & Lardner, LLP",Novocure Inc.,THIRD QUARTER REPORT,"$80,000.00 ",10/22/2018,2018
NH,"Foley & Lardner, LLP",Novocure Inc.,REGISTRATION,,10/25/2017,2017
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FOURTH QUARTER REPORT,"$20,000.00 ",1/6/2017,2016
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FOURTH QUARTER REPORT,"$20,000.00 ",1/7/2015,2014
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FOURTH QUARTER REPORT,"$30,000.00 ",1/7/2019,2018
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FOURTH QUARTER REPORT,"$20,000.00 ",1/8/2013,2012
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FOURTH QUARTER REPORT,"$20,000.00 ",1/8/2016,2015
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FOURTH QUARTER REPORT,"$20,000.00 ",1/10/2012,2011
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FOURTH QUARTER REPORT,"$30,000.00 ",1/10/2020,2019
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FOURTH QUARTER REPORT,"$20,000.00 ",1/12/2011,2010
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FOURTH QUARTER REPORT,"$20,000.00 ",1/13/2014,2013
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FOURTH QUARTER REPORT,,1/15/2010,2009
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FOURTH QUARTER REPORT,"$20,000.00 ",1/22/2018,2017
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FIRST QUARTER REPORT,"$30,000.00 ",4/3/2019,2019
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FIRST QUARTER REPORT,"$20,000.00 ",4/6/2016,2016
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FIRST QUARTER REPORT,"$20,000.00 ",4/12/2012,2012
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FIRST QUARTER REPORT,"$20,000.00 ",4/13/2015,2015
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FIRST QUARTER REPORT,"$20,000.00 ",4/15/2010,2010
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FIRST QUARTER REPORT,"$20,000.00 ",4/15/2014,2014
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FIRST QUARTER REPORT,"$20,000.00 ",4/17/2013,2013
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FIRST QUARTER REPORT,"$20,000.00 ",4/17/2017,2017
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,FIRST QUARTER REPORT,"$30,000.00 ",4/19/2018,2018
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,SECOND QUARTER REPORT,"$30,000.00 ",7/1/2019,2019
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,SECOND QUARTER REPORT,"$20,000.00 ",7/6/2015,2015
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,SECOND QUARTER REPORT,"$20,000.00 ",7/8/2014,2014
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,SECOND QUARTER REPORT,"$20,000.00 ",7/8/2016,2016
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,SECOND QUARTER REPORT,"$20,000.00 ",7/9/2013,2013
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,SECOND QUARTER REPORT,"$30,000.00 ",7/12/2018,2018
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,SECOND QUARTER REPORT,"$20,000.00 ",7/13/2010,2010
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,REGISTRATION AMENDMENT,,7/14/2011,2011
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,REGISTRATION,,7/15/2009,2009
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,SECOND QUARTER REPORT,"$20,000.00 ",7/16/2012,2012
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,SECOND QUARTER REPORT,"$20,000.00 ",7/17/2009,2009
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,SECOND QUARTER REPORT,"$20,000.00 ",7/18/2017,2017
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,THIRD QUARTER REPORT,"$30,000.00 ",10/1/2019,2019
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,THIRD QUARTER REPORT,"$30,000.00 ",10/3/2018,2018
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,THIRD QUARTER REPORT,"$20,000.00 ",10/6/2014,2014
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,THIRD QUARTER REPORT,"$20,000.00 ",10/6/2016,2016
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,THIRD QUARTER REPORT,"$20,000.00 ",10/7/2010,2010
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,THIRD QUARTER REPORT,"$20,000.00 ",10/8/2013,2013
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,THIRD QUARTER REPORT,"$20,000.00 ",10/12/2017,2017
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,THIRD QUARTER REPORT,"$20,000.00 ",10/13/2015,2015
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,THIRD QUARTER REPORT,"$20,000.00 ",10/15/2012,2012
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,THIRD QUARTER REPORT,"$20,000.00 ",10/18/2011,2011
NH,"Forscey, PLLC",Workers Injury Law & Advocacy Group,THIRD QUARTER REPORT,"$30,000.00 ",10/20/2009,2009
NH,"Gibbons & Company, Inc","Dartmouth-Hitchcock Medical Center, Norris Cotton Cancer Center",SECOND QUARTER REPORT,,1/14/2014,2013
NH,"Gibbons & Company, Inc","Dartmouth-Hitchcock Medical Center, Norris Cotton Cancer Center",FOURTH QUARTER REPORT,"$18,000.00 ",1/24/2012,2011
NH,"Gibbons & Company, Inc","Dartmouth-Hitchcock Medical Center, Norris Cotton Cancer Center",FOURTH QUARTER REPORT,"$10,500.00 ",2/2/2013,2012
NH,"Gibbons & Company, Inc","Dartmouth-Hitchcock Medical Center, Norris Cotton Cancer Center",REGISTRATION,,3/25/2011,2011
NH,"Gibbons & Company, Inc","Dartmouth-Hitchcock Medical Center, Norris Cotton Cancer Center",FIRST QUARTER REPORT,"$12,000.00 ",4/20/2012,2012
NH,"Gibbons & Company, Inc","Dartmouth-Hitchcock Medical Center, Norris Cotton Cancer Center",FIRST QUARTER REPORT,"$7,000.00 ",5/9/2013,2013
NH,"Gibbons & Company, Inc","Dartmouth-Hitchcock Medical Center, Norris Cotton Cancer Center",SECOND QUARTER REPORT,"$5,000.00 ",7/20/2012,2012
NH,"Gibbons & Company, Inc","Dartmouth-Hitchcock Medical Center, Norris Cotton Cancer Center",FIRST QUARTER REPORT,"$12,000.00 ",7/25/2011,2011
NH,"Gibbons & Company, Inc","Dartmouth-Hitchcock Medical Center, Norris Cotton Cancer Center",SECOND QUARTER REPORT,"$18,000.00 ",7/25/2011,2011
NH,"Gibbons & Company, Inc","Dartmouth-Hitchcock Medical Center, Norris Cotton Cancer Center",THIRD QUARTER REPORT,"$18,000.00 ",10/20/2011,2011
NH,"Gibbons & Company, Inc","Dartmouth-Hitchcock Medical Center, Norris Cotton Cancer Center",THIRD QUARTER REPORT,"$5,000.00 ",12/7/2012,2012
NH,M+R Strategic Services,PRACTICE GREEN HEALTH - FORMERLY KNOWN AS: HOSPITALS FOR A HEALTHY ENVIRONMENT,REGISTRATION,,2/6/2008,2007
NH,M+R Strategic Services,PRACTICE GREEN HEALTH - FORMERLY KNOWN AS: HOSPITALS FOR A HEALTHY ENVIRONMENT,REGISTRATION AMENDMENT,,2/7/2008,2008
NH,M+R Strategic Services,PRACTICE GREEN HEALTH - FORMERLY KNOWN AS: HOSPITALS FOR A HEALTHY ENVIRONMENT,FIRST QUARTER REPORT,"$15,000.00 ",4/21/2008,2008
NH,M+R Strategic Services,PRACTICE GREEN HEALTH - FORMERLY KNOWN AS: HOSPITALS FOR A HEALTHY ENVIRONMENT,SECOND QUARTER TERMINATION,"$15,000.00 ",7/21/2008,2008
NH,McDermott Will & Emery LLP,MEDICAL METRX SOLUTIONS,MID-YEAR REPORT,,5/30/2007,2005
NH,McDermott Will & Emery LLP,MEDICAL METRX SOLUTIONS,REGISTRATION,,6/3/2005,2005
NH,McDermott Will & Emery LLP,MEDICAL METRX SOLUTIONS,MID-YEAR REPORT,,7/28/2006,2006
NH,Michael A. Andrews,OurHealthConnector,FOURTH QUARTER REPORT,,1/16/2009,2008
NH,Michael A. Andrews,OurHealthConnector,YEAR-END REPORT,,2/4/2007,2006
NH,Michael A. Andrews,OurHealthConnector,YEAR-END REPORT,,2/14/2008,2007
NH,Michael A. Andrews,OurHealthConnector,REGISTRATION,,2/22/2005,2005
NH,Michael A. Andrews,OurHealthConnector,FIRST QUARTER REPORT,,4/15/2009,2009
NH,Michael A. Andrews,OurHealthConnector,FIRST QUARTER REPORT,,4/20/2008,2008
NH,Michael A. Andrews,OurHealthConnector,SECOND QUARTER AMENDMENT,,7/19/2008,2008
NH,Michael A. Andrews,OurHealthConnector,SECOND QUARTER REPORT,,7/19/2008,2008
NH,Michael A. Andrews,OurHealthConnector,MID-YEAR REPORT,,8/8/2007,2007
NH,Michael A. Andrews,OurHealthConnector,MID-YEAR REPORT,,8/17/2005,2005
NH,Michael A. Andrews,OurHealthConnector,THIRD QUARTER REPORT,,11/17/2009,2009
NH,"Pacquing Consulting, Inc.",ICAD INC,REGISTRATION,,6/2/2003,2003
NH,Peck Madigan Jones,"InnovaCare, Inc.",FOURTH QUARTER REPORT,"$80,000.00 ",1/20/2015,2014
NH,Peck Madigan Jones,"InnovaCare, Inc.",FOURTH QUARTER REPORT,"$80,000.00 ",1/20/2016,2015
