State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
NJ,"AJW, Inc.",Covanta Energy,SECOND QUARTER REPORT,"$10,000.00 ",7/20/2018,2018
NJ,Akin Gump Strauss Hauer & Feld,Amarin Corporation PLC,SECOND QUARTER REPORT,"$30,000.00 ",7/19/2014,2014
NJ,Akin Gump Strauss Hauer & Feld,"Daiichi Sankyo, Inc.",SECOND QUARTER REPORT,"$30,000.00 ",7/19/2017,2017
NJ,Akin Gump Strauss Hauer & Feld,"Daiichi Sankyo, Inc.",SECOND QUARTER REPORT,"$30,000.00 ",7/20/2018,2018
NJ,Akin Gump Strauss Hauer & Feld,"Daiichi Sankyo, Inc.",SECOND QUARTER TERMINATION,"$20,000.00 ",7/22/2019,2019
NJ,Akin Gump Strauss Hauer & Feld,SUN PHARMA (FORMERLY RANBAXY INC ),SECOND QUARTER TERMINATION,"$80,000.00 ",7/20/2015,2015
NJ,Akin Gump Strauss Hauer & Feld,SUN PHARMA (FORMERLY RANBAXY INC ),SECOND QUARTER REPORT,,7/21/2014,2014
NJ,"ALPINE GROUP, INC.",Dun and Bradstreet,SECOND QUARTER REPORT,"$30,000.00 ",7/17/2012,2012
NJ,American Capitol Group,"Ipsen Biopharmaceuticals, Inc.",SECOND QUARTER REPORT,"$30,000.00 ",7/9/2018,2018
NJ,American Capitol Group,"Ipsen Biopharmaceuticals, Inc.",SECOND QUARTER REPORT,"$30,000.00 ",7/9/2019,2019
NJ,"Aon Consulting, Inc.",AON CONSULTING INC,SECOND QUARTER REPORT,"$10,000.00 ",7/18/2008,2008
NJ,APCO Worldwide LLC,"Becton, Dickinson and Company",SECOND QUARTER REPORT,"$10,000.00 ",7/18/2011,2011
NJ,Arent Fox LLP,ALLERGAN PLC,SECOND QUARTER REPORT,"$60,000.00 ",7/15/2012,2012
NJ,Arent Fox LLP,ALLERGAN PLC,SECOND QUARTER REPORT,"$60,000.00 ",7/18/2013,2013
NJ,Arent Fox LLP,ALLERGAN PLC,SECOND QUARTER REPORT,"$30,000.00 ",7/19/2015,2015
NJ,Arent Fox LLP,ALLERGAN PLC,SECOND QUARTER REPORT,"$80,000.00 ",7/21/2014,2014
NJ,Arent Fox LLP,NATIONAL ASSOCIATION OF PEDIATRIC NURSE PRACTITIONERS,SECOND QUARTER REPORT,"$30,000.00 ",7/18/2008,2008
NJ,Arnold & Porter Kaye Scholer LLP,"Edge Therapeutics, Inc.",SECOND QUARTER REPORT,"$140,000.00 ",7/19/2017,2017
NJ,Arnold & Porter Kaye Scholer LLP,National Association of Pediatric Nurse Practitioners,SECOND QUARTER REPORT,"$30,000.00 ",7/20/2009,2009
NJ,Arnold & Porter Kaye Scholer LLP,National Association of Pediatric Nurse Practitioners,SECOND QUARTER REPORT,"$30,000.00 ",7/20/2010,2010
NJ,Arnold & Porter Kaye Scholer LLP,Wockhardt USA LLC,SECOND QUARTER TERMINATION,"$20,000.00 ",7/19/2016,2016
NJ,Arnold & Porter Kaye Scholer LLP,Wockhardt USA LLC,SECOND QUARTER REPORT,"$50,000.00 ",7/20/2012,2012
NJ,Arnold & Porter Kaye Scholer LLP,Wockhardt USA LLC,SECOND QUARTER REPORT,"$50,000.00 ",7/20/2015,2015
NJ,Arnold & Porter Kaye Scholer LLP,Wockhardt USA LLC,SECOND QUARTER REPORT,"$50,000.00 ",7/21/2014,2014
NJ,Arnold & Porter Kaye Scholer LLP,Wockhardt USA LLC,SECOND QUARTER REPORT,"$50,000.00 ",7/22/2013,2013
NJ,Aveta Inc.,Aveta Inc.,SECOND QUARTER REPORT,"$120,000.00 ",7/20/2011,2011
NJ,Baker & Hostetler LLP,"Advaxis, Inc.",SECOND QUARTER REPORT,"$70,000.00 ",7/11/2017,2017
NJ,Baker & Hostetler LLP,"Advaxis, Inc.",SECOND QUARTER REPORT,"$20,000.00 ",7/19/2016,2016
NJ,Baker & Hostetler LLP,C.R. Bard Inc.,SECOND QUARTER REPORT,"$60,000.00 ",7/11/2017,2017
