State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
NM,Alcalde & Fay,SAN JUAN COUNTY,YEAR-END REPORT,"$60,000.00 ",2/14/2005,2004
NM,Alcalde & Fay,SAN JUAN COUNTY,REGISTRATION,,7/28/2004,2004
NM,Alcalde & Fay,SAN JUAN COUNTY,MID-YEAR REPORT,"$40,000.00 ",8/13/2004,2004
NM,Alcalde & Fay,SANDOVAL COUNTY,YEAR-END REPORT,"$20,000.00 ",2/12/2007,2006
NM,Alcalde & Fay,SANDOVAL COUNTY,YEAR-END REPORT,"$40,000.00 ",2/12/2008,2007
NM,Alcalde & Fay,SANDOVAL COUNTY,YEAR-END REPORT,"$20,000.00 ",2/14/2005,2004
NM,Alcalde & Fay,SANDOVAL COUNTY,YEAR-END REPORT,"$20,000.00 ",2/23/2006,2005
NM,Alcalde & Fay,SANDOVAL COUNTY,YEAR-END AMENDMENT,"$20,000.00 ",4/23/2004,2003
NM,Alcalde & Fay,SANDOVAL COUNTY,MID-YEAR REPORT,"$20,000.00 ",8/11/2005,2005
NM,Alcalde & Fay,SANDOVAL COUNTY,MID-YEAR REPORT,"$20,000.00 ",8/12/2006,2006
NM,Alcalde & Fay,SANDOVAL COUNTY,MID-YEAR REPORT,"$20,000.00 ",8/13/2004,2004
NM,Alcalde & Fay,SANDOVAL COUNTY,MID-YEAR REPORT,"$20,000.00 ",8/13/2007,2007
NM,American Continental Group,Roswell Regional Hospital,FOURTH QUARTER REPORT,"$10,000.00 ",1/19/2010,2009
NM,American Continental Group,Roswell Regional Hospital,FIRST QUARTER REPORT,"$10,000.00 ",4/7/2010,2010
NM,American Continental Group,Roswell Regional Hospital,REGISTRATION,,6/10/2009,2009
NM,American Continental Group,Roswell Regional Hospital,SECOND QUARTER REPORT,"$10,000.00 ",7/20/2009,2009
NM,American Continental Group,Roswell Regional Hospital,SECOND QUARTER REPORT,"$10,000.00 ",7/20/2010,2010
NM,American Continental Group,Roswell Regional Hospital,THIRD QUARTER REPORT,"$10,000.00 ",10/7/2009,2009
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FOURTH QUARTER REPORT,"$65,000.00 ",1/13/2011,2010
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,YEAR-END REPORT,"$100,000.00 ",1/14/2004,2003
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FOURTH QUARTER REPORT,"$64,000.00 ",1/15/2010,2009
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,YEAR-END REPORT,,1/18/2000,1999
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FOURTH QUARTER REPORT,"$37,730.00 ",1/23/2013,2012
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FOURTH QUARTER REPORT,"$94,000.00 ",1/28/2009,2008
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,YEAR-END REPORT,,1/30/2001,2000
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,YEAR-END REPORT,"$140,000.00 ",2/4/2003,2002
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,YEAR-END REPORT,"$124,000.00 ",2/9/2006,2005
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,YEAR-END REPORT,"$175,000.00 ",2/12/2008,2007
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FOURTH QUARTER REPORT,"$48,000.00 ",2/12/2012,2011
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,YEAR-END AMENDMENT,,2/18/2000,1999
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,YEAR-END REPORT,"$120,000.00 ",2/20/2007,2006
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,YEAR-END REPORT,"$20,000.00 ",3/3/2005,2004
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,YEAR-END REPORT,"$100,000.00 ",3/28/2002,2001
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FIRST QUARTER REPORT,"$57,777.00 ",4/15/2010,2010
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FIRST QUARTER REPORT,"$81,000.00 ",4/22/2008,2008
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FIRST QUARTER REPORT,"$77,521.00 ",4/28/2011,2011
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FIRST QUARTER REPORT,"$42,000.00 ",5/18/2012,2012
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,MID-YEAR REPORT,,6/30/2000,2000
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,MID-YEAR REPORT,"$80,000.00 ",7/6/2001,2001
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,SECOND QUARTER REPORT,"$52,400.00 ",7/6/2011,2011
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,SECOND QUARTER REPORT,"$85,282.00 ",7/8/2008,2008
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,MID-YEAR REPORT,,7/14/1999,1999
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,SECOND QUARTER REPORT,"$81,000.00 ",7/15/2009,2009
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,REGISTRATION AMENDMENT,,7/16/2013,2013
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,SECOND QUARTER REPORT,"$68,017.00 ",7/19/2010,2010
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,MID-YEAR REPORT,"$100,000.00 ",7/22/2005,2005
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,MID-YEAR REPORT,"$160,000.00 ",7/24/2003,2003
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,MID-YEAR REPORT,"$140,000.00 ",7/24/2007,2007
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,MID-YEAR AMENDMENT,,7/26/1999,1999
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,SECOND QUARTER REPORT,"$57,900.00 ",7/27/2012,2012
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,MID-YEAR REPORT,"$150,000.00 ",7/28/2004,2004
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,MID-YEAR REPORT,"$120,000.00 ",8/2/2002,2002
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,MID-YEAR REPORT,"$130,000.00 ",8/14/2006,2006
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,THIRD QUARTER REPORT,"$67,000.00 ",10/21/2010,2010
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,THIRD QUARTER REPORT,"$117,000.00 ",10/29/2008,2008
