State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
OH,A.C. Sinagra & Associates,WEST SIDE ECUMENICAL MINISTRY,REGISTRATION,,3/12/2003,2003
OH,A.C. Sinagra & Associates,WEST SIDE ECUMENICAL MINISTRY,YEAR-END TERMINATION,,4/12/2004,2003
OH,A.C. Sinagra & Associates,WEST SIDE ECUMENICAL MINISTRY,MID-YEAR REPORT,,8/8/2003,2003
OH,Adam Greenslade,Fremont Memorial Hospital,REGISTRATION,,3/19/2008,2008
OH,"Advocacy & Communication Solutions, LLC",American Red Cross of Greater Cleveland,REGISTRATION,,2/22/2010,2010
OH,"Advocacy & Communication Solutions, LLC",American Red Cross of Greater Cleveland,SECOND QUARTER REPORT,"$15,000.00 ",7/22/2011,2011
OH,"Advocacy & Communication Solutions, LLC",American Red Cross of Greater Cleveland,THIRD QUARTER REPORT,"$15,000.00 ",10/10/2011,2011
OH,"Advocacy & Communication Solutions, LLC",American Red Cross of Greater Cleveland,THIRD QUARTER TERMINATION AMENDMENT,"$15,000.00 ",10/11/2011,2011
OH,AK Steel Holding Corporation,AK Steel Holding Corporation,FOURTH QUARTER REPORT,"$193,627.00 ",1/20/2014,2013
OH,Akin Gump Strauss Hauer & Feld,"Cleveland HeartLab, Inc.",FOURTH QUARTER REPORT,"$10,000.00 ",1/20/2016,2015
OH,Akin Gump Strauss Hauer & Feld,"Cleveland HeartLab, Inc.",FIRST QUARTER REPORT,,4/20/2016,2016
OH,Akin Gump Strauss Hauer & Feld,"Cleveland HeartLab, Inc.",REGISTRATION,,7/10/2012,2012
OH,Akin Gump Strauss Hauer & Feld,"Cleveland HeartLab, Inc.",SECOND QUARTER REPORT,"$10,000.00 ",7/19/2012,2012
OH,Akin Gump Strauss Hauer & Feld,"Cleveland HeartLab, Inc.",THIRD QUARTER REPORT,,10/20/2012,2012
OH,Akin Gump Strauss Hauer & Feld,"Cleveland HeartLab, Inc.",REGISTRATION AMENDMENT,,11/12/2015,2015
