State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
OK,Akin Gump Strauss Hauer & Feld,George Kaiser Family Foundation,FOURTH QUARTER REPORT,"$20,000.00 ",1/16/2010,2009
OK,Akin Gump Strauss Hauer & Feld,George Kaiser Family Foundation,REGISTRATION,,2/13/2009,2009
OK,Akin Gump Strauss Hauer & Feld,George Kaiser Family Foundation,FIRST QUARTER REPORT,"$20,000.00 ",4/18/2010,2010
OK,Akin Gump Strauss Hauer & Feld,George Kaiser Family Foundation,FIRST QUARTER REPORT,"$70,000.00 ",4/20/2009,2009
OK,Akin Gump Strauss Hauer & Feld,George Kaiser Family Foundation,SECOND QUARTER REPORT,"$40,000.00 ",7/18/2009,2009
OK,Akin Gump Strauss Hauer & Feld,George Kaiser Family Foundation,SECOND QUARTER REPORT,"$10,000.00 ",7/20/2010,2010
OK,Akin Gump Strauss Hauer & Feld,George Kaiser Family Foundation,THIRD QUARTER REPORT,"$20,000.00 ",10/19/2009,2009
OK,ANGELS OF GRACE HOME HEALTHCARE LLC,ANGELS OF GRACE HOME HEALTHCARE LLC,REGISTRATION,,3/18/2002,2002
OK,ANGELS OF GRACE HOME HEALTHCARE LLC,ANGELS OF GRACE HOME HEALTHCARE LLC,REGISTRATION,,4/25/2002,2002
OK,Arent Fox LLP,INOVEON CORP,REGISTRATION,,8/11/2000,2000
OK,Arent Fox LLP,UNIV OF OKLAHOMA TULSA,REGISTRATION,,4/7/2003,2003
OK,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,YEAR-END REPORT,,2/13/2000,2000
OK,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,YEAR-END REPORT,,2/15/2000,1999
OK,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,YEAR-END REPORT,,2/24/2003,2002
OK,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,YEAR-END REPORT,,3/15/2002,2001
OK,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,YEAR-END REPORT,,3/15/2002,2001
OK,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,YEAR-END AMENDMENT,"$15,000.00 ",7/24/2000,1999
OK,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,MID-YEAR REPORT,"$20,000.00 ",8/7/2000,2000
OK,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,MID-YEAR REPORT,"$10,000.00 ",8/13/1999,1999
OK,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,MID-YEAR REPORT,,8/21/2002,2002
OK,BOESCH & CO,INTEGRIS HEALTH SYSTEMS,YEAR-END REPORT,"$40,000.00 ",2/13/2001,2000
OK,BOESCH & CO,INTEGRIS HEALTH SYSTEMS,YEAR-END REPORT,"$40,000.00 ",2/13/2002,2001
OK,BOESCH & CO,INTEGRIS HEALTH SYSTEMS,YEAR-END REPORT,"$40,000.00 ",2/14/2000,1999
OK,BOESCH & CO,INTEGRIS HEALTH SYSTEMS,YEAR-END REPORT,"$40,000.00 ",2/24/2003,2002
OK,BOESCH & CO,INTEGRIS HEALTH SYSTEMS,REGISTRATION AMENDMENT,,5/12/2000,1999
OK,BOESCH & CO,INTEGRIS HEALTH SYSTEMS,MID-YEAR REPORT,"$40,000.00 ",8/15/2002,2002
OK,BOESCH & CO,INTEGRIS HEALTH SYSTEMS,MID-YEAR AMENDMENT,"$40,000.00 ",8/16/2001,2001
OK,BOESCH & CO,INTEGRIS HEALTH SYSTEMS,MID-YEAR REPORT,"$40,000.00 ",8/18/2003,2003
OK,BOESCH & CO,INTEGRIS HEALTH SYSTEMS,MID-YEAR REPORT,"$40,000.00 ",8/23/2000,2000
OK,Brown Rudnick LLP,Integris Foundation,YEAR-END REPORT,"$40,000.00 ",2/7/2006,2005
OK,Brown Rudnick LLP,Integris Foundation,YEAR-END REPORT,"$40,000.00 ",2/12/2007,2006
OK,Brown Rudnick LLP,Integris Foundation,MID-YEAR REPORT,"$40,000.00 ",8/8/2006,2006
OK,Capital Consultants,CHICKASAW ENTERPRISES,REGISTRATION,,3/19/2007,2007
OK,"Capitol Counsel, LLC",Hastings and Associates,REGISTRATION,,1/27/2010,2009
OK,"Capitol Counsel, LLC",Hastings and Associates,FOURTH QUARTER REPORT,"$20,000.00 ",1/28/2010,2009
OK,"Capitol Counsel, LLC",Hastings and Associates,FIRST QUARTER REPORT,"$20,000.00 ",4/27/2010,2010
OK,"Capitol Counsel, LLC",Hastings and Associates,FIRST QUARTER TERMINATION AMENDMENT,"$20,000.00 ",9/23/2010,2010
OK,"Capitol Decisions, Inc.",ARINC Engineering Services LLC,MID-YEAR REPORT,"$20,000.00 ",9/16/2002,2002
OK,"Capitol Decisions, Inc.",ATKINS AMERICAS CORP,MID-YEAR REPORT,"$20,000.00 ",9/16/2002,2002
OK,"Capitol Decisions, Inc.",GARDNER PROPERTY INTEREST/PREMIER ASSETS,MID-YEAR REPORT,,9/16/2002,2002
OK,"Capitol Decisions, Inc.",GREAT PLAINS AIRLINES,MID-YEAR REPORT,"$40,000.00 ",9/16/2002,2002
OK,"Capitol Decisions, Inc.",LAWTON/FORT SILL CHAMBER OF COMMERCE & INDUSTRY,MID-YEAR REPORT,"$20,000.00 ",8/14/2000,2000
OK,"Capitol Decisions, Inc.",LAWTON/FORT SILL CHAMBER OF COMMERCE & INDUSTRY,MID-YEAR REPORT,"$40,000.00 ",9/16/2002,2002
OK,"Capitol Decisions, Inc.",MIDWEST CITY MEMORIAL HOSPITAL AUTHORITY,MID-YEAR REPORT,"$20,000.00 ",8/14/2000,2000
OK,"Capitol Decisions, Inc.",STATE OF OKLAHOMA,YEAR-END REPORT,"$40,000.00 ",1/16/2007,2006
OK,"Capitol Decisions, Inc.",STATE OF OKLAHOMA,YEAR-END REPORT,"$80,000.00 ",2/8/2006,2005
OK,"Capitol Decisions, Inc.",STATE OF OKLAHOMA,YEAR-END REPORT,"$60,000.00 ",2/14/2005,2004
OK,"Capitol Decisions, Inc.",STATE OF OKLAHOMA,MID-YEAR REPORT,"$40,000.00 ",7/12/2006,2006
OK,"Capitol Decisions, Inc.",STATE OF OKLAHOMA,MID-YEAR REPORT,"$40,000.00 ",7/27/2007,2007
OK,"Capitol Decisions, Inc.",STATE OF OKLAHOMA,MID-YEAR REPORT,"$60,000.00 ",8/12/2005,2005
OK,"Capitol Decisions, Inc.",STATE OF OKLAHOMA,MID-YEAR REPORT,"$40,000.00 ",9/2/2004,2004
OK,"Capitol Decisions, Inc.",STATE OF OKLAHOMA,MID-YEAR REPORT,"$80,000.00 ",9/16/2002,2002
OK,"Capitol Decisions, Inc.",TULSA AIRPORT AUTHORITY,MID-YEAR REPORT,"$20,000.00 ",8/14/2000,2000
OK,"Capitol Decisions, Inc.",TULSA AIRPORT AUTHORITY,MID-YEAR REPORT,"$80,000.00 ",9/16/2002,2002
OK,"Capitol Decisions, Inc.",VANCE DEVELOPMENT AUTHORITY,MID-YEAR REPORT,"$20,000.00 ",8/14/2000,2000
OK,"Capitol Decisions, Inc.",VANCE DEVELOPMENT AUTHORITY,MID-YEAR REPORT,"$40,000.00 ",9/16/2002,2002
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FOURTH QUARTER REPORT,"$24,000.00 ",1/15/2013,2012
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FOURTH QUARTER REPORT,"$22,000.00 ",1/16/2014,2013
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FOURTH QUARTER REPORT,"$20,000.00 ",1/18/2015,2014
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FOURTH QUARTER REPORT,"$20,000.00 ",1/20/2016,2015
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FOURTH QUARTER REPORT,"$20,000.00 ",1/20/2017,2016
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FIRST QUARTER REPORT,"$22,000.00 ",4/15/2014,2014
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FIRST QUARTER REPORT,"$20,000.00 ",4/15/2016,2016
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FIRST QUARTER REPORT,"$24,000.00 ",4/16/2013,2013
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FIRST QUARTER REPORT,"$20,000.00 ",4/17/2015,2015
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2017,2017
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,SECOND QUARTER REPORT,"$20,000.00 ",7/8/2014,2014
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,SECOND QUARTER REPORT,"$22,500.00 ",7/10/2013,2013
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,SECOND QUARTER REPORT,"$20,000.00 ",7/15/2015,2015
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,SECOND QUARTER REPORT,"$20,000.00 ",7/20/2016,2016
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,SECOND QUARTER REPORT,"$20,000.00 ",7/20/2017,2017
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,THIRD QUARTER REPORT,"$22,000.00 ",10/8/2013,2013
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,THIRD QUARTER REPORT,"$20,000.00 ",10/17/2014,2014
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,THIRD QUARTER REPORT,"$20,000.00 ",10/19/2017,2017
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,THIRD QUARTER REPORT,"$20,000.00 ",10/20/2015,2015
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,THIRD QUARTER REPORT,"$20,000.00 ",10/20/2016,2016
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FOURTH QUARTER REPORT,"$20,000.00 ",1/7/2010,2009
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FOURTH QUARTER REPORT,"$20,000.00 ",1/14/2009,2008
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FOURTH QUARTER REPORT,"$40,000.00 ",1/16/2013,2012
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FOURTH QUARTER REPORT,"$30,000.00 ",1/16/2014,2013
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FOURTH QUARTER REPORT,"$20,000.00 ",1/17/2012,2011
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FOURTH QUARTER REPORT,"$30,000.00 ",1/17/2015,2014
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FOURTH QUARTER REPORT,"$20,000.00 ",1/18/2011,2010
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FOURTH QUARTER REPORT,"$20,000.00 ",1/19/2018,2017
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FOURTH QUARTER REPORT,"$30,000.00 ",1/20/2016,2015
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FOURTH QUARTER REPORT,"$20,000.00 ",1/20/2017,2016
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FOURTH QUARTER REPORT,"$20,000.00 ",1/20/2019,2018
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FOURTH QUARTER REPORT,"$20,000.00 ",1/20/2020,2019
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FOURTH QUARTER AMENDMENT,"$20,000.00 ",1/24/2018,2017
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,REGISTRATION,,4/7/2008,2008
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FIRST QUARTER REPORT,"$30,000.00 ",4/7/2015,2015
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FIRST QUARTER REPORT,"$20,000.00 ",4/11/2012,2012
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FIRST QUARTER REPORT,"$20,000.00 ",4/15/2009,2009
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FIRST QUARTER REPORT,"$20,000.00 ",4/15/2016,2016
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FIRST QUARTER REPORT,"$20,000.00 ",4/16/2008,2008
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FIRST QUARTER REPORT,"$30,000.00 ",4/17/2013,2013
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FIRST QUARTER REPORT,"$30,000.00 ",4/17/2014,2014
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FIRST QUARTER REPORT,"$20,000.00 ",4/19/2010,2010
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FIRST QUARTER REPORT,"$20,000.00 ",4/19/2011,2011
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FIRST QUARTER AMENDMENT,"$20,000.00 ",4/19/2018,2018
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FIRST QUARTER REPORT,"$20,000.00 ",4/19/2018,2018
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FIRST QUARTER REPORT,"$20,000.00 ",4/19/2019,2019
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2017,2017
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,SECOND QUARTER REPORT,"$30,000.00 ",7/8/2014,2014
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,SECOND QUARTER REPORT,"$20,000.00 ",7/9/2008,2008
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,SECOND QUARTER REPORT,"$20,000.00 ",7/12/2012,2012
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,SECOND QUARTER REPORT,"$20,000.00 ",7/14/2009,2009
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,SECOND QUARTER REPORT,"$20,000.00 ",7/14/2010,2010
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,SECOND QUARTER REPORT,"$30,000.00 ",7/15/2015,2015
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,SECOND QUARTER REPORT,"$30,000.00 ",7/16/2013,2013
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,SECOND QUARTER REPORT,"$20,000.00 ",7/19/2011,2011
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,SECOND QUARTER REPORT,"$20,000.00 ",7/20/2016,2016
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,SECOND QUARTER REPORT,"$20,000.00 ",7/20/2017,2017
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,SECOND QUARTER REPORT,"$20,000.00 ",7/20/2018,2018
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,SECOND QUARTER REPORT,"$20,000.00 ",7/22/2019,2019
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FIRST QUARTER AMENDMENT,"$20,000.00 ",10/5/2018,2018
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,FOURTH QUARTER AMENDMENT,"$20,000.00 ",10/5/2018,2017
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,THIRD QUARTER REPORT,"$20,000.00 ",10/6/2009,2009
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,THIRD QUARTER REPORT,"$30,000.00 ",10/8/2013,2013
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,THIRD QUARTER REPORT,"$20,000.00 ",10/10/2012,2012
OK,Capitol Hill Consulting Group,Oklahoma State University Center for Health Sciences,THIRD QUARTER REPORT,"$20,000.00 ",10/11/2018,2018
