State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
OR,ALSTON & BIRD LLP,Continua Health Alliance,REGISTRATION AMENDMENT,,1/12/2011,2010
OR,ALSTON & BIRD LLP,Continua Health Alliance,FOURTH QUARTER REPORT,"$10,000.00 ",1/20/2011,2010
OR,ALSTON & BIRD LLP,Continua Health Alliance,FOURTH QUARTER TERMINATION,"$10,000.00 ",1/20/2012,2011
OR,ALSTON & BIRD LLP,Continua Health Alliance,FIRST QUARTER REPORT,"$10,000.00 ",4/20/2011,2011
OR,ALSTON & BIRD LLP,Continua Health Alliance,SECOND QUARTER REPORT,"$10,000.00 ",7/20/2011,2011
OR,ALSTON & BIRD LLP,Continua Health Alliance,THIRD QUARTER REPORT,"$10,000.00 ",10/20/2011,2011
OR,ALSTON & BIRD LLP,Continua Health Alliance,REGISTRATION,,11/19/2009,2009
OR,"American Defense International, Inc.","Softbox Systems, Inc.",REGISTRATION,,1/20/2015,2015
OR,"BAISE & MILLER, P.C.",WEST COAST REFUSE & RECYCLING COALITION,YEAR-END REPORT,"$40,000.00 ",3/3/2003,2002
OR,"BAISE & MILLER, P.C.",WEST COAST REFUSE & RECYCLING COALITION,MID-YEAR (NO ACTIVITY),"$40,000.00 ",8/22/2002,2002
OR,Ball Janik LLP,Oregon Governor's Office,FOURTH QUARTER REPORT,"$70,000.00 ",1/22/2013,2012
OR,Ball Janik LLP,Oregon Governor's Office,FOURTH QUARTER REPORT,"$40,000.00 ",1/22/2014,2013
OR,Ball Janik LLP,Oregon Governor's Office,FOURTH QUARTER REPORT,"$40,000.00 ",1/24/2012,2011
OR,Ball Janik LLP,Oregon Governor's Office,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2012,2012
OR,Ball Janik LLP,Oregon Governor's Office,FIRST QUARTER REPORT,,4/22/2013,2013
OR,Ball Janik LLP,Oregon Governor's Office,SECOND QUARTER REPORT,"$50,000.00 ",7/20/2012,2012
OR,Ball Janik LLP,Oregon Governor's Office,REGISTRATION,,7/21/2011,2011
OR,Ball Janik LLP,Oregon Governor's Office,SECOND QUARTER REPORT,"$10,000.00 ",7/22/2011,2011
OR,Ball Janik LLP,Oregon Governor's Office,SECOND QUARTER REPORT,"$80,000.00 ",7/24/2013,2013
OR,Ball Janik LLP,Oregon Governor's Office,SECOND QUARTER AMENDMENT,"$10,000.00 ",10/19/2011,2011
OR,Ball Janik LLP,Oregon Governor's Office,THIRD QUARTER REPORT,"$30,000.00 ",10/19/2011,2011
OR,Ball Janik LLP,Oregon Governor's Office,THIRD QUARTER REPORT,"$10,000.00 ",10/20/2013,2013
OR,Ball Janik LLP,Oregon Governor's Office,THIRD QUARTER REPORT,"$30,000.00 ",10/22/2012,2012
OR,"Bell & Lindsay, Inc.","Architrave Health, LLC",FOURTH QUARTER REPORT,"$15,000.00 ",1/20/2015,2014
OR,"Bell & Lindsay, Inc.","Architrave Health, LLC",FIRST QUARTER REPORT,"$10,000.00 ",4/20/2015,2015
OR,"Bell & Lindsay, Inc.","Architrave Health, LLC",REGISTRATION,,7/17/2014,2014
OR,"Bell & Lindsay, Inc.","Architrave Health, LLC",SECOND QUARTER TERMINATION,,7/17/2015,2015
OR,"Bell & Lindsay, Inc.","Architrave Health, LLC",THIRD QUARTER REPORT,"$15,000.00 ",10/20/2014,2014
OR,"Bell & Lindsay, Inc.","Architrave Health, LLC",SECOND QUARTER REPORT,"$15,000.00 ",12/17/2014,2014
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),REGISTRATION,,1/20/2011,2010
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),FOURTH QUARTER REPORT,"$10,000.00 ",1/20/2012,2011
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),FOURTH QUARTER REPORT,"$20,000.00 ",1/20/2016,2015
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),FOURTH QUARTER REPORT,"$5,000.00 ",1/21/2011,2010
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),FOURTH QUARTER REPORT,"$10,000.00 ",1/22/2013,2012
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),FOURTH QUARTER TERMINATION AMENDMENT,"$10,000.00 ",1/22/2013,2012
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),FIRST QUARTER REPORT,"$20,000.00 ",4/19/2016,2016
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),FIRST QUARTER REPORT,"$5,000.00 ",4/20/2011,2011
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),FIRST QUARTER REPORT,"$10,000.00 ",4/20/2012,2012
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),SECOND QUARTER REPORT,"$5,000.00 ",7/20/2011,2011
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),SECOND QUARTER REPORT,"$10,000.00 ",7/20/2012,2012
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),SECOND QUARTER REPORT,"$20,000.00 ",7/20/2016,2016
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),THIRD QUARTER REPORT,"$10,000.00 ",10/19/2012,2012
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),THIRD QUARTER TERMINATION,"$20,000.00 ",10/19/2016,2016
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),THIRD QUARTER REPORT,"$10,000.00 ",10/20/2011,2011
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),THIRD QUARTER REPORT,,10/21/2015,2015
OR,"Bell & Lindsay, Inc.",LIVINGSTON GROUP (FOR PAC/WEST),THIRD QUARTER REPORT,"$20,000.00 ",10/22/2015,2015
OR,"Buchanan Ingersoll & Rooney, PC","AVI BIOPHARMA, INC.",REGISTRATION,,5/22/2009,2009
OR,"Buchanan Ingersoll & Rooney, PC","AVI BIOPHARMA, INC.",SECOND QUARTER REPORT,"$20,000.00 ",7/20/2009,2009
OR,"Buchanan Ingersoll & Rooney, PC","AVI BIOPHARMA, INC.",THIRD QUARTER REPORT,,10/16/2009,2009
OR,Capitol Hill Consulting Group,Tonkon Torp on behalf of DeRoyal Medical Products,FOURTH QUARTER REPORT,"$10,000.00 ",1/18/2015,2014
OR,Capitol Hill Consulting Group,Tonkon Torp on behalf of DeRoyal Medical Products,FIRST QUARTER REPORT,,4/20/2015,2015
OR,Capitol Hill Consulting Group,Tonkon Torp on behalf of DeRoyal Medical Products,REGISTRATION,,11/19/2014,2014
OR,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN ASSN OF PUBLIC HEALTH DENTISTRY,YEAR-END REPORT,"$20,000.00 ",2/14/2001,2000
OR,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN ASSN OF PUBLIC HEALTH DENTISTRY,YEAR-END REPORT,,2/14/2002,2001
OR,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN ASSN OF PUBLIC HEALTH DENTISTRY,REGISTRATION,,8/11/2000,2000
OR,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN ASSN OF PUBLIC HEALTH DENTISTRY,MID-YEAR REPORT,,8/14/2001,2001
OR,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",COUNCIL OF COLLEGES OF ACUPUNCTURE & ORIENTAL MEDICINE,REGISTRATION,,2/14/2000,2000
OR,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",COUNCIL OF COLLEGES OF ACUPUNCTURE & ORIENTAL MEDICINE,YEAR-END REPORT,"$40,000.00 ",2/14/2001,2000
OR,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",COUNCIL OF COLLEGES OF ACUPUNCTURE & ORIENTAL MEDICINE,YEAR-END REPORT,"$40,000.00 ",2/14/2002,2001
OR,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",COUNCIL OF COLLEGES OF ACUPUNCTURE & ORIENTAL MEDICINE,MID-YEAR REPORT,"$20,000.00 ",8/11/2000,2000
OR,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",COUNCIL OF COLLEGES OF ACUPUNCTURE & ORIENTAL MEDICINE,MID-YEAR REPORT,"$40,000.00 ",8/14/2001,2001
OR,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",COUNCIL OF COLLEGES OF ACUPUNCTURE & ORIENTAL MEDICINE,MID-YEAR TERMINATION,"$40,000.00 ",8/14/2002,2002
OR,CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),ELECTRO SCIENTIFIC INDUSTRIES,YEAR-END REPORT,"$20,000.00 ",2/8/2001,2000
OR,CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),ELECTRO SCIENTIFIC INDUSTRIES,YEAR-END REPORT,"$20,000.00 ",2/8/2001,2000
OR,CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),ELECTRO SCIENTIFIC INDUSTRIES,YEAR-END REPORT,"$20,000.00 ",2/13/2002,2001
OR,CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),ELECTRO SCIENTIFIC INDUSTRIES,YEAR-END REPORT,"$10,000.00 ",2/14/2000,1999
OR,CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),ELECTRO SCIENTIFIC INDUSTRIES,MID-YEAR REPORT,"$20,000.00 ",8/9/2000,2000
OR,CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),ELECTRO SCIENTIFIC INDUSTRIES,MID-YEAR REPORT,"$20,000.00 ",8/12/2002,2002
OR,CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),Holt International,REGISTRATION,,8/8/2012,2012
OR,CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),MENTOR GRAPHICS CORP,YEAR-END REPORT,"$20,000.00 ",2/8/2001,2000
