State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
RI,American Continental Group,Dominion Diagnostics,FOURTH QUARTER REPORT,"$10,000.00 ",1/18/2009,2008
RI,American Continental Group,Dominion Diagnostics,FOURTH QUARTER REPORT,"$20,000.00 ",1/18/2011,2010
RI,American Continental Group,Dominion Diagnostics,FOURTH QUARTER REPORT,"$20,000.00 ",1/18/2012,2011
RI,American Continental Group,Dominion Diagnostics,FOURTH QUARTER REPORT,"$10,000.00 ",1/19/2010,2009
RI,American Continental Group,Dominion Diagnostics,REGISTRATION,,2/20/2008,2008
RI,American Continental Group,Dominion Diagnostics,FIRST QUARTER REPORT,"$10,000.00 ",4/7/2010,2010
RI,American Continental Group,Dominion Diagnostics,REGISTRATION AMENDMENT,,4/9/2009,2008
RI,American Continental Group,Dominion Diagnostics,FIRST QUARTER REPORT,"$10,000.00 ",4/11/2009,2009
RI,American Continental Group,Dominion Diagnostics,FIRST QUARTER REPORT,"$20,000.00 ",4/16/2011,2011
RI,American Continental Group,Dominion Diagnostics,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2008,2008
RI,American Continental Group,Dominion Diagnostics,FIRST QUARTER REPORT,"$10,000.00 ",4/20/2012,2012
RI,American Continental Group,Dominion Diagnostics,SECOND QUARTER REPORT,"$10,000.00 ",7/7/2010,2010
RI,American Continental Group,Dominion Diagnostics,SECOND QUARTER REPORT,"$20,000.00 ",7/17/2008,2008
RI,American Continental Group,Dominion Diagnostics,SECOND QUARTER REPORT,"$10,000.00 ",7/17/2009,2009
RI,American Continental Group,Dominion Diagnostics,SECOND QUARTER REPORT,"$20,000.00 ",7/19/2011,2011
RI,American Continental Group,Dominion Diagnostics,SECOND QUARTER TERMINATION,"$10,000.00 ",7/20/2012,2012
RI,American Continental Group,Dominion Diagnostics,THIRD QUARTER REPORT,"$10,000.00 ",10/7/2009,2009
RI,American Continental Group,Dominion Diagnostics,THIRD QUARTER REPORT,"$10,000.00 ",10/13/2010,2010
RI,American Continental Group,Dominion Diagnostics,THIRD QUARTER REPORT,"$20,000.00 ",10/15/2008,2008
RI,American Continental Group,Dominion Diagnostics,THIRD QUARTER REPORT,"$20,000.00 ",10/19/2011,2011
RI,Baker & Hostetler LLP,Hospital Association of Rhode Island,FOURTH QUARTER TERMINATION,"$50,000.00 ",1/21/2018,2017
RI,Baker & Hostetler LLP,Hospital Association of Rhode Island,REGISTRATION,,7/27/2017,2017
RI,Baker & Hostetler LLP,Hospital Association of Rhode Island,THIRD QUARTER REPORT,"$50,000.00 ",10/19/2017,2017
RI,Baker & Hostetler LLP,Lifespan Corporation,REGISTRATION,,8/11/2017,2017
