State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
SD,ALSTON & BIRD LLP,COALITION OF FULL SERVICE COMMUNITY HOSPITALS,YEAR-END REPORT,"$80,000.00 ",2/13/2007,2006
SD,ALSTON & BIRD LLP,COALITION OF FULL SERVICE COMMUNITY HOSPITALS,YEAR-END REPORT,"$60,000.00 ",2/14/2006,2005
SD,ALSTON & BIRD LLP,COALITION OF FULL SERVICE COMMUNITY HOSPITALS,REGISTRATION,,5/12/2005,2005
SD,ALSTON & BIRD LLP,COALITION OF FULL SERVICE COMMUNITY HOSPITALS,MID-YEAR REPORT,"$80,000.00 ",8/6/2007,2007
SD,ALSTON & BIRD LLP,COALITION OF FULL SERVICE COMMUNITY HOSPITALS,MID-YEAR REPORT,"$60,000.00 ",8/7/2006,2006
SD,ALSTON & BIRD LLP,COALITION OF FULL SERVICE COMMUNITY HOSPITALS,MID-YEAR REPORT,"$40,000.00 ",8/12/2005,2005
SD,ALSTON & BIRD LLP,LodgeNet Interactive Corporation,FOURTH QUARTER REPORT,"$50,000.00 ",1/20/2011,2010
SD,ALSTON & BIRD LLP,LodgeNet Interactive Corporation,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2011,2011
SD,ALSTON & BIRD LLP,LodgeNet Interactive Corporation,REGISTRATION,,7/19/2010,2010
SD,ALSTON & BIRD LLP,LodgeNet Interactive Corporation,SECOND QUARTER REPORT,"$30,000.00 ",7/20/2011,2011
SD,ALSTON & BIRD LLP,LodgeNet Interactive Corporation,SECOND QUARTER AMENDMENT,"$20,000.00 ",7/21/2010,2010
SD,ALSTON & BIRD LLP,LodgeNet Interactive Corporation,THIRD QUARTER REPORT,"$50,000.00 ",10/20/2010,2010
SD,ALSTON & BIRD LLP,LodgeNet Interactive Corporation,THIRD QUARTER TERMINATION,"$30,000.00 ",10/20/2011,2011
SD,ALSTON & BIRD LLP,"Schiltz Foods, Inc.",FOURTH QUARTER REPORT,"$90,000.00 ",1/20/2010,2009
SD,ALSTON & BIRD LLP,"Schiltz Foods, Inc.",FIRST QUARTER REPORT,"$90,000.00 ",4/20/2010,2010
SD,ALSTON & BIRD LLP,"Schiltz Foods, Inc.",SECOND QUARTER REPORT,"$70,000.00 ",7/20/2010,2010
SD,ALSTON & BIRD LLP,"Schiltz Foods, Inc.",REGISTRATION AMENDMENT,,10/17/2012,2009
SD,ALSTON & BIRD LLP,"Schiltz Foods, Inc.",REGISTRATION,,10/19/2009,2009
SD,ALSTON & BIRD LLP,"Schiltz Foods, Inc.",REGISTRATION AMENDMENT,,11/11/2009,2009
SD,AMERICAN REFORM ASSN INC,AMERICAN REFORM ASSN INC,REGISTRATION,,8/15/2003,2003
SD,BGR Government Affairs,Physician Hospitals of America,FOURTH QUARTER REPORT,"$60,000.00 ",1/18/2013,2012
SD,BGR Government Affairs,Physician Hospitals of America,FOURTH QUARTER REPORT,"$60,000.00 ",1/20/2012,2011
SD,BGR Government Affairs,Physician Hospitals of America,FOURTH QUARTER REPORT,"$60,000.00 ",1/20/2015,2014
SD,BGR Government Affairs,Physician Hospitals of America,FOURTH QUARTER REPORT,"$60,000.00 ",1/20/2016,2015
SD,BGR Government Affairs,Physician Hospitals of America,FOURTH QUARTER REPORT,"$60,000.00 ",1/21/2014,2013
SD,BGR Government Affairs,Physician Hospitals of America,FOURTH QUARTER REPORT,"$60,000.00 ",1/23/2017,2016
SD,BGR Government Affairs,Physician Hospitals of America,REGISTRATION,,3/22/2011,2011
SD,BGR Government Affairs,Physician Hospitals of America,FIRST QUARTER REPORT,"$20,000.00 ",4/15/2011,2011
SD,BGR Government Affairs,Physician Hospitals of America,FIRST QUARTER REPORT,"$60,000.00 ",4/20/2012,2012
SD,BGR Government Affairs,Physician Hospitals of America,FIRST QUARTER REPORT,"$60,000.00 ",4/20/2015,2015
SD,BGR Government Affairs,Physician Hospitals of America,FIRST QUARTER REPORT,"$60,000.00 ",4/20/2016,2016
SD,BGR Government Affairs,Physician Hospitals of America,FIRST QUARTER TERMINATION,"$30,000.00 ",4/20/2017,2017
SD,BGR Government Affairs,Physician Hospitals of America,FIRST QUARTER REPORT,"$60,000.00 ",4/21/2013,2013
SD,BGR Government Affairs,Physician Hospitals of America,FIRST QUARTER REPORT,"$60,000.00 ",4/21/2014,2014
SD,BGR Government Affairs,Physician Hospitals of America,SECOND QUARTER REPORT,"$60,000.00 ",7/20/2011,2011
SD,BGR Government Affairs,Physician Hospitals of America,SECOND QUARTER REPORT,"$60,000.00 ",7/20/2012,2012
SD,BGR Government Affairs,Physician Hospitals of America,SECOND QUARTER REPORT,"$60,000.00 ",7/20/2015,2015
SD,BGR Government Affairs,Physician Hospitals of America,SECOND QUARTER REPORT,"$60,000.00 ",7/20/2016,2016
SD,BGR Government Affairs,Physician Hospitals of America,SECOND QUARTER REPORT,"$60,000.00 ",7/21/2014,2014
SD,BGR Government Affairs,Physician Hospitals of America,SECOND QUARTER REPORT,"$60,000.00 ",7/22/2013,2013
SD,BGR Government Affairs,Physician Hospitals of America,THIRD QUARTER REPORT,"$60,000.00 ",10/20/2011,2011
SD,BGR Government Affairs,Physician Hospitals of America,THIRD QUARTER REPORT,"$60,000.00 ",10/20/2014,2014
