State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
TN,ABELL & PRYOR,HCA Hospital Corporation of America,REGISTRATION,,7/10/2008,2008
TN,ABELL & PRYOR,"LifePoint Hospitals, Inc",REGISTRATION,,8/1/2008,2008
TN,"Active Policy Solutions, LLC",VARSITY SPIRIT (FORMERLY KNOWN AS VARSITY BRANDS),SECOND QUARTER REPORT,"$10,000.00 ",7/11/2016,2016
TN,Akin Gump Strauss Hauer & Feld,COMMUNITY ONCOLOGY ALLIANCE,YEAR-END TERMINATION,"$160,000.00 ",2/11/2006,2005
TN,Akin Gump Strauss Hauer & Feld,COMMUNITY ONCOLOGY ALLIANCE,REGISTRATION,,8/3/2005,2005
TN,ALSTON & BIRD LLP,"Crown Laboratories, Inc.",REGISTRATION,,2/16/2017,2017
TN,ALSTON & BIRD LLP,"Crown Laboratories, Inc.",FIRST QUARTER REPORT,"$100,000.00 ",4/20/2017,2017
TN,ALSTON & BIRD LLP,Healthways,FOURTH QUARTER REPORT,"$60,000.00 ",1/19/2016,2015
TN,ALSTON & BIRD LLP,Healthways,FOURTH QUARTER REPORT,"$60,000.00 ",1/22/2018,2017
TN,ALSTON & BIRD LLP,Healthways,FOURTH QUARTER REPORT,"$60,000.00 ",1/23/2017,2016
TN,ALSTON & BIRD LLP,Healthways,REGISTRATION AMENDMENT,,2/9/2015,2015
TN,ALSTON & BIRD LLP,Healthways,FIRST QUARTER REPORT,"$60,000.00 ",4/19/2015,2015
TN,ALSTON & BIRD LLP,Healthways,FIRST QUARTER REPORT,"$50,000.00 ",4/19/2018,2018
TN,ALSTON & BIRD LLP,Healthways,FIRST QUARTER REPORT,"$60,000.00 ",4/20/2016,2016
TN,ALSTON & BIRD LLP,Healthways,FIRST QUARTER REPORT,"$60,000.00 ",4/20/2017,2017
TN,ALSTON & BIRD LLP,Healthways,SECOND QUARTER REPORT,"$60,000.00 ",7/19/2015,2015
TN,ALSTON & BIRD LLP,Healthways,FIRST QUARTER TERMINATION,"$50,000.00 ",7/19/2018,2018
TN,ALSTON & BIRD LLP,Healthways,SECOND QUARTER REPORT,"$60,000.00 ",7/20/2016,2016
TN,ALSTON & BIRD LLP,Healthways,SECOND QUARTER REPORT,"$60,000.00 ",7/20/2017,2017
TN,ALSTON & BIRD LLP,Healthways,REGISTRATION,,10/17/2011,2011
TN,ALSTON & BIRD LLP,Healthways,THIRD QUARTER REPORT,"$60,000.00 ",10/19/2017,2017
TN,ALSTON & BIRD LLP,Healthways,THIRD QUARTER REPORT,"$60,000.00 ",10/20/2015,2015
TN,ALSTON & BIRD LLP,Healthways,THIRD QUARTER REPORT,"$60,000.00 ",10/20/2016,2016
TN,ALSTON & BIRD LLP,RENAL CARE GROUP,YEAR-END REPORT,,4/13/2004,2003
TN,ALSTON & BIRD LLP,RENAL CARE GROUP,REGISTRATION,,7/24/2003,2003
TN,ALSTON & BIRD LLP,RENAL CARE GROUP,MID-YEAR REPORT,,8/7/2003,2003
TN,ALSTON & BIRD LLP,RENAL CARE GROUP,MID-YEAR REPORT,,8/25/2004,2004
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FOURTH QUARTER REPORT,"$40,000.00 ",1/16/2015,2014
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FOURTH QUARTER REPORT,"$40,000.00 ",1/19/2016,2015
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FOURTH QUARTER REPORT,"$50,000.00 ",1/20/2012,2011
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FOURTH QUARTER REPORT,"$40,000.00 ",1/21/2014,2013
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FOURTH QUARTER REPORT,"$30,000.00 ",1/21/2020,2019
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FOURTH QUARTER REPORT,"$50,000.00 ",1/22/2013,2012
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FOURTH QUARTER REPORT,"$30,000.00 ",1/22/2018,2017
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FOURTH QUARTER REPORT,"$30,000.00 ",1/22/2019,2018
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FOURTH QUARTER REPORT,"$30,000.00 ",1/23/2017,2016
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,REGISTRATION,,4/5/2011,2011
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FIRST QUARTER REPORT,"$40,000.00 ",4/19/2015,2015
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FIRST QUARTER REPORT,"$30,000.00 ",4/19/2018,2018
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FIRST QUARTER REPORT,,4/20/2011,2011
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2012,2012
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FIRST QUARTER REPORT,"$40,000.00 ",4/20/2016,2016
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2017,2017
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FIRST QUARTER REPORT,"$40,000.00 ",4/21/2014,2014
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FIRST QUARTER REPORT,"$50,000.00 ",4/22/2013,2013
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,FIRST QUARTER REPORT,"$30,000.00 ",4/22/2019,2019
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,SECOND QUARTER REPORT,"$40,000.00 ",7/10/2014,2014
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,SECOND QUARTER REPORT,"$40,000.00 ",7/19/2015,2015
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,SECOND QUARTER REPORT,,7/20/2011,2011
TN,ALSTON & BIRD LLP,St. Jude Children's Research Hospital,SECOND QUARTER REPORT,"$50,000.00 ",7/20/2012,2012
