State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
WI,A.O. Smith Corporation,A O SMITH CORPORATION,FOURTH QUARTER REPORT,"$250,000.00 ",1/20/2010,2009
WI,A.O. Smith Corporation,A O SMITH CORPORATION,YEAR-END REPORT,"$41,000.00 ",2/13/2007,2006
WI,A.O. Smith Corporation,A O SMITH CORPORATION,YEAR-END REPORT,"$40,000.00 ",2/14/2000,1999
WI,A.O. Smith Corporation,A O SMITH CORPORATION,YEAR-END REPORT,"$40,000.00 ",2/14/2001,2000
WI,A.O. Smith Corporation,A O SMITH CORPORATION,YEAR-END REPORT,"$40,000.00 ",2/16/2005,2004
WI,A.O. Smith Corporation,A O SMITH CORPORATION,YEAR-END REPORT,"$40,000.00 ",2/20/2003,2002
WI,A.O. Smith Corporation,A O SMITH CORPORATION,YEAR-END REPORT,"$40,000.00 ",2/20/2004,2003
WI,A.O. Smith Corporation,A O SMITH CORPORATION,YEAR-END REPORT,"$60,000.00 ",3/1/2002,2001
WI,A.O. Smith Corporation,A O SMITH CORPORATION,FIRST QUARTER REPORT,"$68,913.00 ",4/18/2008,2008
WI,A.O. Smith Corporation,A O SMITH CORPORATION,YEAR-END AMENDMENT,"$40,000.00 ",7/17/2000,1999
WI,A.O. Smith Corporation,A O SMITH CORPORATION,SECOND QUARTER REPORT,"$190,000.00 ",7/20/2009,2009
WI,A.O. Smith Corporation,A O SMITH CORPORATION,MID-YEAR REPORT,"$60,000.00 ",8/12/1999,1999
WI,A.O. Smith Corporation,A O SMITH CORPORATION,MID-YEAR REPORT,"$103,000.00 ",8/13/2007,2007
WI,A.O. Smith Corporation,A O SMITH CORPORATION,MID-YEAR REPORT,"$60,000.00 ",8/14/2000,2000
WI,A.O. Smith Corporation,A O SMITH CORPORATION,MID-YEAR REPORT,"$60,000.00 ",8/14/2001,2001
WI,A.O. Smith Corporation,A O SMITH CORPORATION,MID-YEAR REPORT,"$60,000.00 ",8/17/2004,2004
WI,A.O. Smith Corporation,A O SMITH CORPORATION,MID-YEAR REPORT,"$40,000.00 ",8/19/2003,2003
WI,A.O. Smith Corporation,A O SMITH CORPORATION,MID-YEAR REPORT,"$40,000.00 ",8/22/2002,2002
WI,A.O. Smith Corporation,A O SMITH CORPORATION,SECOND QUARTER AMENDMENT,"$190,000.00 ",10/19/2009,2009
