State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
AK,HOLMES WEDDLE & BARCOTT,ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,REGISTRATION,,3/3/2004,2004
AK,"Sonosky, Chambers, Sachse, Endreson & Perry, LLP",ALASKA NATIVE HEALTH BOARD,REGISTRATION,,4/22/2004,2004
AK,"Sonosky, Chambers, Sachse, Endreson & Perry, LLP",ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,REGISTRATION,,4/22/2004,2004
AK,Bruce Richards & Associates,Central Peninsula Hospital,FIRST QUARTER REPORT,"7,000.00",4/22/2009,2009
AK,Bruce Richards & Associates,Central Peninsula Hospital,SECOND QUARTER REPORT,"14,000.00",7/15/2009,2009
AK,Bruce Richards & Associates,Central Peninsula Hospital,THIRD QUARTER TERMINATION,,11/6/2009,2009
AK,"CHAMBERS, CONLON & HARTWELL, LLC",CITY AND BOROUGH OF JUNEAU,FIRST QUARTER REPORT,"20,000.00",4/16/2013,2013
AK,Winston & Strawn LLP,Alaska Gamma Knife Center,REGISTRATION,,8/21/2014,2014
AK,Winston & Strawn LLP,Alaska Gamma Knife Center,THIRD QUARTER AMENDMENT,"5,000.00",10/14/2014,2014
AK,Winston & Strawn LLP,Alaska Gamma Knife Center,THIRD QUARTER REPORT,"5,000.00",10/14/2014,2014
AK,"CHAMBERS, CONLON & HARTWELL, LLC",CITY AND BOROUGH OF JUNEAU,FIRST QUARTER REPORT,"20,000.00",4/20/2015,2015
AK,"CHAMBERS, CONLON & HARTWELL, LLC",CITY AND BOROUGH OF JUNEAU,SECOND QUARTER REPORT,"20,000.00",7/20/2015,2015
AK,"CHAMBERS, CONLON & HARTWELL, LLC",CITY AND BOROUGH OF JUNEAU,THIRD QUARTER REPORT,"20,000.00",10/20/2015,2015
AK,"CHAMBERS, CONLON & HARTWELL, LLC",CITY AND BOROUGH OF JUNEAU,FOURTH QUARTER REPORT,"20,000.00",1/20/2016,2015
AK,"CHAMBERS, CONLON & HARTWELL, LLC",CITY AND BOROUGH OF JUNEAU,FIRST QUARTER REPORT,"20,000.00",4/20/2016,2016
AK,"CHAMBERS, CONLON & HARTWELL, LLC",CITY AND BOROUGH OF JUNEAU,SECOND QUARTER REPORT,"20,000.00",7/20/2016,2016
AK,"CHAMBERS, CONLON & HARTWELL, LLC",CITY AND BOROUGH OF JUNEAU,THIRD QUARTER REPORT,"20,000.00",10/21/2016,2016
AK,"CHAMBERS, CONLON & HARTWELL, LLC",CITY AND BOROUGH OF JUNEAU,FOURTH QUARTER REPORT,"20,000.00",1/20/2017,2016
