State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
AL,"R.G. FLIPPO AND ASSOCIATES, INC",ALABAMA NURSING HOME ASSOCIATION,MID-YEAR REPORT,"40,000.00",8/6/1999,1999
AL,Ben Barnes Group LP,TORCHMARK CORP,REGISTRATION,,10/15/1999,1999
AL,Ben Barnes Group LP,TORCHMARK CORP,YEAR-END REPORT,"100,000.00",2/8/2000,1999
AL,"R.G. FLIPPO AND ASSOCIATES, INC",ALABAMA NURSING HOME ASSOCIATION,YEAR-END REPORT,"40,000.00",2/10/2000,1999
AL,Jay Grant & Associates,PROTECTIVE LIFE INSURANCE CO,YEAR-END REPORT,"40,000.00",2/15/2000,1999
AL,"Capitol Decisions, Inc.",TORCHMARK CORP,REGISTRATION,,6/20/2000,2000
AL,King & Spalding LLP,TELEDYNE-COMMODORE,MID-YEAR REPORT,,8/10/2000,2000
AL,"Capitol Decisions, Inc.",TORCHMARK CORP,MID-YEAR REPORT,,8/14/2000,2000
AL,"R.G. FLIPPO AND ASSOCIATES, INC",ALABAMA NURSING HOME ASSOCIATION,MID-YEAR REPORT,"40,000.00",8/14/2000,2000
AL,Ben Barnes Group LP,TORCHMARK CORP,YEAR-END TERMINATION,,2/5/2001,2000
AL,"MAYNARD, COOPER & GALE, P.C.",GLOBE LIFE INC F/K/A TORCHMARK CORPORATION,REGISTRATION,,2/13/2001,2001
AL,"Capitol Decisions, Inc.",TORCHMARK CORP,YEAR-END REPORT,"80,000.00",2/14/2001,2000
AL,"R.G. FLIPPO AND ASSOCIATES, INC",ALABAMA NURSING HOME ASSOCIATION,YEAR-END REPORT,"40,000.00",8/1/2001,2000
AL,"R.G. FLIPPO AND ASSOCIATES, INC",ALABAMA NURSING HOME ASSOCIATION,MID-YEAR REPORT,"40,000.00",8/1/2001,2001
AL,"MAYNARD, COOPER & GALE, P.C.",CARDIOVASCULAR ASSOCIATES OF NORTH ALABAMA,MID-YEAR REPORT,,8/6/2001,2001
AL,"MAYNARD, COOPER & GALE, P.C.",GLOBE LIFE INC F/K/A TORCHMARK CORPORATION,MID-YEAR REPORT,"60,000.00",8/6/2001,2001
AL,"Capitol Decisions, Inc.",TORCHMARK CORP,MID-YEAR REPORT,"60,000.00",8/14/2001,2001
AL,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,YEAR-END REPORT,,1/28/2002,2001
AL,"R.G. FLIPPO AND ASSOCIATES, INC",ALABAMA NURSING HOME ASSOCIATION,YEAR-END REPORT,"20,000.00",2/12/2002,2001
AL,"Capitol Decisions, Inc.",TORCHMARK CORP,YEAR-END REPORT,"100,000.00",2/14/2002,2001
AL,CAUTHEN & ASSOCIATES,AMERICAN HEALTH CARE ASSN,REGISTRATION,,2/14/2002,2002
AL,"MAYNARD, COOPER & GALE, P.C.",CARDIOVASCULAR ASSOCIATES OF NORTH ALABAMA,YEAR-END REPORT,,2/28/2002,2001
AL,"MAYNARD, COOPER & GALE, P.C.",GLOBE LIFE INC F/K/A TORCHMARK CORPORATION,YEAR-END REPORT,"60,000.00",2/28/2002,2001
AL,CHILDREN'S HOSPITAL OF ALABAMA DBA CHILDREN'S HEALTH SYSTEM,CHILDREN'S HOSPITAL OF ALABAMA DBA CHILDREN'S HEALTH SYSTEM,REGISTRATION,,3/21/2002,2002
AL,"R.G. FLIPPO AND ASSOCIATES, INC",ALABAMA NURSING HOME ASSOCIATION,MID-YEAR REPORT,"20,000.00",7/25/2002,2002
AL,CAUTHEN & ASSOCIATES,AMERICAN HEALTH CARE ASSN,MID-YEAR REPORT,"40,000.00",8/14/2002,2002
AL,Van Scoyoc Associates,Alabama State Port Authority,MID-YEAR REPORT,"40,000.00",8/14/2002,2002
AL,Van Scoyoc Associates,ALABAMA WATER & WASTEWATER INSTITUTE,MID-YEAR REPORT,"10,000.00",8/14/2002,2002
AL,Van Scoyoc Associates,DRS Technologies,MID-YEAR REPORT,"60,000.00",8/14/2002,2002
AL,Van Scoyoc Associates,JEFFERSON COUNTY COMMISSION,MID-YEAR REPORT,"60,000.00",8/14/2002,2002
AL,Van Scoyoc Associates,JEFFERSON COUNTY HEALTH CARE AUTHORITY,MID-YEAR REPORT,"40,000.00",8/14/2002,2002
AL,Van Scoyoc Associates,Jefferson State Community College,MID-YEAR REPORT,"40,000.00",8/14/2002,2002
AL,Van Scoyoc Associates,MILTEC,MID-YEAR REPORT,"20,000.00",8/14/2002,2002
AL,Van Scoyoc Associates,STATE OF ALABAMA DEPT OF TRANSPORTATION,MID-YEAR REPORT,"60,000.00",8/14/2002,2002
AL,"MAYNARD, COOPER & GALE, P.C.",CARDIOVASCULAR ASSOCIATES OF NORTH ALABAMA,MID-YEAR REPORT,,8/15/2002,2002
AL,"MAYNARD, COOPER & GALE, P.C.",GLOBE LIFE INC F/K/A TORCHMARK CORPORATION,MID-YEAR REPORT,"60,000.00",8/15/2002,2002
AL,"MAYNARD, COOPER & GALE, P.C.",Regions Financial Corporation,MID-YEAR REPORT,"30,000.00",8/15/2002,2002
AL,"Capitol Decisions, Inc.",TORCHMARK CORP,MID-YEAR REPORT,"40,000.00",9/16/2002,2002
AL,"R.G. FLIPPO AND ASSOCIATES, INC",ALABAMA NURSING HOME ASSOCIATION,YEAR-END REPORT,"20,000.00",2/4/2003,2002
AL,"Capitol Decisions, Inc.",TORCHMARK CORP,YEAR-END REPORT,"60,000.00",2/14/2003,2002
AL,CAUTHEN & ASSOCIATES,AMERICAN HEALTH CARE ASSN,YEAR-END REPORT,"60,000.00",2/14/2003,2002
AL,"MAYNARD, COOPER & GALE, P.C.",GLOBE LIFE INC F/K/A TORCHMARK CORPORATION,YEAR-END REPORT,"60,000.00",2/14/2003,2002
AL,CAREMARK RX INC,CAREMARK RX INC,REGISTRATION,,7/18/2003,2003
AL,"MAYNARD, COOPER & GALE, P.C.",GLOBE LIFE INC F/K/A TORCHMARK CORPORATION,MID-YEAR REPORT,"60,000.00",8/12/2003,2003
AL,FAIRFAX MANAGEMENT SOLUTIONS LLC,AMERICAN DIAGNOSTIC IMAGING INC,REGISTRATION,,8/13/2003,2003
AL,"Capitol Decisions, Inc.",TORCHMARK CORP,MID-YEAR REPORT,"60,000.00",8/14/2003,2003
AL,CAUTHEN & ASSOCIATES,AMERICAN HEALTH CARE ASSN,MID-YEAR REPORT,"40,000.00",8/14/2003,2003
AL,"R.G. FLIPPO AND ASSOCIATES, INC",ALABAMA NURSING HOME ASSOCIATION,MID-YEAR REPORT,"20,000.00",8/14/2003,2003
AL,Clark & Weinstock,HEALTHSOUTH CORP,REGISTRATION,,11/12/2003,2003
AL,Clark & Weinstock,HEALTHSOUTH CORP,YEAR-END REPORT,"80,000.00",2/11/2004,2003
AL,"Capitol Decisions, Inc.",TORCHMARK CORP,YEAR-END REPORT,"60,000.00",2/17/2004,2003
AL,CAUTHEN & ASSOCIATES,AMERICAN HEALTH CARE ASSN,YEAR-END TERMINATION,"40,000.00",2/17/2004,2003
AL,Cauthen Forbes & Williams,CAUTHEN & ASSOCIATES,REGISTRATION,,2/17/2004,2004
AL,"MAYNARD, COOPER & GALE, P.C.",GLOBE LIFE INC F/K/A TORCHMARK CORPORATION,YEAR-END REPORT,"60,000.00",2/24/2004,2003
AL,"CAPITOL LINK, INC.",INFIRMARY HEALTH SYSTEM,REGISTRATION,,3/3/2004,2003
AL,"R.G. FLIPPO AND ASSOCIATES, INC",ALABAMA NURSING HOME ASSOCIATION,YEAR-END REPORT,"20,000.00",7/13/2004,2003
AL,Clark & Weinstock,HEALTHSOUTH CORP,MID-YEAR REPORT,"160,000.00",8/9/2004,2004
AL,"Capitol Decisions, Inc.",TORCHMARK CORP,MID-YEAR REPORT,"60,000.00",8/13/2004,2004
AL,CAREMARK RX INC,CAREMARK RX INC,MID-YEAR REPORT,"220,000.00",8/13/2004,2004
AL,CAREMARK RX INC,CAREMARK RX INC,YEAR-END REPORT,"240,000.00",8/16/2004,2003
AL,CAREMARK RX INC,CAREMARK RX INC,YEAR-END REPORT,"240,000.00",8/16/2004,2003
AL,"MAYNARD, COOPER & GALE, P.C.",GLOBE LIFE INC F/K/A TORCHMARK CORPORATION,MID-YEAR REPORT,"60,000.00",8/16/2004,2004
AL,"R.G. FLIPPO AND ASSOCIATES, INC",ALABAMA NURSING HOME ASSOCIATION,MID-YEAR REPORT,"20,000.00",8/17/2004,2004
AL,ALSTON & BIRD LLP,HEALTH SOUTH CORPORATION,REGISTRATION,,9/16/2004,2004
AL,"Cassidy & Associates, Inc.",PROVIDENCE HOSPITAL,REGISTRATION,,1/3/2005,2004
AL,"MAYNARD, COOPER & GALE, P.C.",GLOBE LIFE INC F/K/A TORCHMARK CORPORATION,YEAR-END REPORT,"60,000.00",2/7/2005,2004
AL,"Capitol Decisions, Inc.",TORCHMARK CORP,YEAR-END REPORT,"80,000.00",2/14/2005,2004
AL,Clark & Weinstock,HEALTHSOUTH CORP,YEAR-END TERMINATION,"50,000.00",2/14/2005,2004
AL,"R.G. FLIPPO AND ASSOCIATES, INC",ALABAMA NURSING HOME ASSOCIATION,YEAR-END REPORT,"20,000.00",2/15/2005,2004
AL,ALSTON & BIRD LLP,HEALTH SOUTH CORPORATION,YEAR-END REPORT,"20,000.00",2/17/2005,2004
AL,CAREMARK RX INC,CAREMARK RX INC,YEAR-END REPORT,"215,203.00",6/24/2005,2004
AL,"R.G. FLIPPO AND ASSOCIATES, INC",ALABAMA NURSING HOME ASSOCIATION,MID-YEAR REPORT,"20,000.00",8/5/2005,2005
AL,"MAYNARD, COOPER & GALE, P.C.",GLOBE LIFE INC F/K/A TORCHMARK CORPORATION,MID-YEAR REPORT,"60,000.00",8/8/2005,2005
AL,CAREMARK RX INC,CAREMARK RX INC,MID-YEAR REPORT,"291,316.00",8/11/2005,2005
AL,"Capitol Decisions, Inc.",TORCHMARK CORP,MID-YEAR TERMINATION,"40,000.00",8/12/2005,2005
AL,Blank Rome LLP,HEALTHSOUTH CORPORATION,REGISTRATION,,8/24/2005,2005
AL,"MAYNARD, COOPER & GALE, P.C.",BLUE CROSS BLUE SHIELD OF ALABAMA,REGISTRATION,,12/15/2005,2005
AL,Proskauer Rose LLP,Alabama Medicaid Agency,REGISTRATION,,12/28/2005,2005
AL,"R.G. FLIPPO AND ASSOCIATES, INC",ALABAMA NURSING HOME ASSOCIATION,YEAR-END REPORT,"20,000.00",1/3/2006,2005
AL,CAREMARK RX INC,CAREMARK RX INC,YEAR-END REPORT,"541,585.00",1/5/2006,2005
AL,"MAYNARD, COOPER & GALE, P.C.",BLUE CROSS BLUE SHIELD OF ALABAMA,YEAR-END REPORT,"40,000.00",2/14/2006,2005
AL,"MAYNARD, COOPER & GALE, P.C.",GLOBE LIFE INC F/K/A TORCHMARK CORPORATION,YEAR-END REPORT,"60,000.00",2/14/2006,2005
AL,"Powers Pyles Sutter & Verville, P.C.",ENCOMPASS HEALTH CORPORATION (FORMERLY KNOWN AS HEALTHSOUTH CORPORATION),YEAR-END REPORT,"40,000.00",2/14/2006,2005
AL,Proskauer Rose LLP,Alabama Medicaid Agency,YEAR-END REPORT,"60,000.00",2/23/2006,2005
AL,CAREMARK RX INC,CAREMARK RX INC,MID-YEAR REPORT,"338,076.00",8/11/2006,2006
AL,"MAYNARD, COOPER & GALE, P.C.",BAPTIST HEALTH SYSTEM,MID-YEAR REPORT,"60,000.00",8/11/2006,2006
AL,"MAYNARD, COOPER & GALE, P.C.",BLUE CROSS BLUE SHIELD OF ALABAMA,MID-YEAR REPORT,"120,000.00",8/11/2006,2006
AL,"Powers Pyles Sutter & Verville, P.C.",ENCOMPASS HEALTH CORPORATION (FORMERLY KNOWN AS HEALTHSOUTH CORPORATION),MID-YEAR REPORT,"20,000.00",8/11/2006,2006
AL,John Dudinsky & Associates,HEALTHSOUTH,YEAR-END REPORT,"40,000.00",8/16/2006,2005
AL,"R.G. FLIPPO AND ASSOCIATES, INC",ALABAMA NURSING HOME ASSOCIATION,MID-YEAR REPORT,"20,000.00",8/17/2006,2006
AL,"MAYNARD, COOPER & GALE, P.C.",BAPTIST HEALTH SYSTEM,YEAR-END REPORT,"60,000.00",2/8/2007,2006
AL,"MAYNARD, COOPER & GALE, P.C.",BLUE CROSS BLUE SHIELD OF ALABAMA,YEAR-END REPORT,"60,000.00",2/8/2007,2006
AL,"MAYNARD, COOPER & GALE, P.C.",GLOBE LIFE INC F/K/A TORCHMARK CORPORATION,YEAR-END REPORT,"112,000.00",2/8/2007,2006
AL,Mr. Charles R. McDonald,Alabama Retail Association,REGISTRATION,,2/9/2007,2007
AL,"Powers Pyles Sutter & Verville, P.C.",ENCOMPASS HEALTH CORPORATION (FORMERLY KNOWN AS HEALTHSOUTH CORPORATION),YEAR-END REPORT,"20,000.00",2/13/2007,2006
AL,"R.G. FLIPPO AND ASSOCIATES, INC",ALABAMA NURSING HOME ASSOCIATION,YEAR-END REPORT,"20,000.00",2/14/2007,2006
AL,CAREMARK RX INC,CAREMARK RX INC,YEAR-END REPORT,"467,113.00",2/16/2007,2006
