State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
AR,Jay Grant & Associates,FORT SMITH (AR) REGIONAL AIRPORT,YEAR-END REPORT,"40,000.00",2/15/2000,1999
AR,STEELMAN HEALTH STRATEGIES,BEVERLY ENTERPRISES,YEAR-END REPORT,"100,000.00",2/15/2000,1999
AR,Jay Grant & Associates,STATE OF ARKANSAS OFFICE OF THE GOVERNOR,REGISTRATION,,2/25/2000,2000
AR,JOHNSON COMPANY,COFFEE RESERVE,MID-YEAR (NO ACTIVITY),,8/1/2000,2000
AR,STEELMAN HEALTH STRATEGIES,BEVERLY ENTERPRISES,MID-YEAR REPORT,"100,000.00",8/15/2000,2000
AR,STEELMAN HEALTH STRATEGIES,BEVERLY ENTERPRISES,YEAR-END REPORT,"100,000.00",2/14/2001,2000
AR,Jay Grant & Associates,STATE OF ARKANSAS OFFICE OF THE GOVERNOR,YEAR-END TERMINATION,"80,000.00",2/15/2001,2000
AR,STEELMAN HEALTH STRATEGIES,BEVERLY ENTERPRISES,MID-YEAR TERMINATION,"60,000.00",3/20/2001,2001
AR,"CAPITOL HEALTH GROUP, LLC",BEVERLY ENTERPRISES,REGISTRATION,,5/17/2001,2001
AR,Arent Fox LLP,ACADIANA BEHAVIORAL MEDICINE PROGRAM,REGISTRATION,,7/3/2001,2001
AR,"CAPITOL HEALTH GROUP, LLC",BEVERLY ENTERPRISES,MID-YEAR REPORT,"60,000.00",8/1/2001,2001
AR,Arent Fox LLP,ACADIANA BEHAVIORAL MEDICINE PROGRAM,MID-YEAR REPORT,,8/13/2001,2001
AR,Arent Fox LLP,ACADIANA BEHAVIORAL MEDICINE PROGRAM,YEAR-END REPORT,,2/13/2002,2001
AR,"CAPITOL HEALTH GROUP, LLC",BEVERLY ENTERPRISES,YEAR-END REPORT,"100,000.00",3/5/2002,2001
AR,"CAPITOL HEALTH GROUP, LLC",BEVERLY ENTERPRISES,MID-YEAR REPORT,"100,000.00",7/22/2002,2002
AR,"CAPITOL HEALTH GROUP, LLC",BEVERLY ENTERPRISES,YEAR-END TERMINATION,"100,000.00",2/13/2003,2002
AR,"CAPITOL HEALTH GROUP, LLC",BEVERLY ENTERPRISES,YEAR-END AMENDMENT,"100,000.00",3/26/2003,2002
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,MID-YEAR REPORT,"60,000.00",8/14/2003,2003
AR,Walmart Inc.,WALMART INC,MID-YEAR REPORT,"440,000.00",8/21/2003,2003
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,YEAR-END REPORT,"60,000.00",2/13/2004,2003
AR,Carmen Group Incorporated,CYTOMEDIX INC,YEAR-END REPORT,"140,000.00",2/17/2004,2003
AR,Walmart Inc.,WALMART INC,YEAR-END REPORT,"540,000.00",3/17/2004,2003
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,MID-YEAR REPORT,"60,000.00",8/9/2004,2004
AR,Carmen Group Incorporated,CYTOMEDIX INC,MID-YEAR REPORT,"160,000.00",8/17/2004,2004
AR,Walmart Inc.,WALMART INC,MID-YEAR REPORT,"620,000.00",8/20/2004,2004
AR,"Baker Healthcare Consulting, Inc.",REGIONAL MEDICAL CENTER OF NORTHEAST ARKANSAS,REGISTRATION,,10/29/2004,2004
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,YEAR-END REPORT,"60,000.00",2/14/2005,2004
AR,Carmen Group Incorporated,CYTOMEDIX INC,YEAR-END REPORT,"100,000.00",2/15/2005,2004
AR,"Baker Healthcare Consulting, Inc.",REGIONAL MEDICAL CENTER OF NORTHEAST ARKANSAS,YEAR-END TERMINATION,,2/23/2005,2004
AR,"HC Associates, Inc.",NATL ACADEMY OF ELDER LAW ATTORNEYS,REGISTRATION,,6/29/2005,2005
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,MID-YEAR REPORT,"60,000.00",8/5/2005,2005
AR,"HC Associates, Inc.",NATL ACADEMY OF ELDER LAW ATTORNEYS,MID-YEAR REPORT,"10,000.00",8/5/2005,2005
AR,Carmen Group Incorporated,CYTOMEDIX INC,MID-YEAR REPORT,"40,000.00",8/16/2005,2005
AR,GARDNER CARTON & DOUGLAS,SOUTHERN ONCOLOGY ASSN OF PRACTICES,REGISTRATION,,1/9/2006,2006
AR,KESSLER & ASSOCIATES BUSINESS SERVICES,MERCY HEALTH SYSTEM OF NW ARKANSAS,MID-YEAR REPORT,"160,000.00",1/18/2006,2005
AR,KESSLER & ASSOCIATES BUSINESS SERVICES,MERCY HEALTH SYSTEM OF NW ARKANSAS,YEAR-END REPORT,"160,000.00",1/23/2006,2005
AR,KESSLER & ASSOCIATES BUSINESS SERVICES,MERCY HEALTH SYSTEM OF NW ARKANSAS,YEAR-END REPORT,"160,000.00",1/25/2006,2004
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,YEAR-END REPORT,"80,000.00",2/2/2006,2005
AR,Carmen Group Incorporated,CYTOMEDIX INC,YEAR-END REPORT,,2/13/2006,2005
AR,"HC Associates, Inc.",NATL ACADEMY OF ELDER LAW ATTORNEYS,YEAR-END REPORT,"60,000.00",2/14/2006,2005
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,MID-YEAR REPORT,"80,000.00",8/8/2006,2006
AR,GARDNER CARTON & DOUGLAS,SOUTHERN ONCOLOGY ASSN OF PRACTICES,MID-YEAR REPORT,,8/23/2006,2006
AR,Walmart Inc.,WALMART INC,MID-YEAR REPORT,"1,300,000.00",8/23/2006,2006
AR,KESSLER & ASSOCIATES BUSINESS SERVICES,MERCY HEALTH SYSTEM OF NW ARKANSAS,YEAR-END REPORT,"160,000.00",1/19/2007,2006
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,YEAR-END REPORT,"80,000.00",2/9/2007,2006
