State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
AZ,TRIWEST HEALTHCARE ALLIANCE,TRIWEST HEALTHCARE ALLIANCE,MID-YEAR REPORT,"50,000.00",8/19/1999,1999
AZ,TRIWEST HEALTHCARE ALLIANCE,TRIWEST HEALTHCARE ALLIANCE,YEAR-END REPORT,"65,000.00",2/22/2000,1999
AZ,STEELMAN HEALTH STRATEGIES,PCS HEALTH SYSTEMS,REGISTRATION,,6/7/2000,2000
AZ,Reed Smith LLP,ADVANCEPCS,MID-YEAR REPORT,"20,000.00",7/27/2000,2000
AZ,CONGRESSIONAL CONSULTANTS,ALLIANCE MEDICAL CORP,MID-YEAR REPORT,,8/4/2000,2000
AZ,Policy Development Group,Rural/Metro Corp,MID-YEAR REPORT,,8/11/2000,2000
AZ,STEELMAN HEALTH STRATEGIES,PCS HEALTH SYSTEMS,MID-YEAR TERMINATION,"20,000.00",8/15/2000,2000
AZ,TRIWEST HEALTHCARE ALLIANCE,TRIWEST HEALTHCARE ALLIANCE,MID-YEAR REPORT,"40,000.00",8/21/2000,2000
AZ,"HALSEY RAINS & ASSOCIATES, LLC",NATIONAL SURGICAL ASSISTANT ASSOCIATION,REGISTRATION,,5/15/2001,2001
AZ,"HALSEY RAINS & ASSOCIATES, LLC",NATIONAL SURGICAL ASSISTANT ASSOCIATION,MID-YEAR REPORT,,8/13/2001,2001
AZ,"HALSEY RAINS & ASSOCIATES, LLC",NATIONAL SURGICAL ASSISTANT ASSOCIATION,YEAR-END REPORT,"20,000.00",2/13/2002,2001
AZ,TRIWEST HEALTHCARE ALLIANCE,TRIWEST HEALTHCARE ALLIANCE,YEAR-END REPORT,"40,000.00",3/13/2002,2001
AZ,"Timmons and Company, Inc.",ORTHOLOGIC,REGISTRATION,,7/18/2002,2002
AZ,"HALSEY RAINS & ASSOCIATES, LLC",NATIONAL SURGICAL ASSISTANT ASSOCIATION,MID-YEAR REPORT,"20,000.00",7/25/2002,2002
AZ,Van Scoyoc Associates,ABS SCHOOL SERVICES,MID-YEAR REPORT,"20,000.00",8/14/2002,2002
AZ,"The Cormac Group, LLC",AMERICA WEST AIRLINES,MID-YEAR REPORT,"40,000.00",8/21/2002,2002
AZ,TRIWEST HEALTHCARE ALLIANCE,TRIWEST HEALTHCARE ALLIANCE,MID-YEAR REPORT,"120,000.00",8/23/2002,2002
AZ,"HALSEY RAINS & ASSOCIATES, LLC",NATIONAL SURGICAL ASSISTANT ASSOCIATION,YEAR-END REPORT,"20,000.00",2/14/2003,2002
AZ,"Timmons and Company, Inc.",ORTHOLOGIC,YEAR-END REPORT,"45,000.00",2/14/2003,2002
AZ,"Timmons and Company, Inc.",ORTHOLOGIC,MID-YEAR REPORT,"40,000.00",8/4/2003,2003
AZ,"HALSEY RAINS & ASSOCIATES, LLC",NATIONAL SURGICAL ASSISTANT ASSOCIATION,MID-YEAR REPORT,"20,000.00",8/14/2003,2003
AZ,NEWTON OCONNOR TURNER & KETCHUM,DCI GROUP,REGISTRATION,,9/30/2003,2003
AZ,"Timmons and Company, Inc.",ORTHOLOGIC,YEAR-END REPORT,"40,000.00",2/10/2004,2003
AZ,"HALSEY RAINS & ASSOCIATES, LLC",NATIONAL SURGICAL ASSISTANT ASSOCIATION,YEAR-END REPORT,"20,000.00",2/17/2004,2003
AZ,Strategic Health Care,SUN HEALTH,REGISTRATION,,3/8/2004,2004
AZ,Strategic Health Care,TMC HEALTHCARE,REGISTRATION,,3/8/2004,2004
AZ,"EWyatt Consulting, LLC",TRIWEST HEALTHCARE ALLIANCE CORP,REGISTRATION,,3/11/2004,2004
AZ,Nusgart Consulting LLC,THREE RIVERS HOLDINGS LLC,REGISTRATION,,3/19/2004,2003
AZ,TRIWEST HEALTHCARE ALLIANCE,TRIWEST HEALTHCARE ALLIANCE,YEAR-END REPORT,"70,000.00",4/12/2004,2003
AZ,Nusgart Consulting LLC,THREE RIVERS HOLDINGS LLC,YEAR-END AMENDMENT (NO ACTIVITY),,4/24/2004,2003
AZ,SCOTTSDALE HEALTHCARE,SCOTTSDALE HEALTHCARE,REGISTRATION,,5/5/2004,2004
AZ,TRIADVOCATES LLC,VANGUARD HEALTH SYSTEMS INC,REGISTRATION,,6/17/2004,2004
AZ,"Timmons and Company, Inc.",ORTHOLOGIC,MID-YEAR (NO ACTIVITY),,8/4/2004,2004
AZ,"HALSEY RAINS & ASSOCIATES, LLC",NATIONAL SURGICAL ASSISTANT ASSOCIATION,MID-YEAR REPORT,"40,000.00",8/6/2004,2004
AZ,TRIADVOCATES LLC,VANGUARD HEALTH SYSTEMS INC,MID-YEAR REPORT,,8/6/2004,2004
AZ,TRIWEST HEALTHCARE ALLIANCE,TRIWEST HEALTHCARE ALLIANCE,MID-YEAR REPORT,"72,000.00",8/16/2004,2004
AZ,Nusgart Consulting LLC,THREE RIVERS HOLDINGS LLC,MID-YEAR REPORT,,8/18/2004,2004
AZ,NEWTON OCONNOR TURNER & KETCHUM,DCI GROUP,YEAR-END TERMINATION,"10,000.00",9/10/2004,2003
AZ,"Baker Healthcare Consulting, Inc.",PHOENIX MEMORIAL HOSPITAL,REGISTRATION,,10/7/2004,2004
AZ,"BURNS & ASSOC, BRENDA",ARIZONA HEART HOSPITAL,REGISTRATION,,10/27/2004,2004
AZ,"BURNS & ASSOC, BRENDA",MEDCATH OF TUCSON DBA TUCSON HEART HOSPITAL,REGISTRATION,,10/27/2004,2004
AZ,"GRISSO CONSULTING GROUP, LLC",TRIWEST HEALTHCARE ALLIANCE,REGISTRATION,,10/27/2004,2004
AZ,"Baker Healthcare Consulting, Inc.",PHOENIX MEMORIAL HOSPITAL,REGISTRATION AMENDMENT,,11/4/2004,2004
AZ,NEWTON OCONNOR TURNER & KETCHUM,DCI GROUP,MID-YEAR REPORT,"20,000.00",11/8/2004,2004
AZ,NEWTON OCONNOR TURNER & KETCHUM,DCI GROUP,YEAR-END TERMINATION,"20,000.00",11/15/2004,2004
AZ,"Timmons and Company, Inc.",ORTHOLOGIC,MID-YEAR TERMINATION AMENDMENT,,12/22/2004,2004
AZ,Mr. David Gencarelli,MEDICAL SECURITY CARD COMPANY,MID-YEAR REPORT,"20,000.00",1/10/2005,2004
AZ,Mr. David Gencarelli,MEDICAL SECURITY CARD COMPANY,REGISTRATION,,1/10/2005,2005
AZ,Mr. David Gencarelli,MEDICAL SECURITY CARD COMPANY,REGISTRATION,,1/10/2005,2005
