State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
CA,"Murdoch, Walrath & Holmes",California Retired Teachers Association,MID-YEAR REPORT,,7/12/1999,1999
CA,"DeBrunner & Associates, Inc.",Private Essential Access Community Hospitals,MID-YEAR REPORT,"$66,000.00 ",8/4/1999,1999
CA,"Susan J. White & Associates, Inc.",CALIFORNIA ASSN OF PUBLIC HOSPITALS,MID-YEAR REPORT,"$20,000.00 ",8/5/1999,1999
CA,McDermott Will & Emery LLP,"Allergan, Inc.",MID-YEAR REPORT,"$20,000.00 ",8/12/1999,1999
CA,"Pacific Consulting Associates, Inc.",ALLERGAN INC,MID-YEAR REPORT,"$18,000.00 ",8/12/1999,1999
CA,"Capitol Associates, Inc.",California Association of Marriage and Family Therapists,MID-YEAR REPORT,"$20,000.00 ",8/13/1999,1999
CA,"PARRY, ROMANI, DECONCINI & SYMMS",AIDS HEALTHCARE FOUNDATION,MID-YEAR REPORT,"$60,000.00 ",8/13/1999,1999
CA,Reed Smith LLP,SUNRISE MEDICAL INC,MID-YEAR REPORT,"$60,000.00 ",8/13/1999,1999
CA,Squire Patton Boggs,ALLIANCE OF CATHOLIC HEALTH CARE SYSTEMS,MID-YEAR REPORT,"$100,000.00 ",8/13/1999,1999
CA,"Van Ness Feldman, LLP",MCKESSON CORPORATION,MID-YEAR REPORT,,8/13/1999,1999
CA,"ALLERGAN, INC.","ALLERGAN, INC.",MID-YEAR REPORT,"$250,000.00 ",8/16/1999,1999
CA,BERGNER BOCKORNY CASTAGNETTI HAWKINS & BRAIN,METRA BIOSYSTEMS,MID-YEAR REPORT,"$20,000.00 ",8/16/1999,1999
CA,HEALTH POLICY ALTERNATIVES,PREVENTIVE MEDICINE RESEARCH INSTITUTE,MID-YEAR REPORT,"$20,000.00 ",8/16/1999,1999
CA,KAISER FOUNDATION HEALTH PLAN INC.,KAISER FOUNDATION HEALTH PLAN INC,MID-YEAR REPORT,"$260,000.00 ",8/16/1999,1999
CA,"MARC ASSOCIATES, INC.",ASTRA TECH,MID-YEAR REPORT,,8/16/1999,1999
CA,"MARC ASSOCIATES, INC.",RENAL LEADERSHIP COUNCIL,MID-YEAR REPORT,"$40,000.00 ",8/16/1999,1999
CA,McKesson CORPORATION AND ITS AFFILIATE U.S. ONCOLOGY (FORMERLY MCKESSON CORP.),MCKESSON CORPORATION AND ITS AFFILIATE U S ONCOLOGY (FORMERLY MCKESSON CORP ),MID-YEAR REPORT,"$40,000.00 ",8/16/1999,1999
CA,Nusgart Consulting LLC,CHAD THERAPEUTICS,MID-YEAR REPORT,,8/16/1999,1999
CA,Nusgart Consulting LLC,FREEDOM DESIGNS,MID-YEAR REPORT,,8/16/1999,1999
CA,Stanford University,Stanford University,MID-YEAR REPORT,"$140,000.00 ",8/16/1999,1999
CA,The OB-C Group. LLC,WELLPOINT HEALTH NETWORKS,MID-YEAR REPORT,"$100,000.00 ",8/16/1999,1999
CA,The Washington Group,SCAN HEALTH PLAN,MID-YEAR REPORT,"$40,000.00 ",8/20/1999,1999
CA,Smith Dawson & Andrews,WOUND OSTOMY CONTINENCE NURSES,MID-YEAR REPORT,"$20,000.00 ",11/24/1999,1999
CA,MCKENNA & CUNEO,CYPRESS BIOSCIENCE,YEAR-END REPORT,,1/24/2000,1999
CA,"Murdoch, Walrath & Holmes",California Retired Teachers Association,YEAR-END REPORT,,1/31/2000,1999
CA,Nusgart Consulting LLC,CHAD THERAPEUTICS,YEAR-END TERMINATION,,2/1/2000,1999
CA,Nusgart Consulting LLC,FREEDOM DESIGNS,YEAR-END REPORT,,2/1/2000,1999
CA,Fleishman-Hillard,KAHL POWNALL ADVOCATES,MID-YEAR REPORT,"$40,000.00 ",2/2/2000,1999
CA,"Capitol Associates, Inc.",California Association of Marriage and Family Therapists,YEAR-END REPORT,"$40,000.00 ",2/11/2000,1999
CA,"DeBrunner & Associates, Inc.",Private Essential Access Community Hospitals,YEAR-END REPORT,"$55,000.00 ",2/11/2000,1999
CA,BERGNER BOCKORNY CASTAGNETTI HAWKINS & BRAIN,METRA BIOSYSTEMS,YEAR-END TERMINATION,"$20,000.00 ",2/14/2000,1999
CA,Fleishman-Hillard,KAHL POWNALL ADVOCATES,YEAR-END REPORT,"$40,000.00 ",2/14/2000,1999
CA,"INNOVATIVE FEDERAL STRATEGIES, LLC",JACOBS & CO (LOMA LINDA UNIVERSITY MEDICAL CENTER),YEAR-END REPORT,"$40,000.00 ",2/14/2000,1999
CA,"MARC ASSOCIATES, INC.",ASTRA TECH,YEAR-END REPORT,,2/14/2000,1999
CA,"MARC ASSOCIATES, INC.",RENAL LEADERSHIP COUNCIL,YEAR-END REPORT,"$40,000.00 ",2/14/2000,1999
CA,McDermott Will & Emery LLP,"Allergan, Inc.",YEAR-END REPORT,"$20,000.00 ",2/14/2000,1999
CA,"PARRY, ROMANI, DECONCINI & SYMMS",AIDS HEALTHCARE FOUNDATION,YEAR-END REPORT,"$60,000.00 ",2/14/2000,1999
CA,"PODESTA GROUP, INC.",CYPRESS BIOSCIENCE,YEAR-END REPORT,"$20,000.00 ",2/14/2000,1999
CA,"Powers Pyles Sutter & Verville, P.C.",HOOPER LUNDY & BOOKMAN,YEAR-END REPORT,"$40,000.00 ",2/14/2000,1999
CA,Reed Smith LLP,SUNRISE MEDICAL INC,YEAR-END REPORT,"$20,000.00 ",2/14/2000,1999
CA,Squire Patton Boggs,ALLIANCE OF CATHOLIC HEALTH CARE SYSTEMS,YEAR-END REPORT,"$140,000.00 ",2/14/2000,1999
CA,"Susan J. White & Associates, Inc.",CALIFORNIA ASSN OF PUBLIC HOSPITALS,YEAR-END TERMINATION,"$20,000.00 ",2/14/2000,1999
CA,The Paul Laxalt Group,APRIA HEALTHCARE GROUP,YEAR-END REPORT,"$60,000.00 ",2/14/2000,1999
CA,The Washington Group,SCAN HEALTH PLAN,YEAR-END REPORT,"$60,000.00 ",2/14/2000,1999
CA,"Van Ness Feldman, LLP",MCKESSON CORPORATION,YEAR-END REPORT,,2/14/2000,1999
CA,"Wexler | Walker, a unit of Hill+Knowlton Strategies, LLC",AMGEN,YEAR-END REPORT,"$100,000.00 ",2/14/2000,1999
CA,"ALLERGAN, INC.","ALLERGAN, INC.",YEAR-END REPORT,"$150,000.00 ",2/15/2000,1999
CA,"GRQ, LLC",RESMED,YEAR-END REPORT,,2/15/2000,1999
CA,"Pacific Consulting Associates, Inc.",ALLERGAN INC,YEAR-END REPORT,"$80,000.00 ",2/15/2000,1999
CA,The OB-C Group. LLC,WELLPOINT HEALTH NETWORKS,YEAR-END REPORT,"$100,000.00 ",2/15/2000,1999
CA,KAISER FOUNDATION HEALTH PLAN INC.,KAISER FOUNDATION HEALTH PLAN INC,YEAR-END REPORT,"$360,000.00 ",2/17/2000,1999
CA,"Baker Healthcare Consulting, Inc.",COMMUNITY MEMORIAL HOSPITAL OF SAN BUENAVENTURA,YEAR-END REPORT,,2/22/2000,1999
CA,"Baker Healthcare Consulting, Inc.",OJAI VALLEY COMMUNITY HOSPITAL,YEAR-END REPORT,,2/22/2000,1999
CA,"Baker Healthcare Consulting, Inc.",SANTA PAULA MEMORIAL HOSPITAL,YEAR-END REPORT,,2/22/2000,1999
CA,"Baker Healthcare Consulting, Inc.",ST JOHN'S PLEASANT VALLEY HOSPITAL,YEAR-END REPORT,,2/22/2000,1999
CA,"Baker Healthcare Consulting, Inc.",ST JOHN'S REGIONAL MEDICAL CTR,YEAR-END REPORT,,2/22/2000,1999
CA,McKesson CORPORATION AND ITS AFFILIATE U.S. ONCOLOGY (FORMERLY MCKESSON CORP.),MCKESSON CORPORATION AND ITS AFFILIATE U S ONCOLOGY (FORMERLY MCKESSON CORP ),YEAR-END REPORT,"$20,000.00 ",2/22/2000,1999
CA,Smith Dawson & Andrews,WOUND OSTOMY CONTINENCE NURSES,YEAR-END REPORT,"$20,000.00 ",6/16/2000,1999
CA,Reed Smith LLP,CITY OF EUREKA,MID-YEAR REPORT,"$20,000.00 ",7/27/2000,2000
CA,Reed Smith LLP,ECLIPSE SURGICAL TECHNOLOGIES INC,MID-YEAR (NO ACTIVITY),,7/27/2000,2000
CA,Reed Smith LLP,HUMBOLDT BAY MUNICIPAL WATER DIST,MID-YEAR REPORT,"$20,000.00 ",7/27/2000,2000
CA,Reed Smith LLP,SUNRISE MEDICAL INC,MID-YEAR REPORT,"$100,000.00 ",7/27/2000,2000
CA,"ALPINE GROUP PARTNERS, LLC.",TOYOTA MOTOR SALES,MID-YEAR REPORT,"$60,000.00 ",8/3/2000,2000
CA,"SHOULTZ, DAVID",VARIAN MEDICAL SYSTEMS,MID-YEAR REPORT,"$40,000.00 ",8/3/2000,2000
CA,"MEDICAID POLICY, LLC",CALIFORNIA RURAL INDIAN HEALTH BOARD INC,MID-YEAR REPORT,,8/4/2000,2000
CA,"PARRY, ROMANI, DECONCINI & SYMMS",AIDS HEALTHCARE FOUNDATION,MID-YEAR REPORT,"$60,000.00 ",8/7/2000,2000
CA,"PUBLIC POLICY PARTNERS, LLC",CYPRESS BIOSCIENCE INC,MID-YEAR REPORT,,8/7/2000,2000
CA,KAISER FOUNDATION HEALTH PLAN INC.,KAISER FOUNDATION HEALTH PLAN INC,MID-YEAR REPORT,"$240,000.00 ",8/8/2000,2000
CA,"Susan J. White & Associates, Inc.",CENCAL HEALTH (FORMERLY SANTA BARBARA REGIONAL HEALTH AUTHORITY),MID-YEAR REPORT,,8/8/2000,2000
CA,"Susan J. White & Associates, Inc.",PARTNERSHIP HEALTHPLAN OF CALIFORNIA,MID-YEAR REPORT,,8/8/2000,2000
CA,"AGILENT TECHNOLOGIES, INC",AGILENT TECHNOLOGIES INC,MID-YEAR REPORT,"$80,000.00 ",8/10/2000,2000
CA,"INNOVATIVE FEDERAL STRATEGIES, LLC",ESRI,MID-YEAR REPORT,,8/10/2000,2000
CA,"INNOVATIVE FEDERAL STRATEGIES, LLC",JACOBS & CO (LOMA LINDA UNIVERSITY MEDICAL CENTER),MID-YEAR REPORT,"$40,000.00 ",8/10/2000,2000
CA,BGR Government Affairs,Amgen Inc.,MID-YEAR REPORT,"$60,000.00 ",8/11/2000,2000
CA,"Capitol Associates, Inc.",California Association of Marriage and Family Therapists,MID-YEAR REPORT,"$40,000.00 ",8/11/2000,2000
CA,"Capitol Associates, Inc.",HEALTHCARE BILLING AND MANAGMENT ASSOCIATION,MID-YEAR REPORT,"$20,000.00 ",8/11/2000,2000
CA,BERGNER BOCKORNY CASTAGNETTI HAWKINS & BRAIN,AGILENT TECHNOLOGIES,MID-YEAR REPORT,"$60,000.00 ",8/14/2000,2000
CA,"DeBrunner & Associates, Inc.",CATHOLIC HEALTHCARE WEST,MID-YEAR REPORT,"$15,000.00 ",8/14/2000,2000
CA,"DeBrunner & Associates, Inc.",Private Essential Access Community Hospitals,MID-YEAR REPORT,"$66,000.00 ",8/14/2000,2000
CA,Fleishman-Hillard,KAHL POWNALL ADVOCATES,MID-YEAR REPORT,"$40,000.00 ",8/14/2000,2000
CA,"GRQ, LLC",RESMED,MID-YEAR REPORT,,8/14/2000,2000
CA,Holland & Knight LLP,UROMEDICA CORP,MID-YEAR REPORT,,8/14/2000,2000
CA,"MARC ASSOCIATES, INC.",ASTRA TECH,MID-YEAR REPORT,,8/14/2000,2000
CA,"MARC ASSOCIATES, INC.",RENAL LEADERSHIP COUNCIL,MID-YEAR REPORT,"$40,000.00 ",8/14/2000,2000
CA,McDermott Will & Emery LLP,"Allergan, Inc.",MID-YEAR REPORT,"$20,000.00 ",8/14/2000,2000
CA,McKesson CORPORATION AND ITS AFFILIATE U.S. ONCOLOGY (FORMERLY MCKESSON CORP.),MCKESSON CORPORATION AND ITS AFFILIATE U S ONCOLOGY (FORMERLY MCKESSON CORP ),MID-YEAR REPORT,"$40,000.00 ",8/14/2000,2000
CA,"PODESTA GROUP, INC.",CYPRESS BIOSCIENCE,MID-YEAR REPORT,"$20,000.00 ",8/14/2000,2000
CA,"Powers Pyles Sutter & Verville, P.C.",HOOPER LUNDY & BOOKMAN,MID-YEAR REPORT,"$40,000.00 ",8/14/2000,2000
