State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
CO,121 Strategies & Government Relations,"BioScrip, Inc.",REGISTRATION,,1/3/2017,2016
CO,121 Strategies & Government Relations,"BioScrip, Inc.",FOURTH QUARTER REPORT,,1/23/2017,2016
CO,121 Strategies & Government Relations,"BioScrip, Inc.",FIRST QUARTER TERMINATION,"20,000.00",4/20/2017,2017
CO,Akerman LLP,WESTMORELAND COAL COMPANY,REGISTRATION,,6/19/2009,2009
CO,Akin Gump Strauss Hauer & Feld,Cordant Health Solutions,FOURTH QUARTER REPORT,"20,000.00",1/22/2019,2018
CO,Akin Gump Strauss Hauer & Feld,Cordant Health Solutions,FIRST QUARTER REPORT,,4/22/2019,2019
CO,Akin Gump Strauss Hauer & Feld,Cordant Health Solutions,REGISTRATION,,10/19/2018,2018
CO,Akin Gump Strauss Hauer & Feld,Cordant Health Solutions,SECOND QUARTER REPORT,"10,000.00",10/22/2018,2018
CO,Akin Gump Strauss Hauer & Feld,Cordant Health Solutions,THIRD QUARTER REPORT,"20,000.00",10/22/2018,2018
CO,ALSTON & BIRD LLP,Colorado Hospital Association,FOURTH QUARTER REPORT,"20,000.00",1/21/2020,2019
CO,ALSTON & BIRD LLP,Colorado Hospital Association,FOURTH QUARTER REPORT,"20,000.00",1/22/2019,2018
CO,ALSTON & BIRD LLP,Colorado Hospital Association,REGISTRATION,,2/13/2018,2018
CO,ALSTON & BIRD LLP,Colorado Hospital Association,FIRST QUARTER REPORT,,4/19/2018,2018
CO,ALSTON & BIRD LLP,Colorado Hospital Association,FIRST QUARTER AMENDMENT,"20,000.00",4/20/2018,2018
CO,ALSTON & BIRD LLP,Colorado Hospital Association,FIRST QUARTER REPORT,"20,000.00",4/22/2019,2019
CO,ALSTON & BIRD LLP,Colorado Hospital Association,SECOND QUARTER REPORT,"20,000.00",7/20/2018,2018
CO,ALSTON & BIRD LLP,Colorado Hospital Association,SECOND QUARTER REPORT,"20,000.00",7/22/2019,2019
CO,ALSTON & BIRD LLP,Colorado Hospital Association,THIRD QUARTER REPORT,"20,000.00",10/19/2018,2018
CO,ALSTON & BIRD LLP,Colorado Hospital Association,THIRD QUARTER REPORT,"20,000.00",10/21/2019,2019
CO,ANTHEM BLUE CROSS & BLUE SHIELD,ANTHEM BLUE CROSS & BLUE SHIELD,YEAR-END REPORT,,2/22/2000,1999
CO,ANTHEM BLUE CROSS & BLUE SHIELD,ANTHEM BLUE CROSS & BLUE SHIELD,MID-YEAR REPORT,,8/3/2000,2000
CO,ANTHEM BLUE CROSS & BLUE SHIELD,ANTHEM BLUE CROSS & BLUE SHIELD,MID-YEAR REPORT,,8/23/1999,1999
CO,"Baker Healthcare Consulting, Inc.",AVISTA ADVENTIST HOSPITAL,YEAR-END TERMINATION,,2/16/2001,2000
CO,"Baker Healthcare Consulting, Inc.",AVISTA ADVENTIST HOSPITAL,YEAR-END REPORT,,2/22/2000,1999
CO,"Baker Healthcare Consulting, Inc.",AVISTA ADVENTIST HOSPITAL,REGISTRATION,,8/11/1999,1999
CO,"Baker Healthcare Consulting, Inc.",AVISTA ADVENTIST HOSPITAL,MID-YEAR REPORT,,8/15/2000,2000
CO,"Baker Healthcare Consulting, Inc.",BOULDER COMMUNITY HOSPITAL,YEAR-END TERMINATION,,2/16/2001,2000
CO,"Baker Healthcare Consulting, Inc.",BOULDER COMMUNITY HOSPITAL,YEAR-END REPORT,,2/22/2000,1999
CO,"Baker Healthcare Consulting, Inc.",BOULDER COMMUNITY HOSPITAL,REGISTRATION,,8/11/1999,1999
CO,"Baker Healthcare Consulting, Inc.",BOULDER COMMUNITY HOSPITAL,MID-YEAR REPORT,,8/15/2000,2000
CO,"Baker Healthcare Consulting, Inc.",LONGMONT UNITED HOSPITAL,YEAR-END TERMINATION,,2/16/2001,2000
CO,"Baker Healthcare Consulting, Inc.",LONGMONT UNITED HOSPITAL,YEAR-END REPORT,,2/22/2000,1999
