State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
CT,"ABERNATHY CONSULTANTS, CATHY",GENERAL ELECTRIC,FIRST QUARTER REPORT,"50,000.00",10/9/2008,2008
CT,"ABERNATHY CONSULTANTS, CATHY",GENERAL ELECTRIC,YEAR-END REPORT,"80,000.00",10/9/2008,2007
CT,AETNA INC.,AETNA INC,FOURTH QUARTER REPORT,"998,150.00",1/11/2011,2010
CT,AETNA INC.,AETNA INC,FOURTH QUARTER REPORT,"517,594.00",1/12/2009,2008
CT,AETNA INC.,AETNA INC,FOURTH QUARTER REPORT,"914,888.00",1/18/2012,2011
CT,AETNA INC.,AETNA INC,FOURTH QUARTER REPORT,"802,573.00",1/20/2010,2009
CT,AETNA INC.,AETNA INC,FOURTH QUARTER REPORT,"1,030,000.00",1/20/2015,2014
CT,AETNA INC.,AETNA INC,FOURTH QUARTER REPORT,"1,010,000.00",1/20/2016,2015
CT,AETNA INC.,AETNA INC,FOURTH QUARTER REPORT,"1,170,000.00",1/21/2014,2013
CT,AETNA INC.,AETNA INC,FOURTH QUARTER REPORT,"1,280,000.00",1/22/2013,2012
CT,AETNA INC.,AETNA INC,FOURTH QUARTER REPORT,"580,000.00",1/22/2018,2017
CT,AETNA INC.,AETNA INC,FOURTH QUARTER REPORT,"620,000.00",1/22/2019,2018
CT,AETNA INC.,AETNA INC,FOURTH QUARTER REPORT,"620,000.00",1/23/2017,2016
CT,AETNA INC.,AETNA INC,YEAR-END REPORT,"872,033.00",2/4/2008,2007
CT,AETNA INC.,AETNA INC,YEAR-END REPORT,"1,409,160.00",2/10/2000,1999
CT,AETNA INC.,AETNA INC,YEAR-END REPORT,"1,323,170.00",2/12/2007,2006
CT,AETNA INC.,AETNA INC,YEAR-END REPORT,"795,000.00",2/14/2001,2000
CT,AETNA INC.,AETNA INC,YEAR-END REPORT,"1,628,840.00",2/23/2005,2004
CT,AETNA INC.,AETNA INC,YEAR-END REPORT,"1,405,644.00",2/24/2003,2002
CT,AETNA INC.,AETNA INC,YEAR-END REPORT,"980,276.00",3/2/2006,2005
CT,AETNA INC.,AETNA INC,YEAR-END REPORT,"1,314,974.00",4/1/2004,2003
CT,AETNA INC.,AETNA INC,FIRST QUARTER REPORT,"1,083,703.00",4/12/2011,2011
CT,AETNA INC.,AETNA INC,FIRST QUARTER REPORT,"809,793.00",4/16/2009,2009
CT,AETNA INC.,AETNA INC,FIRST QUARTER REPORT,"575,459.00",4/18/2008,2008
CT,AETNA INC.,AETNA INC,FIRST QUARTER REPORT,"1,641,400.00",4/19/2010,2010
CT,AETNA INC.,AETNA INC,FIRST QUARTER REPORT,"1,248,884.00",4/20/2012,2012
CT,AETNA INC.,AETNA INC,FIRST QUARTER REPORT,"870,000.00",4/20/2015,2015
CT,AETNA INC.,AETNA INC,FIRST QUARTER REPORT,"1,090,000.00",4/20/2016,2016
CT,AETNA INC.,AETNA INC,FIRST QUARTER REPORT,"1,380,000.00",4/20/2017,2017
CT,AETNA INC.,AETNA INC,FIRST QUARTER REPORT,"1,310,000.00",4/20/2018,2018
CT,AETNA INC.,AETNA INC,FIRST QUARTER REPORT,"630,000.00",4/21/2014,2014
CT,AETNA INC.,AETNA INC,FIRST QUARTER REPORT,"570,000.00",4/22/2013,2013
CT,AETNA INC.,AETNA INC,FOURTH QUARTER TERMINATION,"1,760,000.00",5/2/2019,2018
CT,AETNA INC.,AETNA INC,SECOND QUARTER REPORT,"902,453.00",7/8/2011,2011
CT,AETNA INC.,AETNA INC,SECOND QUARTER REPORT,"488,276.00",7/10/2008,2008
CT,AETNA INC.,AETNA INC,SECOND QUARTER REPORT,"631,846.00",7/14/2009,2009
CT,AETNA INC.,AETNA INC,SECOND QUARTER REPORT,"1,568,045.00",7/19/2010,2010
CT,AETNA INC.,AETNA INC,SECOND QUARTER REPORT,"820,000.00",7/20/2012,2012
CT,AETNA INC.,AETNA INC,SECOND QUARTER REPORT,"510,000.00",7/20/2015,2015
CT,AETNA INC.,AETNA INC,SECOND QUARTER REPORT,"610,000.00",7/20/2016,2016
CT,AETNA INC.,AETNA INC,SECOND QUARTER REPORT,"570,000.00",7/20/2017,2017
CT,AETNA INC.,AETNA INC,SECOND QUARTER REPORT,"580,000.00",7/20/2018,2018
CT,AETNA INC.,AETNA INC,SECOND QUARTER REPORT,"460,000.00",7/21/2014,2014
CT,AETNA INC.,AETNA INC,SECOND QUARTER REPORT,"430,000.00",7/22/2013,2013
CT,AETNA INC.,AETNA INC,MID-YEAR REPORT,"785,000.00",7/28/2000,2000
CT,AETNA INC.,AETNA INC,MID-YEAR REPORT,"893,102.00",8/3/2005,2005
CT,AETNA INC.,AETNA INC,MID-YEAR REPORT,"1,351,279.00",8/8/2002,2002
CT,AETNA INC.,AETNA INC,MID-YEAR REPORT,"1,219,469.00",8/8/2007,2007
CT,AETNA INC.,AETNA INC,MID-YEAR REPORT,"728,830.00",8/10/1999,1999
CT,AETNA INC.,AETNA INC,MID-YEAR REPORT,"1,076,858.00",8/12/2004,2004
CT,AETNA INC.,AETNA INC,MID-YEAR REPORT,"1,608,865.00",8/14/2003,2003
CT,AETNA INC.,AETNA INC,MID-YEAR REPORT,"921,540.00",8/14/2006,2006
CT,AETNA INC.,AETNA INC,MID-YEAR REPORT,"826,680.00",8/27/2001,2001
CT,AETNA INC.,AETNA INC,THIRD QUARTER REPORT,"1,009,998.00",10/11/2011,2011
CT,AETNA INC.,AETNA INC,THIRD QUARTER REPORT,"580,743.00",10/12/2009,2009
CT,AETNA INC.,AETNA INC,THIRD QUARTER REPORT,"638,299.00",10/14/2010,2010
CT,AETNA INC.,AETNA INC,THIRD QUARTER REPORT,"452,449.00",10/17/2008,2008
CT,AETNA INC.,AETNA INC,THIRD QUARTER REPORT,"430,000.00",10/20/2014,2014
CT,AETNA INC.,AETNA INC,THIRD QUARTER REPORT,"690,000.00",10/20/2015,2015
CT,AETNA INC.,AETNA INC,THIRD QUARTER REPORT,"740,000.00",10/20/2016,2016
CT,AETNA INC.,AETNA INC,THIRD QUARTER REPORT,"600,000.00",10/20/2017,2017
CT,AETNA INC.,AETNA INC,THIRD QUARTER REPORT,"410,000.00",10/21/2013,2013
CT,AETNA INC.,AETNA INC,THIRD QUARTER REPORT,"760,000.00",10/22/2012,2012
CT,AETNA INC.,AETNA INC,SECOND QUARTER AMENDMENT,"580,000.00",10/22/2018,2018
CT,AETNA INC.,AETNA INC,THIRD QUARTER REPORT,"460,000.00",10/22/2018,2018
CT,AETNA INC.,AETNA INC,FIRST QUARTER AMENDMENT,"1,641,400.00",11/4/2011,2010
CT,AETNA INC.,AETNA INC,SECOND QUARTER AMENDMENT,"902,453.00",11/4/2011,2011
CT,ALSTON & BIRD LLP,"Aetna, Inc.",REGISTRATION,,7/13/2009,2009
