State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
DE,"ALPINE GROUP PARTNERS, LLC.",DUPONT PHARMACEUTICAL CO,MID-YEAR REPORT,"40,000.00",8/3/2000,2000
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER REPORT,"620,000.00",1/19/2018,2017
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER REPORT,"810,000.00",1/19/2019,2018
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER REPORT,"1,220,000.00",1/20/2010,2009
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER REPORT,"660,000.00",1/20/2011,2010
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER REPORT,"460,000.00",1/20/2015,2014
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER REPORT,"487,808.00",1/20/2016,2015
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER REPORT,"464,210.00",1/20/2017,2016
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER REPORT,"1,090,000.00",1/21/2009,2008
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER REPORT,"520,000.00",1/21/2012,2011
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,THIRD QUARTER REPORT,"520,000.00",1/21/2012,2011
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER REPORT,"650,000.00",1/21/2014,2013
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER REPORT,"510,000.00",1/21/2020,2019
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER REPORT,"340,000.00",1/22/2013,2012
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,YEAR-END REPORT,"320,000.00",2/13/2001,2000
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,THIRD QUARTER AMENDMENT,"1,140,000.00",2/13/2009,2008
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,REGISTRATION,,2/14/2000,2000
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,YEAR-END REPORT,"1,240,000.00",2/14/2006,2005
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,YEAR-END REPORT,"1,380,000.00",2/14/2007,2006
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,YEAR-END REPORT,"1,700,000.00",2/14/2008,2007
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,YEAR-END REPORT,"1,020,000.00",2/18/2005,2004
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,THIRD QUARTER AMENDMENT,"900,000.00",2/18/2013,2012
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER AMENDMENT,"510,000.00",2/20/2012,2011
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,THIRD QUARTER AMENDMENT,"1,420,000.00",2/20/2012,2011
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,YEAR-END REPORT,"640,000.00",2/25/2003,2002
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER AMENDMENT,"650,000.00",3/26/2014,2013
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,YEAR-END REPORT,"800,000.00",4/2/2004,2003
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER REPORT,"700,000.00",4/19/2017,2017
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER REPORT,"600,000.00",4/19/2018,2018
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER REPORT,"1,250,000.00",4/20/2009,2009
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER REPORT,"1,700,000.00",4/20/2010,2010
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER REPORT,"1,330,000.00",4/20/2011,2011
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER REPORT,"1,180,000.00",4/20/2012,2012
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER REPORT,"503,000.00",4/20/2015,2015
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER REPORT,"1,080,000.00",4/20/2016,2016
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER REPORT,"770,000.00",4/21/2008,2008
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER REPORT,"1,030,000.00",4/21/2014,2014
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER REPORT,"1,210,000.00",4/22/2013,2013
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER REPORT,"1,060,000.00",4/22/2019,2019
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,YEAR-END REPORT,"520,000.00",4/24/2002,2001
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER AMENDMENT,"560,000.00",5/2/2014,2013
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,THIRD QUARTER AMENDMENT,"620,000.00",5/2/2019,2018
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER AMENDMENT,"660,000.00",5/8/2012,2010
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER AMENDMENT,"770,000.00",5/28/2008,2008
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER AMENDMENT,"520,000.00",6/10/2015,2014
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER AMENDMENT,"1,190,000.00",6/18/2012,2012
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER REPORT,"438,391.00",7/19/2016,2016
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER REPORT,"730,000.00",7/19/2017,2017
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER REPORT,"480,000.00",7/19/2019,2019
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER REPORT,"1,240,000.00",7/20/2009,2009
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER REPORT,"740,000.00",7/20/2010,2010
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER REPORT,"680,000.00",7/20/2011,2011
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER REPORT,"360,000.00",7/20/2012,2012
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER REPORT,"460,000.00",7/20/2018,2018
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER REPORT,"1,340,000.00",7/21/2008,2008
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER REPORT,"480,000.00",7/21/2014,2014
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER AMENDMENT,"1,200,000.00",7/22/2009,2009
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER REPORT,"460,000.00",7/22/2013,2013
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER AMENDMENT,"480,000.00",7/22/2014,2014
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER REPORT,"1,080,000.00",7/30/2015,2015
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER AMENDMENT,"1,350,000.00",8/10/2011,2011
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,MID-YEAR REPORT,"1,460,000.00",8/14/2006,2006
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,MID-YEAR REPORT,"2,380,000.00",8/14/2007,2007
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FIRST QUARTER AMENDMENT,"1,110,000.00",8/16/2012,2012
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,MID-YEAR REPORT,"1,080,000.00",8/18/2004,2004
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,MID-YEAR REPORT,"1,400,000.00",8/18/2005,2005
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER AMENDMENT,"520,000.00",8/19/2014,2014
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,MID-YEAR REPORT,"520,000.00",8/20/2002,2002
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER AMENDMENT,"680,000.00",8/20/2013,2011
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,MID-YEAR REPORT,"680,000.00",8/21/2003,2003
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER AMENDMENT,"740,000.00",8/23/2010,2010
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER AMENDMENT,"680,000.00",8/31/2011,2011
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,SECOND QUARTER AMENDMENT,"860,000.00",9/3/2019,2019
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER AMENDMENT,"810,000.00",9/27/2019,2018
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,THIRD QUARTER REPORT,"450,000.00",10/18/2019,2019
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,THIRD QUARTER REPORT,"1,410,000.00",10/19/2011,2011
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,THIRD QUARTER REPORT,"856,379.00",10/19/2016,2016
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,THIRD QUARTER REPORT,"339,000.00",10/19/2017,2017
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,THIRD QUARTER REPORT,"510,000.00",10/19/2018,2018
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,THIRD QUARTER REPORT,"1,320,000.00",10/20/2008,2008
