State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,FOURTH QUARTER REPORT,"530,000.00",1/20/2016,2015
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,THIRD QUARTER TERMINATION,"650,000.00",2/2/2017,2016
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,FIRST QUARTER REPORT,"1,640,000.00",4/19/2016,2016
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,SECOND QUARTER REPORT,"510,000.00",7/15/2016,2016
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,FIRST QUARTER REPORT,"340,000.00",11/6/2015,2011
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,FOURTH QUARTER REPORT,"340,000.00",11/6/2015,2011
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,REGISTRATION,,11/6/2015,2011
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,SECOND QUARTER REPORT,"340,000.00",11/6/2015,2011
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,THIRD QUARTER REPORT,"340,000.00",11/6/2015,2011
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,FIRST QUARTER REPORT,"480,000.00",11/9/2015,2015
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,FIRST QUARTER REPORT,"420,000.00",11/9/2015,2013
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,FIRST QUARTER REPORT,"540,000.00",11/9/2015,2014
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,FIRST QUARTER REPORT,"370,000.00",11/9/2015,2012
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,FOURTH QUARTER REPORT,"420,000.00",11/9/2015,2013
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,FOURTH QUARTER REPORT,"540,000.00",11/9/2015,2014
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,FOURTH QUARTER REPORT,"370,000.00",11/9/2015,2012
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,SECOND QUARTER REPORT,"420,000.00",11/9/2015,2013
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,SECOND QUARTER REPORT,"480,000.00",11/9/2015,2015
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,SECOND QUARTER REPORT,"370,000.00",11/9/2015,2012
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,SECOND QUARTER REPORT,"540,000.00",11/9/2015,2014
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,THIRD QUARTER REPORT,"370,000.00",11/9/2015,2012
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,THIRD QUARTER REPORT,"420,000.00",11/9/2015,2013
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,THIRD QUARTER REPORT,"480,000.00",11/9/2015,2015
FL,21st Century Oncology,21ST CENTURY ONCOLOGY,THIRD QUARTER REPORT,"540,000.00",11/9/2015,2014
FL,Akerman LLP,Martin Memorial Health Systems,FOURTH QUARTER REPORT,"20,000.00",1/20/2011,2010
FL,Akerman LLP,Martin Memorial Health Systems,FIRST QUARTER REPORT,"20,000.00",4/13/2011,2011
FL,Akerman LLP,Martin Memorial Health Systems,SECOND QUARTER TERMINATION,"20,000.00",7/13/2011,2011
FL,Akerman LLP,Martin Memorial Health Systems,REGISTRATION,,10/8/2010,2010
FL,Akerman LLP,Martin Memorial Health Systems,FIRST QUARTER REPORT,"20,000.00",10/13/2010,2010
FL,Akerman LLP,Martin Memorial Health Systems,SECOND QUARTER REPORT,"20,000.00",10/13/2010,2010
FL,Akerman LLP,Martin Memorial Health Systems,THIRD QUARTER REPORT,"20,000.00",10/13/2010,2010
FL,Akerman LLP,SEMINOLE TRIBE OF FLORIDA,FOURTH QUARTER REPORT,"10,000.00",1/12/2010,2009
FL,Akerman LLP,SEMINOLE TRIBE OF FLORIDA,FIRST QUARTER REPORT,"20,000.00",4/9/2010,2010
FL,Akerman LLP,SEMINOLE TRIBE OF FLORIDA,SECOND QUARTER REPORT,"10,000.00",7/13/2010,2010
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,FOURTH QUARTER REPORT,"100,000.00",1/12/2017,2016
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,FOURTH QUARTER REPORT,"80,000.00",1/17/2018,2017
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,FOURTH QUARTER REPORT,"190,000.00",1/20/2016,2015
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,FOURTH QUARTER REPORT,"80,000.00",1/20/2020,2019
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,FOURTH QUARTER AMENDMENT,"100,000.00",3/1/2018,2016
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,THIRD QUARTER AMENDMENT,"130,000.00",3/1/2018,2016
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,FIRST QUARTER REPORT,"160,000.00",4/12/2017,2017
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,FIRST QUARTER REPORT,"80,000.00",4/17/2018,2018
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,FIRST QUARTER REPORT,"260,000.00",4/19/2016,2016
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,FIRST QUARTER REPORT,"100,000.00",4/22/2019,2019
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,SECOND QUARTER REPORT,"200,000.00",7/18/2016,2016
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,SECOND QUARTER REPORT,"100,000.00",7/18/2017,2017
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,SECOND QUARTER REPORT,"70,000.00",7/22/2019,2019
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,THIRD QUARTER REPORT,"110,000.00",10/12/2017,2017
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,THIRD QUARTER REPORT,"130,000.00",10/17/2016,2016
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,THIRD QUARTER REPORT,"190,000.00",10/20/2015,2015
FL,Akin Gump Strauss Hauer & Feld,The Puerto Rico Equality Forum,THIRD QUARTER REPORT,"70,000.00",10/20/2019,2019
FL,Alcalde & Fay,LAKE COUNTY,FOURTH QUARTER REPORT,"20,000.00",1/21/2013,2012
FL,Alcalde & Fay,LAKE COUNTY,FIRST QUARTER REPORT,"20,000.00",4/18/2011,2011
FL,Alcalde & Fay,LAKE COUNTY,FIRST QUARTER REPORT,"20,000.00",4/20/2012,2012
FL,Alcalde & Fay,LAKE COUNTY,SECOND QUARTER REPORT,"20,000.00",7/17/2011,2011
FL,Alcalde & Fay,LAKE COUNTY,SECOND QUARTER REPORT,"20,000.00",7/19/2012,2012
FL,Alcalde & Fay,LAKE COUNTY,THIRD QUARTER REPORT,"20,000.00",10/18/2011,2011
FL,Alcalde & Fay,LAKE COUNTY,THIRD QUARTER REPORT,"20,000.00",10/18/2012,2012
FL,Alcalde & Fay,SCHOOL DISTRICT OF PALM BEACH COUNTY FLORIDA,FOURTH QUARTER REPORT,"20,000.00",1/19/2009,2008
FL,Alcalde & Fay,SCHOOL DISTRICT OF PALM BEACH COUNTY FLORIDA,FIRST QUARTER REPORT,"20,000.00",4/17/2009,2009
FL,Alcalde & Fay,SCHOOL DISTRICT OF PALM BEACH COUNTY FLORIDA,FIRST QUARTER REPORT,"20,000.00",4/21/2008,2008
FL,Alcalde & Fay,SCHOOL DISTRICT OF PALM BEACH COUNTY FLORIDA,SECOND QUARTER REPORT,"20,000.00",7/19/2009,2009
FL,Alcalde & Fay,SCHOOL DISTRICT OF PALM BEACH COUNTY FLORIDA,SECOND QUARTER REPORT,"20,000.00",7/20/2008,2008
FL,Alcalde & Fay,SCHOOL DISTRICT OF PALM BEACH COUNTY FLORIDA,THIRD QUARTER REPORT,"20,000.00",10/14/2008,2008
FL,Alcalde & Fay,The Arc of Florida,FOURTH QUARTER TERMINATION,,1/19/2012,2011
FL,Alcalde & Fay,The Arc of Florida,SECOND QUARTER REPORT,"10,000.00",7/18/2011,2011
FL,Alcalde & Fay,The Arc of Florida,THIRD QUARTER REPORT,"10,000.00",10/17/2011,2011
FL,Alpha One Foundation,ALPHA ONE FOUNDATION,SECOND QUARTER REPORT,,7/22/2014,2014
FL,ALSTON & BIRD LLP,AMERIPATH,YEAR-END REPORT,,2/18/2005,2004
FL,ALSTON & BIRD LLP,AMERIPATH,REGISTRATION,,4/22/2004,2004
