State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
GA,Allison + Partners,Healthcare Leadership Council,REGISTRATION,,3/9/2009,2009
GA,"ALPINE GROUP PARTNERS, LLC.",SOUTHWIRE CO,MID-YEAR REPORT,"60,000.00",8/3/2000,2000
GA,ALSTON & BIRD LLP,Navicent Health,REGISTRATION AMENDMENT,,1/23/2017,2017
GA,ALSTON & BIRD LLP,Navicent Health,SECOND QUARTER REPORT,"10,000.00",1/24/2017,2016
GA,ALSTON & BIRD LLP,Navicent Health,REGISTRATION AMENDMENT,,1/25/2017,2016
GA,ALSTON & BIRD LLP,Navicent Health,REGISTRATION,,7/29/2016,2016
GA,ALSTON & BIRD LLP,Navicent Health,THIRD QUARTER REPORT,"50,000.00",10/20/2016,2016
GA,ALSTON & BIRD LLP,NDCHEALTH CORP,YEAR-END REPORT,,2/18/2005,2004
GA,ALSTON & BIRD LLP,NDCHEALTH CORP,REGISTRATION,,6/7/2004,2004
GA,ALSTON & BIRD LLP,NDCHEALTH CORP,MID-YEAR REPORT,"60,000.00",8/12/2005,2005
GA,ALSTON & BIRD LLP,OLEG DERIPASKA,YEAR-END REPORT,"200,000.00",2/14/2006,2005
GA,ALSTON & BIRD LLP,OLEG DERIPASKA,MID-YEAR REPORT,"60,000.00",8/12/2005,2005
GA,ALSTON & BIRD LLP,United Health Services - Pruitt Corporation,REGISTRATION,,7/31/2015,2015
GA,ALSTON & BIRD LLP,United Health Services - Pruitt Corporation,THIRD QUARTER REPORT,"60,000.00",10/20/2015,2015
GA,"AMERICAN CANCER SOCIETY, SOUTH ATLANTIC DIVISION, INC.",AMERICAN CANCER SOCIETY SOUTH ATLANTIC DIVISION INC,FOURTH QUARTER REPORT,"10,000.00",1/16/2009,2008
GA,"AMERICAN CANCER SOCIETY, SOUTH ATLANTIC DIVISION, INC.",AMERICAN CANCER SOCIETY SOUTH ATLANTIC DIVISION INC,FOURTH QUARTER REPORT,"9,000.00",1/20/2010,2009
GA,"AMERICAN CANCER SOCIETY, SOUTH ATLANTIC DIVISION, INC.",AMERICAN CANCER SOCIETY SOUTH ATLANTIC DIVISION INC,FOURTH QUARTER REPORT,,1/20/2012,2011
GA,"AMERICAN CANCER SOCIETY, SOUTH ATLANTIC DIVISION, INC.",AMERICAN CANCER SOCIETY SOUTH ATLANTIC DIVISION INC,YEAR-END REPORT,,2/26/2007,2006
GA,"AMERICAN CANCER SOCIETY, SOUTH ATLANTIC DIVISION, INC.",AMERICAN CANCER SOCIETY SOUTH ATLANTIC DIVISION INC,YEAR-END REPORT,"130,000.00",4/17/2009,2007
GA,"AMERICAN CANCER SOCIETY, SOUTH ATLANTIC DIVISION, INC.",AMERICAN CANCER SOCIETY SOUTH ATLANTIC DIVISION INC,FIRST QUARTER REPORT,"7,000.00",4/19/2010,2010
GA,"AMERICAN CANCER SOCIETY, SOUTH ATLANTIC DIVISION, INC.",AMERICAN CANCER SOCIETY SOUTH ATLANTIC DIVISION INC,FIRST QUARTER REPORT,"20,000.00",4/22/2008,2008
GA,"AMERICAN CANCER SOCIETY, SOUTH ATLANTIC DIVISION, INC.",AMERICAN CANCER SOCIETY SOUTH ATLANTIC DIVISION INC,YEAR-END REPORT,,6/15/2007,2006
GA,"AMERICAN CANCER SOCIETY, SOUTH ATLANTIC DIVISION, INC.",AMERICAN CANCER SOCIETY SOUTH ATLANTIC DIVISION INC,SECOND QUARTER REPORT,"15,000.00",7/1/2009,2009
GA,"AMERICAN CANCER SOCIETY, SOUTH ATLANTIC DIVISION, INC.",AMERICAN CANCER SOCIETY SOUTH ATLANTIC DIVISION INC,SECOND QUARTER REPORT,,7/12/2010,2010
GA,"AMERICAN CANCER SOCIETY, SOUTH ATLANTIC DIVISION, INC.",AMERICAN CANCER SOCIETY SOUTH ATLANTIC DIVISION INC,SECOND QUARTER REPORT,"25,000.00",7/18/2008,2008
GA,"AMERICAN CANCER SOCIETY, SOUTH ATLANTIC DIVISION, INC.",AMERICAN CANCER SOCIETY SOUTH ATLANTIC DIVISION INC,SECOND QUARTER REPORT,,7/19/2011,2011
