State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
HI,"Cassidy & Associates, Inc.",QUEEN EMMA FOUNDATION,MID-YEAR TERMINATION (NO ACTIVITY),,8/14/2002,2002
HI,"DeBrunner & Associates, Inc.",Maui Health System,FOURTH QUARTER REPORT,"30,900.00",1/16/2020,2019
HI,"DeBrunner & Associates, Inc.",Maui Health System,SECOND QUARTER REPORT,"30,900.00",7/22/2019,2019
HI,"DeBrunner & Associates, Inc.",Maui Health System,REGISTRATION,,10/17/2018,2017
HI,"DeBrunner & Associates, Inc.",Maui Health System,THIRD QUARTER REPORT,"30,900.00",10/18/2019,2019
HI,"DeBrunner & Associates, Inc.",Maui Health System,THIRD QUARTER REPORT,"43,775.00",10/22/2018,2018
HI,"HEALTH POLICY SOURCE, INC.",Queens Health Systems,REGISTRATION,,1/27/2014,2013
HI,"HEALTH POLICY SOURCE, INC.",Queens Health Systems,FIRST QUARTER REPORT,,4/17/2014,2014
HI,"HEALTH POLICY SOURCE, INC.",Queens Health Systems,FOURTH QUARTER REPORT,,4/17/2014,2013
HI,"HEALTH POLICY SOURCE, INC.",Queens Health Systems,SECOND QUARTER TERMINATION,,7/17/2014,2014
HI,"HUDSON ASSOC, R.J.",ST FRANCIS MEDICAL GROUP,MID-YEAR TERMINATION AMENDMENT,"20,000.00",2/13/2007,2005
HI,"HUDSON ASSOC, R.J.",ST FRANCIS MEDICAL GROUP,YEAR-END REPORT,"20,000.00",3/10/2005,2004
HI,"HUDSON ASSOC, R.J.",ST FRANCIS MEDICAL GROUP,REGISTRATION,,4/6/2004,2003
HI,"HUDSON ASSOC, R.J.",ST FRANCIS MEDICAL GROUP,YEAR-END AMENDMENT,"20,000.00",6/23/2004,2003
HI,"HUDSON ASSOC, R.J.",ST FRANCIS MEDICAL GROUP,MID-YEAR REPORT,"20,000.00",8/23/2004,2004
HI,"HUDSON ASSOC, R.J.",ST FRANCIS MEDICAL GROUP,MID-YEAR REPORT,"20,000.00",8/29/2005,2005
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",LIBERTY DIALYSIS,REGISTRATION,,1/17/2006,2006
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",LIBERTY DIALYSIS,FOURTH QUARTER TERMINATION,,1/21/2009,2008
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",LIBERTY DIALYSIS,YEAR-END REPORT,,2/13/2008,2007
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",LIBERTY DIALYSIS,YEAR-END REPORT,,3/2/2007,2006
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",LIBERTY DIALYSIS,FIRST QUARTER REPORT,,4/11/2008,2008
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",LIBERTY DIALYSIS,MID-YEAR REPORT,,5/11/2007,2006
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",LIBERTY DIALYSIS,SECOND QUARTER REPORT,,7/18/2008,2008
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",LIBERTY DIALYSIS,MID-YEAR REPORT,,8/15/2007,2007
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",LIBERTY DIALYSIS,THIRD QUARTER REPORT,,10/20/2008,2008
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",National Kidney Foundation of Hawaii,REGISTRATION,,4/3/2008,2008
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",ST FRANCIS HEALTHCARE,YEAR-END REPORT,"40,000.00",2/15/2006,2005
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",ST FRANCIS HEALTHCARE,YEAR-END REPORT,"20,000.00",2/25/2005,2004
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",ST FRANCIS HEALTHCARE,MID-YEAR REPORT,"40,000.00",8/9/2005,2005
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",ST FRANCIS HEALTHCARE,MID-YEAR REPORT,"30,000.00",8/20/2004,2004
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",ST FRANCIS HEALTHCARE SYSTEM OF HAWAII,YEAR-END REPORT,,2/14/2008,2007
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",ST FRANCIS HEALTHCARE SYSTEM OF HAWAII,YEAR-END REPORT,,2/16/2006,2005
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",ST FRANCIS HEALTHCARE SYSTEM OF HAWAII,YEAR-END REPORT,,3/2/2007,2006
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",ST FRANCIS HEALTHCARE SYSTEM OF HAWAII,FOURTH QUARTER TERMINATION,,3/16/2009,2008
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",ST FRANCIS HEALTHCARE SYSTEM OF HAWAII,THIRD QUARTER REPORT,,3/27/2009,2008
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",ST FRANCIS HEALTHCARE SYSTEM OF HAWAII,FIRST QUARTER REPORT,,4/11/2008,2008
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",ST FRANCIS HEALTHCARE SYSTEM OF HAWAII,SECOND QUARTER REPORT,,7/18/2008,2008
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",ST FRANCIS HEALTHCARE SYSTEM OF HAWAII,REGISTRATION,,8/12/2005,2005
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",ST FRANCIS HEALTHCARE SYSTEM OF HAWAII,MID-YEAR REPORT,,8/15/2007,2007
HI,"PACE, LLP (Formerly PACE-CAPSTONE)",ST FRANCIS HEALTHCARE SYSTEM OF HAWAII,MID-YEAR REPORT,,8/17/2006,2006
HI,R. J. Hudson Associates (dba PACE Government Services),National Kidney Foundation of Hawaii,REGISTRATION,,4/12/2009,2009
HI,R. J. Hudson Associates (dba PACE Government Services),National Kidney Foundation of Hawaii,REGISTRATION,,4/29/2009,2009
HI,Strategic Health Care,North Hawaii Community Hospital,FOURTH QUARTER REPORT,,1/17/2011,2010
HI,Strategic Health Care,North Hawaii Community Hospital,REGISTRATION,,4/1/2010,2010
HI,Strategic Health Care,North Hawaii Community Hospital,FIRST QUARTER REPORT,"19,000.00",4/14/2010,2010
HI,Strategic Health Care,North Hawaii Community Hospital,SECOND QUARTER REPORT,"5,000.00",7/9/2010,2010
HI,Strategic Health Care,North Hawaii Community Hospital,THIRD QUARTER REPORT,"35,000.00",10/12/2010,2010
HI,Strategic Health Care,North Hawaii Community Hospital,FIRST QUARTER AMENDMENT,"19,000.00",10/15/2010,2010
