State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
IA,Abigail Stork,Iowa Hospital Association,FOURTH QUARTER REPORT,"10,000.00",1/19/2009,2008
IA,Abigail Stork,Iowa Hospital Association,FOURTH QUARTER AMENDMENT,"10,000.00",1/26/2009,2008
IA,Abigail Stork,Iowa Hospital Association,YEAR-END REPORT,,2/12/2008,2007
IA,Abigail Stork,Iowa Hospital Association,FIRST QUARTER REPORT,"10,000.00",4/20/2008,2008
IA,Abigail Stork,Iowa Hospital Association,FIRST QUARTER REPORT,"10,000.00",4/20/2009,2009
IA,Abigail Stork,Iowa Hospital Association,SECOND QUARTER REPORT,"10,000.00",7/19/2008,2008
IA,Abigail Stork,Iowa Hospital Association,SECOND QUARTER REPORT,"10,000.00",7/19/2009,2009
IA,Abigail Stork,Iowa Hospital Association,THIRD QUARTER REPORT,"10,000.00",10/19/2008,2008
IA,Abigail Stork,Iowa Hospital Association,THIRD QUARTER TERMINATION,"10,000.00",10/20/2009,2009
IA,Abigail Stork,Iowa Hospital Association,REGISTRATION,,11/9/2007,2007
IA,ALSTON & BIRD LLP,Des Moines University,REGISTRATION,,7/2/2009,2009
IA,ALSTON & BIRD LLP,Des Moines University,SECOND QUARTER REPORT,"20,000.00",7/20/2009,2009
IA,ALSTON & BIRD LLP,Iowa Health System,FOURTH QUARTER REPORT,"50,000.00",1/20/2010,2009
IA,ALSTON & BIRD LLP,Iowa Health System,FIRST QUARTER REPORT,"50,000.00",4/20/2010,2010
IA,ALSTON & BIRD LLP,Iowa Health System,REGISTRATION,,7/2/2009,2009
IA,ALSTON & BIRD LLP,Iowa Health System,SECOND QUARTER REPORT,"30,000.00",7/20/2009,2009
IA,ALSTON & BIRD LLP,Iowa Health System,SECOND QUARTER TERMINATION,"30,000.00",7/20/2010,2010
IA,ALSTON & BIRD LLP,Iowa Health System,THIRD QUARTER REPORT,"50,000.00",10/20/2009,2009
IA,ALSTON & BIRD LLP,Iowa Hospital Association,FOURTH QUARTER REPORT,"40,000.00",1/19/2016,2015
IA,ALSTON & BIRD LLP,Iowa Hospital Association,FOURTH QUARTER REPORT,"50,000.00",1/21/2020,2019
IA,ALSTON & BIRD LLP,Iowa Hospital Association,FOURTH QUARTER REPORT,,1/22/2018,2017
IA,ALSTON & BIRD LLP,Iowa Hospital Association,FOURTH QUARTER REPORT,,1/22/2019,2018
IA,ALSTON & BIRD LLP,Iowa Hospital Association,FOURTH QUARTER REPORT,,1/23/2017,2016
IA,ALSTON & BIRD LLP,Iowa Hospital Association,FIRST QUARTER REPORT,,4/19/2018,2018
IA,ALSTON & BIRD LLP,Iowa Hospital Association,FIRST QUARTER REPORT,,4/20/2016,2016
IA,ALSTON & BIRD LLP,Iowa Hospital Association,FIRST QUARTER REPORT,,4/20/2017,2017
IA,ALSTON & BIRD LLP,Iowa Hospital Association,FIRST QUARTER REPORT,,4/22/2019,2019
IA,ALSTON & BIRD LLP,Iowa Hospital Association,SECOND QUARTER REPORT,,7/20/2016,2016
IA,ALSTON & BIRD LLP,Iowa Hospital Association,SECOND QUARTER REPORT,,7/20/2017,2017
IA,ALSTON & BIRD LLP,Iowa Hospital Association,SECOND QUARTER REPORT,,7/20/2018,2018
IA,ALSTON & BIRD LLP,Iowa Hospital Association,SECOND QUARTER REPORT,"10,000.00",7/22/2019,2019
IA,ALSTON & BIRD LLP,Iowa Hospital Association,REGISTRATION,,8/26/2015,2015
IA,ALSTON & BIRD LLP,Iowa Hospital Association,THIRD QUARTER REPORT,,10/19/2017,2017
IA,ALSTON & BIRD LLP,Iowa Hospital Association,THIRD QUARTER REPORT,,10/19/2018,2018
IA,ALSTON & BIRD LLP,Iowa Hospital Association,THIRD QUARTER REPORT,"40,000.00",10/20/2015,2015
IA,ALSTON & BIRD LLP,Iowa Hospital Association,THIRD QUARTER REPORT,,10/20/2016,2016
IA,ALSTON & BIRD LLP,Iowa Hospital Association,THIRD QUARTER REPORT,"50,000.00",10/21/2019,2019
IA,Arent Fox LLP,DEPARTMENT OF PUBLIC HEALTH-IA,YEAR-END REPORT,"60,000.00",2/13/2004,2003
IA,Arent Fox LLP,DEPARTMENT OF PUBLIC HEALTH-IA,MID-YEAR REPORT,"40,000.00",8/7/2003,2003
IA,Arent Fox LLP,DEPARTMENT OF PUBLIC HEALTH-IA,MID-YEAR TERMINATION,"40,000.00",8/10/2004,2004
IA,Carmela Brown,Mercy Health Network of Iowa,REGISTRATION,,4/4/2008,2008
IA,"Cornerstone Government Affairs, Inc.",UnityPoint Health,FOURTH QUARTER REPORT,"50,000.00",1/21/2020,2019
IA,"Cornerstone Government Affairs, Inc.",UnityPoint Health,REGISTRATION,,4/4/2019,2019
IA,"Cornerstone Government Affairs, Inc.",UnityPoint Health,FIRST QUARTER REPORT,"20,000.00",4/17/2019,2019
IA,"Cornerstone Government Affairs, Inc.",UnityPoint Health,SECOND QUARTER REPORT,"50,000.00",7/22/2019,2019
IA,"Cornerstone Government Affairs, Inc.",UnityPoint Health,THIRD QUARTER REPORT,"50,000.00",10/21/2019,2019
IA,Dow Lohnes PLLC,PALMER CHIROPRACTIC UNIVERSITY FOUNDATION,YEAR-END REPORT,"20,000.00",1/31/2007,2006
IA,Dow Lohnes PLLC,PALMER CHIROPRACTIC UNIVERSITY FOUNDATION,REGISTRATION,,12/15/2005,2005
IA,"Dutko Worldwide, LLC",DES MOINES UNIV,YEAR-END REPORT,"60,000.00",2/14/2005,2004
IA,"Dutko Worldwide, LLC",DES MOINES UNIV,REGISTRATION,,5/6/2004,2004
IA,"Dutko Worldwide, LLC",DES MOINES UNIV,MID-YEAR TERMINATION,"60,000.00",8/15/2005,2005
IA,"Dutko Worldwide, LLC",DES MOINES UNIV,MID-YEAR REPORT,"50,000.00",8/18/2004,2004
IA,GARDNER CARTON & DOUGLAS,IOWA DEPARTMENT OF PUBLIC HEALTH,YEAR-END TERMINATION,"60,000.00",2/12/2007,2006
IA,GARDNER CARTON & DOUGLAS,IOWA DEPARTMENT OF PUBLIC HEALTH,YEAR-END (NO ACTIVITY),"120,000.00",2/16/2006,2005
IA,GARDNER CARTON & DOUGLAS,IOWA DEPARTMENT OF PUBLIC HEALTH,YEAR-END REPORT,"40,000.00",2/25/2005,2004
IA,GARDNER CARTON & DOUGLAS,IOWA DEPARTMENT OF PUBLIC HEALTH,REGISTRATION,,7/20/2004,2004
IA,GARDNER CARTON & DOUGLAS,IOWA DEPARTMENT OF PUBLIC HEALTH,MID-YEAR REPORT,"60,000.00",8/23/2006,2006
IA,GARDNER CARTON & DOUGLAS,IOWA DEPARTMENT OF PUBLIC HEALTH,MID-YEAR REPORT,,8/24/2004,2004
IA,GARDNER CARTON & DOUGLAS,IOWA DEPARTMENT OF PUBLIC HEALTH,MID-YEAR REPORT,,8/24/2005,2005
IA,"Hall, Render, Killian, Heath & Lyman, P.C.",Genesis Health System,FOURTH QUARTER REPORT,,1/5/2015,2014
IA,"Hall, Render, Killian, Heath & Lyman, P.C.",Genesis Health System,FIRST QUARTER REPORT,,4/8/2015,2015
IA,"Hall, Render, Killian, Heath & Lyman, P.C.",Genesis Health System,REGISTRATION,,6/23/2014,2014
IA,"Hall, Render, Killian, Heath & Lyman, P.C.",Genesis Health System,SECOND QUARTER REPORT,,7/7/2014,2014
IA,"Hall, Render, Killian, Heath & Lyman, P.C.",Genesis Health System,SECOND QUARTER TERMINATION,,7/14/2015,2015
IA,"Hall, Render, Killian, Heath & Lyman, P.C.",Genesis Health System,THIRD QUARTER REPORT,,10/16/2014,2014
IA,"HEALTH POLICY SOURCE, INC.",Healthcare Value Investment Act Coalition,FOURTH QUARTER REPORT,,1/12/2018,2017
IA,"HEALTH POLICY SOURCE, INC.",Healthcare Value Investment Act Coalition,FIRST QUARTER TERMINATION,,4/17/2018,2018
IA,"HEALTH POLICY SOURCE, INC.",Healthcare Value Investment Act Coalition,FIRST QUARTER REPORT,"10,000.00",4/20/2017,2017
IA,"HEALTH POLICY SOURCE, INC.",Healthcare Value Investment Act Coalition,REGISTRATION,,4/20/2017,2017
IA,"HEALTH POLICY SOURCE, INC.",Healthcare Value Investment Act Coalition,SECOND QUARTER REPORT,"60,000.00",7/20/2017,2017
IA,"HEALTH POLICY SOURCE, INC.",Healthcare Value Investment Act Coalition,THIRD QUARTER REPORT,,10/20/2017,2017
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,FOURTH QUARTER REPORT,"10,000.00",1/12/2018,2017
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,FOURTH QUARTER REPORT,"10,000.00",1/15/2010,2009
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,FOURTH QUARTER REPORT,"10,000.00",1/16/2014,2013
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,FOURTH QUARTER REPORT,"10,000.00",1/16/2015,2014
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,FOURTH QUARTER REPORT,,1/16/2020,2019
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,FOURTH QUARTER REPORT,"10,000.00",1/18/2011,2010
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,FOURTH QUARTER REPORT,"10,000.00",1/18/2012,2011
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,FOURTH QUARTER REPORT,"10,000.00",1/18/2013,2012
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,FOURTH QUARTER REPORT,"10,000.00",1/18/2019,2018
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,FOURTH QUARTER REPORT,,1/19/2016,2015
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,FOURTH QUARTER REPORT,"10,000.00",1/19/2017,2016
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,FOURTH QUARTER REPORT,"10,000.00",1/21/2009,2008
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,REGISTRATION,,2/3/2005,2004
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,YEAR-END REPORT,"40,000.00",2/12/2007,2006
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,YEAR-END REPORT,"40,000.00",2/14/2006,2005
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,YEAR-END REPORT,"20,000.00",2/14/2008,2007
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,YEAR-END REPORT,"20,000.00",3/4/2005,2004
IA,"HEALTH POLICY SOURCE, INC.",IOWA CLINIC,FIRST QUARTER REPORT,"10,000.00",3/25/2008,2008
