State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
ID,"Johnston Group, LLC",Madison Memorial Hospital,FOURTH QUARTER REPORT,"5,000.00",1/7/2019,2018
ID,"Johnston Group, LLC",Madison Memorial Hospital,FOURTH QUARTER REPORT,"10,000.00",1/15/2018,2017
ID,"Johnston Group, LLC",Madison Memorial Hospital,FIRST QUARTER REPORT,"10,000.00",4/8/2018,2018
ID,"Johnston Group, LLC",Madison Memorial Hospital,SECOND QUARTER REPORT,"10,000.00",7/13/2018,2018
ID,"Johnston Group, LLC",Madison Memorial Hospital,REGISTRATION,,7/26/2017,2017
ID,"Johnston Group, LLC",Madison Memorial Hospital,THIRD QUARTER REPORT,"10,000.00",10/5/2017,2017
ID,"Johnston Group, LLC",Madison Memorial Hospital,THIRD QUARTER REPORT,"10,000.00",10/5/2018,2018
ID,McDermott Will & Emery LLP,Bingham Memorial Hospital,FOURTH QUARTER REPORT,"30,000.00",1/15/2014,2013
ID,McDermott Will & Emery LLP,Bingham Memorial Hospital,FIRST QUARTER REPORT,"30,000.00",4/14/2014,2014
ID,McDermott Will & Emery LLP,Bingham Memorial Hospital,REGISTRATION,,7/12/2013,2013
ID,McDermott Will & Emery LLP,Bingham Memorial Hospital,THIRD QUARTER REPORT,"30,000.00",10/9/2013,2013
ID,McDermott+Consulting LLC,Bingham Memorial Hospital,REGISTRATION,,4/16/2015,2015
ID,McDermott+Consulting LLC,Bingham Memorial Hospital,FIRST QUARTER REPORT,"30,000.00",4/20/2015,2015
ID,REGENCE BLUESHIELD OF IDAHO,REGENCE BLUESHIELD OF IDAHO,YEAR-END REPORT,,4/13/2004,2003
ID,REGENCE BLUESHIELD OF IDAHO,REGENCE BLUESHIELD OF IDAHO,MID-YEAR REPORT,,7/23/2003,2003
ID,REGENCE BLUESHIELD OF IDAHO,REGENCE BLUESHIELD OF IDAHO,REGISTRATION,,7/23/2003,2003
ID,Strategic Health Care,Bingham Memorial Hospital,FOURTH QUARTER REPORT,"8,000.00",1/13/2009,2008
ID,Strategic Health Care,Bingham Memorial Hospital,FOURTH QUARTER REPORT,,1/14/2010,2009
ID,Strategic Health Care,Bingham Memorial Hospital,FOURTH QUARTER REPORT,,1/19/2017,2016
ID,Strategic Health Care,Bingham Memorial Hospital,FOURTH QUARTER REPORT,,1/19/2018,2017
ID,Strategic Health Care,Bingham Memorial Hospital,FOURTH QUARTER REPORT,,1/20/2015,2014
ID,Strategic Health Care,Bingham Memorial Hospital,FOURTH QUARTER REPORT,,1/20/2016,2015
ID,Strategic Health Care,Bingham Memorial Hospital,FOURTH QUARTER REPORT,,1/20/2020,2019
ID,Strategic Health Care,Bingham Memorial Hospital,FOURTH QUARTER REPORT,,1/21/2014,2013
