State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
IL,AMERICAN ASSOCIATION OF ORAL AND MAXILLOFACIAL SURGEONS,AMERICAN ASSOCIATION OF ORAL AND MAXILLOFACIAL SURGEONS,MID-YEAR REPORT,,6/22/1999,1999
IL,"AHO, DAVID",PATHOGENESIS,MID-YEAR REPORT,"$30,000.00 ",7/30/1999,1999
IL,Baker & Hostetler LLP,RMS DISEASE MANAGEMENT,MID-YEAR REPORT,"$100,000.00 ",7/30/1999,1999
IL,The University of Chicago,THE UNIVERSITY OF CHICAGO,MID-YEAR REPORT,"$80,000.00 ",8/4/1999,1999
IL,"Baker Healthcare Consulting, Inc.",KATHERINE SHAW BETHEA HOSPITAL,MID-YEAR REPORT,,8/11/1999,1999
IL,"Baker Healthcare Consulting, Inc.",ST MARGARET'S HOSPITAL,MID-YEAR REPORT,,8/11/1999,1999
IL,CNA FINANCIAL CORPORATION,CNA FINANCIAL CORPORATION,MID-YEAR REPORT,"$800,000.00 ",8/12/1999,1999
IL,FOX BENNETT & TURNER,NORTH AMERICAN BRAIN TUMOR COALITION,MID-YEAR REPORT,,8/12/1999,1999
IL,Akin Gump Strauss Hauer & Feld,ST BERNARDS HOSPITAL,MID-YEAR REPORT,,8/13/1999,1999
IL,AMERICAN ASSN OF DIABETES EDUCATORS,AMERICAN ASSN OF DIABETES EDUCATORS,MID-YEAR REPORT,"$40,000.00 ",8/13/1999,1999
IL,"Capitol Associates, Inc.",AUNT MARTHA'S YOUTH SERVICES,MID-YEAR REPORT,"$20,000.00 ",8/13/1999,1999
IL,LUMBERMENS MUTUAL CASUALTY CO,LUMBERMENS MUTUAL CASUALTY CO,MID-YEAR REPORT,"$320,000.00 ",8/13/1999,1999
IL,"STONE MATTHEIS XENOPOULOS AND BREW, PC",AMERICAN MEDICAL TECHNOLOGISTS,MID-YEAR REPORT,,8/13/1999,1999
IL,American Association of Orthopaedic Surgeons,AMERICAN ASSOCIATION OF ORTHOPAEDIC SURGEONS,MID-YEAR REPORT,"$100,000.00 ",8/16/1999,1999
IL,American College of Chest Physicians,American College of Chest Physicians,MID-YEAR REPORT,"$250,000.00 ",8/16/1999,1999
IL,Deere & Company,DEERE & COMPANY,MID-YEAR REPORT,"$180,000.00 ",8/16/1999,1999
IL,"Greenberg Traurig, LLP",BROWN & SONS GEORGE F,MID-YEAR REPORT,,8/16/1999,1999
IL,"Greenberg Traurig, LLP",DELOITTE CONSULTING,MID-YEAR REPORT,"$40,000.00 ",8/16/1999,1999
IL,"GRQ, LLC",AMERICAN ASSOCIATION OF CARDIOVASCULAR & PULMONARY REHABILITATION,MID-YEAR REPORT,,8/16/1999,1999
IL,"GRQ, LLC",AMERICAN COLLEGE OF CHEST PHYSICIANS,MID-YEAR REPORT,,8/16/1999,1999
IL,NORTHWESTERN MEMORIAL HOSPITAL,NORTHWESTERN MEMORIAL HOSPITAL,MID-YEAR REPORT,"$180,000.00 ",8/16/1999,1999
IL,Nusgart Consulting LLC,CROWN THERAPEUTICS,MID-YEAR REPORT,,8/16/1999,1999
IL,Nusgart Consulting LLC,ROHO INC,MID-YEAR REPORT,,8/16/1999,1999
IL,"Powers Pyles Sutter & Verville, P.C.",PAIN CARE COALITION,MID-YEAR REPORT,"$20,000.00 ",8/16/1999,1999
IL,Metropolitan Chicago Healthcare Council,Metropolitan Chicago Healthcare Council,MID-YEAR REPORT,"$20,000.00 ",8/19/1999,1999
IL,"MINTZ LEVIN COHN FERRIS GLOVSKY AND POPEO, P.C.",AMERICAN COLLEGE OF CHEST PHYSICIANS,MID-YEAR AMENDMENT,"$60,000.00 ",8/25/1999,1999
