State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
IN,ALSTON & BIRD LLP,BAYER HEALTHCARE,FOURTH QUARTER REPORT,"30,000.00",1/21/2009,2008
IN,ALSTON & BIRD LLP,BAYER HEALTHCARE,YEAR-END REPORT,"60,000.00",2/8/2008,2007
IN,ALSTON & BIRD LLP,BAYER HEALTHCARE,YEAR-END REPORT,"60,000.00",2/13/2007,2006
IN,ALSTON & BIRD LLP,BAYER HEALTHCARE,FIRST QUARTER REPORT,"30,000.00",4/18/2008,2008
IN,ALSTON & BIRD LLP,BAYER HEALTHCARE,FIRST QUARTER REPORT,"30,000.00",4/20/2009,2009
IN,ALSTON & BIRD LLP,BAYER HEALTHCARE,REGISTRATION,,5/25/2006,2006
IN,ALSTON & BIRD LLP,BAYER HEALTHCARE,SECOND QUARTER REPORT,"30,000.00",7/21/2008,2008
IN,ALSTON & BIRD LLP,BAYER HEALTHCARE,MID-YEAR REPORT,"20,000.00",8/7/2006,2006
IN,ALSTON & BIRD LLP,BAYER HEALTHCARE,MID-YEAR REPORT,"40,000.00",8/7/2007,2007
IN,ALSTON & BIRD LLP,BAYER HEALTHCARE,THIRD QUARTER REPORT,"30,000.00",10/20/2008,2008
IN,ALSTON & BIRD LLP,ROCHE DIAGNOSTICS,FOURTH QUARTER REPORT,"30,000.00",1/21/2009,2008
IN,ALSTON & BIRD LLP,ROCHE DIAGNOSTICS,YEAR-END REPORT,"60,000.00",2/8/2008,2007
IN,ALSTON & BIRD LLP,ROCHE DIAGNOSTICS,YEAR-END REPORT,"60,000.00",2/13/2007,2006
IN,ALSTON & BIRD LLP,ROCHE DIAGNOSTICS,FIRST QUARTER REPORT,"30,000.00",4/18/2008,2008
IN,ALSTON & BIRD LLP,ROCHE DIAGNOSTICS,FIRST QUARTER REPORT,"30,000.00",4/20/2009,2009
IN,ALSTON & BIRD LLP,ROCHE DIAGNOSTICS,REGISTRATION,,5/25/2006,2006
IN,ALSTON & BIRD LLP,ROCHE DIAGNOSTICS,SECOND QUARTER REPORT,"30,000.00",7/21/2008,2008
IN,ALSTON & BIRD LLP,ROCHE DIAGNOSTICS,MID-YEAR REPORT,"20,000.00",8/7/2006,2006
IN,ALSTON & BIRD LLP,ROCHE DIAGNOSTICS,MID-YEAR REPORT,"40,000.00",8/7/2007,2007
IN,ALSTON & BIRD LLP,ROCHE DIAGNOSTICS,THIRD QUARTER REPORT,"30,000.00",10/20/2008,2008
IN,American Alliance of Orthopaedic Executives,AMERICAN ALLIANCE OF ORTHOPAEDIC EXECUTIVES,FOURTH QUARTER REPORT,,1/10/2017,2016
IN,American Alliance of Orthopaedic Executives,AMERICAN ALLIANCE OF ORTHOPAEDIC EXECUTIVES,FOURTH QUARTER TERMINATION,,1/10/2017,2016
IN,American Alliance of Orthopaedic Executives,AMERICAN ALLIANCE OF ORTHOPAEDIC EXECUTIVES,FOURTH QUARTER REPORT,,1/11/2019,2018
IN,American Alliance of Orthopaedic Executives,AMERICAN ALLIANCE OF ORTHOPAEDIC EXECUTIVES,FOURTH QUARTER REPORT,"8,621.00",1/12/2018,2017
IN,American Alliance of Orthopaedic Executives,AMERICAN ALLIANCE OF ORTHOPAEDIC EXECUTIVES,FOURTH QUARTER REPORT,,1/16/2016,2015
IN,American Alliance of Orthopaedic Executives,AMERICAN ALLIANCE OF ORTHOPAEDIC EXECUTIVES,FIRST QUARTER REPORT,,4/12/2019,2019
IN,American Alliance of Orthopaedic Executives,AMERICAN ALLIANCE OF ORTHOPAEDIC EXECUTIVES,FIRST QUARTER REPORT,,4/13/2018,2018
IN,American Alliance of Orthopaedic Executives,AMERICAN ALLIANCE OF ORTHOPAEDIC EXECUTIVES,FIRST QUARTER REPORT,"16,691.00",4/14/2015,2015
IN,American Alliance of Orthopaedic Executives,AMERICAN ALLIANCE OF ORTHOPAEDIC EXECUTIVES,FIRST QUARTER REPORT,,4/17/2017,2017
IN,American Alliance of Orthopaedic Executives,AMERICAN ALLIANCE OF ORTHOPAEDIC EXECUTIVES,FIRST QUARTER REPORT,,4/19/2016,2016
IN,American Alliance of Orthopaedic Executives,AMERICAN ALLIANCE OF ORTHOPAEDIC EXECUTIVES,REGISTRATION,,6/23/2014,2014
IN,American Alliance of Orthopaedic Executives,AMERICAN ALLIANCE OF ORTHOPAEDIC EXECUTIVES,SECOND QUARTER REPORT,,7/13/2016,2016
IN,American Alliance of Orthopaedic Executives,AMERICAN ALLIANCE OF ORTHOPAEDIC EXECUTIVES,SECOND QUARTER REPORT,,7/13/2018,2018
IN,American Alliance of Orthopaedic Executives,AMERICAN ALLIANCE OF ORTHOPAEDIC EXECUTIVES,SECOND QUARTER REPORT,,7/15/2015,2015
IN,American Alliance of Orthopaedic Executives,AMERICAN ALLIANCE OF ORTHOPAEDIC EXECUTIVES,SECOND QUARTER REPORT,"5,588.00",7/21/2017,2017
IN,American Alliance of Orthopaedic Executives,AMERICAN ALLIANCE OF ORTHOPAEDIC EXECUTIVES,SECOND QUARTER REPORT,,7/25/2019,2019
