State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,THIRD QUARTER REPORT,"604,953.00",1/2/2014,2013
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER REPORT,"633,350.00",1/18/2013,2012
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER REPORT,"1,334,107.00",1/18/2019,2018
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER REPORT,"899,020.00",1/19/2010,2009
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER REPORT,"813,013.00",1/19/2012,2011
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER REPORT,"626,287.00",1/19/2017,2016
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER REPORT,"897,384.00",1/19/2018,2017
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER REPORT,"3,119,054.00",1/20/2009,2008
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER REPORT,"389,199.00",1/20/2011,2010
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,THIRD QUARTER AMENDMENT,"1,105,409.00",1/20/2011,2010
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER REPORT,"717,664.00",1/20/2014,2013
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER REPORT,"2,438,717.00",1/20/2015,2014
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER REPORT,"875,940.00",1/20/2016,2015
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER AMENDMENT,"514,251.00",1/21/2015,2014
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER AMENDMENT,"2,438,717.00",1/21/2015,2014
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,SECOND QUARTER AMENDMENT,"627,558.00",1/21/2015,2014
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,THIRD QUARTER AMENDMENT,"666,947.00",1/21/2015,2014
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER REPORT,"1,218,792.00",1/21/2020,2019
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,YEAR-END REPORT,"2,694,253.00",1/30/2008,2007
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,SECOND QUARTER AMENDMENT,"547,922.00",1/30/2018,2013
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,THIRD QUARTER AMENDMENT,"749,400.00",1/30/2018,2016
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,YEAR-END REPORT,"687,251.00",2/11/2005,2004
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FIRST QUARTER AMENDMENT,"747,230.00",2/12/2013,2012
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FIRST QUARTER REPORT,"747,230.00",2/12/2013,2012
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,YEAR-END REPORT,"1,096,326.00",2/13/2001,2000
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,YEAR-END REPORT,"983,599.00",2/13/2006,2005
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,YEAR-END REPORT,"903,802.00",2/20/2007,2006
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,YEAR-END (NO ACTIVITY),"653,292.00",2/21/2003,2002
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,YEAR-END REPORT,"903,802.00",2/21/2007,2006
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,YEAR-END REPORT,"1,200,000.00",3/5/2002,2001
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FIRST QUARTER REPORT,"629,961.00",4/18/2014,2014
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FIRST QUARTER REPORT,"747,230.00",4/19/2012,2011
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FIRST QUARTER REPORT,"649,304.00",4/19/2013,2013
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FIRST QUARTER REPORT,"715,182.00",4/19/2016,2016
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FIRST QUARTER REPORT,"779,764.00",4/20/2009,2009
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER AMENDMENT,"755,699.00",4/20/2009,2008
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,SECOND QUARTER AMENDMENT,"934,646.00",4/20/2009,2008
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,THIRD QUARTER AMENDMENT,"755,146.00",4/20/2009,2008
