State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
KY,Abell Public Policy,ResCare,FOURTH QUARTER REPORT,"10,000.00",1/24/2016,2015
KY,Abell Public Policy,ResCare,THIRD QUARTER REPORT,"10,000.00",1/24/2016,2015
KY,Abell Public Policy,ResCare,REGISTRATION,,6/4/2015,2015
KY,Abell Public Policy,ResCare,SECOND QUARTER REPORT,"10,000.00",8/20/2015,2015
KY,Abell Public Policy,ResCare,FOURTH QUARTER TERMINATION,"10,000.00",10/16/2016,2015
KY,"Almost Family, Inc.","Almost Family, Inc.",FOURTH QUARTER REPORT,"130,000.00",1/2/2018,2017
KY,"Almost Family, Inc.","Almost Family, Inc.",FOURTH QUARTER REPORT,"150,000.00",1/6/2017,2016
KY,"Almost Family, Inc.","Almost Family, Inc.",FOURTH QUARTER REPORT,"290,000.00",1/7/2014,2013
KY,"Almost Family, Inc.","Almost Family, Inc.",FOURTH QUARTER REPORT,"200,000.00",1/8/2015,2014
KY,"Almost Family, Inc.","Almost Family, Inc.",FOURTH QUARTER REPORT,"200,000.00",1/10/2016,2015
KY,"Almost Family, Inc.","Almost Family, Inc.",REGISTRATION,,1/11/2013,2012
KY,"Almost Family, Inc.","Almost Family, Inc.",FOURTH QUARTER REPORT,"70,000.00",1/18/2013,2012
KY,"Almost Family, Inc.","Almost Family, Inc.",FIRST QUARTER REPORT,"290,000.00",4/2/2014,2014
KY,"Almost Family, Inc.","Almost Family, Inc.",FIRST QUARTER REPORT,"130,000.00",4/7/2018,2018
KY,"Almost Family, Inc.","Almost Family, Inc.",FIRST QUARTER REPORT,"150,000.00",4/11/2017,2017
KY,"Almost Family, Inc.","Almost Family, Inc.",FIRST QUARTER REPORT,"200,000.00",4/12/2015,2015
KY,"Almost Family, Inc.","Almost Family, Inc.",FIRST QUARTER REPORT,"150,000.00",4/15/2016,2016
KY,"Almost Family, Inc.","Almost Family, Inc.",SECOND QUARTER REPORT,"200,000.00",7/5/2015,2015
KY,"Almost Family, Inc.","Almost Family, Inc.",SECOND QUARTER REPORT,"80,000.00",7/5/2018,2018
KY,"Almost Family, Inc.","Almost Family, Inc.",SECOND QUARTER REPORT,"290,000.00",7/6/2014,2014
KY,"Almost Family, Inc.","Almost Family, Inc.",SECOND QUARTER REPORT,"150,000.00",7/6/2017,2017
KY,"Almost Family, Inc.","Almost Family, Inc.",SECOND QUARTER REPORT,"150,000.00",7/7/2016,2016
KY,"Almost Family, Inc.","Almost Family, Inc.",THIRD QUARTER REPORT,"290,000.00",10/3/2013,2013
