State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
LA,Akin Gump Strauss Hauer & Feld,"OncoLogics, Inc.",FOURTH QUARTER REPORT,"20,000.00",1/19/2010,2009
LA,Akin Gump Strauss Hauer & Feld,"OncoLogics, Inc.",FIRST QUARTER REPORT,"30,000.00",4/18/2009,2009
LA,Akin Gump Strauss Hauer & Feld,"OncoLogics, Inc.",FIRST QUARTER REPORT,,4/19/2010,2010
LA,Akin Gump Strauss Hauer & Feld,"OncoLogics, Inc.",SECOND QUARTER REPORT,,7/17/2010,2010
LA,Akin Gump Strauss Hauer & Feld,"OncoLogics, Inc.",SECOND QUARTER REPORT,"40,000.00",7/18/2009,2009
LA,Akin Gump Strauss Hauer & Feld,"OncoLogics, Inc.",SECOND QUARTER REPORT,"10,000.00",7/19/2011,2011
LA,Akin Gump Strauss Hauer & Feld,"OncoLogics, Inc.",THIRD QUARTER REPORT,"50,000.00",10/19/2009,2009
LA,ALSTON & BIRD LLP,National Association for Behavioral Health,FOURTH QUARTER REPORT,"60,000.00",1/21/2009,2008
LA,ALSTON & BIRD LLP,National Association for Behavioral Health,FIRST QUARTER REPORT,"20,000.00",4/20/2009,2009
LA,ALSTON & BIRD LLP,National Association for Behavioral Health,REGISTRATION,,5/7/2008,2008
LA,ALSTON & BIRD LLP,National Association for Behavioral Health,SECOND QUARTER REPORT,"60,000.00",7/21/2008,2008
LA,ALSTON & BIRD LLP,National Association for Behavioral Health,THIRD QUARTER REPORT,"60,000.00",10/20/2008,2008
LA,"Amedisys, Inc.","Amedisys, Inc.",FOURTH QUARTER REPORT,"220,000.00",1/11/2019,2018
LA,"Amedisys, Inc.","Amedisys, Inc.",FOURTH QUARTER REPORT,"240,000.00",1/13/2020,2019
LA,"Amedisys, Inc.","Amedisys, Inc.",FOURTH QUARTER REPORT,"210,000.00",1/16/2018,2017
LA,"Amedisys, Inc.","Amedisys, Inc.",FOURTH QUARTER REPORT,"297,719.00",1/21/2014,2013
LA,"Amedisys, Inc.","Amedisys, Inc.",FOURTH QUARTER REPORT,"80,000.00",1/23/2017,2016
LA,"Amedisys, Inc.","Amedisys, Inc.",REGISTRATION,,2/19/2013,2013
LA,"Amedisys, Inc.","Amedisys, Inc.",FOURTH QUARTER AMENDMENT,"290,000.00",3/25/2019,2018
LA,"Amedisys, Inc.","Amedisys, Inc.",FIRST QUARTER REPORT,"270,000.00",4/15/2019,2019
LA,"Amedisys, Inc.","Amedisys, Inc.",FIRST QUARTER REPORT,"210,000.00",4/19/2017,2017
LA,"Amedisys, Inc.","Amedisys, Inc.",FIRST QUARTER REPORT,"190,000.00",4/19/2018,2018
LA,"Amedisys, Inc.","Amedisys, Inc.",FIRST QUARTER TERMINATION,"240,000.00",4/21/2014,2014
LA,"Amedisys, Inc.","Amedisys, Inc.",FIRST QUARTER REPORT,"277,700.00",4/22/2013,2013
LA,"Amedisys, Inc.","Amedisys, Inc.",SECOND QUARTER REPORT,"150,000.00",7/13/2018,2018
LA,"Amedisys, Inc.","Amedisys, Inc.",SECOND QUARTER REPORT,"60,000.00",7/18/2017,2017
LA,"Amedisys, Inc.","Amedisys, Inc.",SECOND QUARTER REPORT,"250,000.00",7/18/2019,2019
LA,"Amedisys, Inc.","Amedisys, Inc.",REGISTRATION AMENDMENT,,8/2/2016,2016
LA,"Amedisys, Inc.","Amedisys, Inc.",THIRD QUARTER REPORT,"190,000.00",10/16/2018,2018
LA,"Amedisys, Inc.","Amedisys, Inc.",THIRD QUARTER REPORT,"260,000.00",10/17/2019,2019
LA,"Amedisys, Inc.","Amedisys, Inc.",THIRD QUARTER REPORT,"130,000.00",10/20/2016,2016
LA,"Amedisys, Inc.","Amedisys, Inc.",THIRD QUARTER REPORT,"120,000.00",10/20/2017,2017
LA,Armory Hill Advocates (formerly known as Rawlson Policy Group),LHC Group Inc.,FOURTH QUARTER REPORT,"10,000.00",2/18/2019,2018
LA,Armory Hill Advocates (formerly known as Rawlson Policy Group),LHC Group Inc.,FOURTH QUARTER REPORT,"15,000.00",2/20/2020,2019
LA,Armory Hill Advocates (formerly known as Rawlson Policy Group),LHC Group Inc.,FIRST QUARTER REPORT,"15,000.00",5/22/2019,2019
LA,Armory Hill Advocates (formerly known as Rawlson Policy Group),LHC Group Inc.,SECOND QUARTER REPORT,"15,000.00",8/15/2019,2019
LA,Armory Hill Advocates (formerly known as Rawlson Policy Group),LHC Group Inc.,REGISTRATION,,11/15/2018,2018
LA,Armory Hill Advocates (formerly known as Rawlson Policy Group),LHC Group Inc.,THIRD QUARTER REPORT,"15,000.00",12/2/2019,2019
LA,Avenue Solutions,Amedisys Home Health and Hospice Care,FOURTH QUARTER REPORT,"60,000.00",1/18/2020,2019
LA,Avenue Solutions,Amedisys Home Health and Hospice Care,FOURTH QUARTER REPORT,"40,000.00",1/21/2019,2018
LA,Avenue Solutions,Amedisys Home Health and Hospice Care,FIRST QUARTER REPORT,"60,000.00",4/19/2019,2019
LA,Avenue Solutions,Amedisys Home Health and Hospice Care,SECOND QUARTER REPORT,"60,000.00",7/19/2019,2019
LA,Avenue Solutions,Amedisys Home Health and Hospice Care,THIRD QUARTER REPORT,"60,000.00",10/17/2019,2019
LA,Avenue Solutions,Amedisys Home Health and Hospice Care,REGISTRATION,,11/19/2018,2018
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FOURTH QUARTER REPORT,,1/13/2017,2016
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FOURTH QUARTER REPORT,,1/18/2014,2013
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FOURTH QUARTER REPORT,,1/18/2016,2015
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,REGISTRATION,,1/19/2012,2011
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FOURTH QUARTER REPORT,,1/20/2015,2014
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FOURTH QUARTER REPORT,"10,000.00",1/22/2013,2012
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FOURTH QUARTER REPORT,,1/22/2018,2017
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FOURTH QUARTER AMENDMENT,,1/23/2012,2011
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FOURTH QUARTER REPORT,,3/1/2019,2018
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FIRST QUARTER AMENDMENT,"10,000.00",3/13/2014,2012
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FIRST QUARTER REPORT,"10,000.00",4/20/2012,2012
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FIRST QUARTER REPORT,,4/20/2015,2015
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FIRST QUARTER REPORT,,4/20/2016,2016
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FIRST QUARTER REPORT,,4/20/2017,2017
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FIRST QUARTER REPORT,,4/20/2018,2018
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FIRST QUARTER REPORT,,4/21/2014,2014
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FIRST QUARTER REPORT,"10,000.00",4/22/2013,2013
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,FIRST QUARTER REPORT,,4/25/2019,2019
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,SECOND QUARTER REPORT,"10,000.00",7/13/2012,2012
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,SECOND QUARTER REPORT,,7/16/2018,2018
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,SECOND QUARTER REPORT,,7/19/2016,2016
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,SECOND QUARTER REPORT,,7/20/2015,2015
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,SECOND QUARTER REPORT,,7/21/2014,2014
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,SECOND QUARTER REPORT,"10,000.00",7/22/2013,2013
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,SECOND QUARTER REPORT,,10/1/2019,2019
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,THIRD QUARTER REPORT,,10/17/2014,2014
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,THIRD QUARTER REPORT,"10,000.00",10/18/2012,2012
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,THIRD QUARTER REPORT,,10/18/2016,2016
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,SECOND QUARTER REPORT,,10/19/2017,2017
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,THIRD QUARTER REPORT,,10/20/2015,2015
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,THIRD QUARTER REPORT,,10/20/2017,2017
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,THIRD QUARTER REPORT,,10/20/2018,2018
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Management & Supplies,THIRD QUARTER REPORT,,10/21/2013,2013
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Ochsner Hospital System,REGISTRATION,,4/21/2014,2014
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Ochsner Hospital System,FIRST QUARTER REPORT,"10,000.00",4/22/2014,2014
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Ochsner Hospital System,SECOND QUARTER REPORT,"10,000.00",7/21/2014,2014
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Ochsner Hospital System,THIRD QUARTER REPORT,"10,000.00",10/17/2014,2014
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Peoples Health Network,FOURTH QUARTER REPORT,"30,000.00",1/18/2012,2011
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Peoples Health Network,REGISTRATION,,1/19/2011,2010
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Peoples Health Network,FOURTH QUARTER REPORT,,1/20/2011,2010
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Peoples Health Network,SECOND QUARTER AMENDMENT,"15,000.00",3/13/2014,2011
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Peoples Health Network,FIRST QUARTER REPORT,,4/20/2011,2011
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Peoples Health Network,FIRST QUARTER REPORT,"10,000.00",4/20/2012,2012
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Peoples Health Network,SECOND QUARTER REPORT,"15,000.00",7/20/2011,2011
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Peoples Health Network,THIRD QUARTER REPORT,"20,000.00",10/20/2011,2011
LA,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Peoples Health Network,THIRD QUARTER REPORT,,10/21/2013,2013
LA,"Balch & Bingham, LLP","LHC Group, Inc.",REGISTRATION,,6/8/2009,2009
LA,"Balch & Bingham, LLP","LHC Group, Inc.",SECOND QUARTER REPORT,"10,000.00",7/10/2009,2009
LA,"Bockorny Group, Inc.","PHI, Inc.",REGISTRATION,,1/15/2015,2014
LA,"Bockorny Group, Inc.","PHI, Inc.",FOURTH QUARTER REPORT,"20,000.00",1/20/2016,2015
LA,"Bockorny Group, Inc.","PHI, Inc.",FIRST QUARTER REPORT,"20,000.00",4/20/2015,2015
LA,"Bockorny Group, Inc.","PHI, Inc.",FIRST QUARTER REPORT,"20,000.00",4/20/2016,2016
LA,"Bockorny Group, Inc.","PHI, Inc.",SECOND QUARTER REPORT,"20,000.00",7/20/2015,2015
LA,"Bockorny Group, Inc.","PHI, Inc.",SECOND QUARTER REPORT,"20,000.00",7/20/2016,2016
LA,"Bockorny Group, Inc.","PHI, Inc.",THIRD QUARTER TERMINATION,"10,000.00",9/1/2016,2016
LA,"Bockorny Group, Inc.","PHI, Inc.",THIRD QUARTER REPORT,"20,000.00",10/20/2015,2015
LA,Breaux Lott Leadership Group,LHC GROUP INC,FOURTH QUARTER REPORT,"60,000.00",1/15/2016,2015
LA,Breaux Lott Leadership Group,LHC GROUP INC,FIRST QUARTER REPORT,"60,000.00",4/18/2016,2016
LA,Breaux Lott Leadership Group,LHC GROUP INC,FIRST QUARTER REPORT,"10,000.00",4/21/2008,2008
LA,Breaux Lott Leadership Group,LHC GROUP INC,SECOND QUARTER REPORT,"60,000.00",7/15/2015,2015
LA,Breaux Lott Leadership Group,LHC GROUP INC,SECOND QUARTER REPORT,"30,000.00",7/18/2008,2008
LA,Breaux Lott Leadership Group,LHC GROUP INC,SECOND QUARTER REPORT,"60,000.00",7/19/2016,2016
LA,Breaux Lott Leadership Group,LHC GROUP INC,THIRD QUARTER REPORT,"60,000.00",10/20/2015,2015
