State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,FOURTH QUARTER REPORT,"20,000.00",1/13/2014,2013
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,FOURTH QUARTER REPORT,"20,000.00",1/17/2012,2011
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,FOURTH QUARTER REPORT,,1/20/2016,2015
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,FOURTH QUARTER REPORT,"10,000.00",1/20/2017,2016
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,FOURTH QUARTER REPORT,"15,000.00",1/21/2015,2014
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,FIRST QUARTER REPORT,"20,000.00",4/17/2012,2012
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,FIRST QUARTER REPORT,"20,000.00",4/19/2011,2011
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,FIRST QUARTER REPORT,"10,000.00",4/20/2015,2015
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,FIRST QUARTER REPORT,"10,000.00",4/20/2016,2016
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,FIRST QUARTER REPORT,"10,000.00",4/22/2014,2014
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,REGISTRATION,,7/13/2010,2010
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,SECOND QUARTER REPORT,"20,000.00",7/14/2014,2014
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,SECOND QUARTER REPORT,"20,000.00",7/20/2011,2011
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,SECOND QUARTER REPORT,"20,000.00",7/20/2012,2012
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,SECOND QUARTER REPORT,"10,000.00",7/20/2015,2015
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,SECOND QUARTER REPORT,"10,000.00",7/20/2016,2016
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,SECOND QUARTER REPORT,"20,000.00",10/1/2013,2013
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,THIRD QUARTER REPORT,"20,000.00",10/17/2011,2011
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,THIRD QUARTER REPORT,"20,000.00",10/20/2014,2014
