State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
MD,(C) MANAGEMENT INC.,Association of Community Cancer Centers,FOURTH QUARTER REPORT,,1/22/2018,2017
MD,(C) MANAGEMENT INC.,Association of Community Cancer Centers,FOURTH QUARTER REPORT,,1/23/2017,2016
MD,(C) MANAGEMENT INC.,Association of Community Cancer Centers,FIRST QUARTER REPORT,,4/17/2019,2019
MD,(C) MANAGEMENT INC.,Association of Community Cancer Centers,FIRST QUARTER REPORT,"20,000.00",4/20/2018,2018
MD,(C) MANAGEMENT INC.,Association of Community Cancer Centers,FIRST QUARTER REPORT,,4/25/2017,2017
MD,(C) MANAGEMENT INC.,Association of Community Cancer Centers,SECOND QUARTER REPORT,,7/20/2017,2017
MD,(C) MANAGEMENT INC.,Association of Community Cancer Centers,REGISTRATION,,8/19/2016,2016
MD,(C) MANAGEMENT INC.,Association of Community Cancer Centers,THIRD QUARTER REPORT,,10/16/2017,2017
MD,(C) MANAGEMENT INC.,Association of Community Cancer Centers,THIRD QUARTER REPORT,,10/17/2016,2016
MD,Air Force Sergeants Association,Air Force Sergeants Association,YEAR-END REPORT,"40,000.00",1/7/2000,1999
MD,Air Force Sergeants Association,Air Force Sergeants Association,YEAR-END REPORT,"40,000.00",1/7/2005,2004
MD,Air Force Sergeants Association,Air Force Sergeants Association,YEAR-END REPORT,"40,000.00",1/10/2003,2002
MD,Air Force Sergeants Association,Air Force Sergeants Association,YEAR-END REPORT,"40,000.00",1/12/2001,2000
MD,Air Force Sergeants Association,Air Force Sergeants Association,REGISTRATION AMENDMENT,,1/12/2015,2015
MD,Air Force Sergeants Association,Air Force Sergeants Association,YEAR-END REPORT,"40,000.00",1/14/2004,2003
MD,Air Force Sergeants Association,Air Force Sergeants Association,YEAR-END REPORT,"20,000.00",2/12/2007,2006
MD,Air Force Sergeants Association,Air Force Sergeants Association,YEAR-END REPORT,"40,000.00",2/13/2006,2005
MD,Air Force Sergeants Association,Air Force Sergeants Association,YEAR-END REPORT,"40,000.00",3/20/2002,2001
MD,Air Force Sergeants Association,Air Force Sergeants Association,REGISTRATION AMENDMENT,,7/1/2013,2013
