State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
MI,Alan Reuther,UAW Retiree Medical Benefits Trust,SECOND QUARTER REPORT,"15,000.00",7/1/2011,2011
MI,"ALPINE GROUP PARTNERS, LLC.",SPARROW HEALTH SYSTEM,YEAR-END REPORT,"80,000.00",2/7/2007,2006
MI,"ALPINE GROUP PARTNERS, LLC.",SPARROW HEALTH SYSTEM,REGISTRATION,,2/8/2006,2006
MI,"ALPINE GROUP PARTNERS, LLC.",SPARROW HEALTH SYSTEM,YEAR-END TERMINATION,"80,000.00",2/13/2008,2007
MI,"ALPINE GROUP PARTNERS, LLC.",SPARROW HEALTH SYSTEM,REGISTRATION,,7/19/2006,2006
MI,"ALPINE GROUP PARTNERS, LLC.",SPARROW HEALTH SYSTEM,MID-YEAR REPORT,"80,000.00",8/9/2007,2007
MI,"ALPINE GROUP PARTNERS, LLC.",SPARROW HEALTH SYSTEM,MID-YEAR REPORT,"80,000.00",8/10/2006,2006
MI,ALSTON & BIRD LLP,BNN Holdings Corp,REGISTRATION,,1/18/2013,2013
MI,ALSTON & BIRD LLP,BNN Holdings Corp,FIRST QUARTER TERMINATION,"20,000.00",4/22/2013,2013
MI,ALSTON & BIRD LLP,FORD MOTOR CO,YEAR-END REPORT,"40,000.00",2/17/2005,2004
MI,ALSTON & BIRD LLP,FORD MOTOR CO,REGISTRATION,,5/19/2004,2004
MI,ALSTON & BIRD LLP,FORD MOTOR CO,MID-YEAR TERMINATION,"20,000.00",8/12/2005,2005
MI,ALSTON & BIRD LLP,FORD MOTOR CO,MID-YEAR (NO ACTIVITY),,8/25/2004,2004
MI,ALSTON & BIRD LLP,INGHAM REGIONAL MEDICAL CENTER & SPARROW HEALTH SYSTEM,REGISTRATION,,3/9/2006,2006
MI,ALSTON & BIRD LLP,INGHAM REGIONAL MEDICAL CENTER & SPARROW HEALTH SYSTEM,MID-YEAR REPORT,"60,000.00",8/7/2006,2006
MI,ALSTON & BIRD LLP,Regents of the University of Michigan,REGISTRATION,,9/24/2018,2018
MI,Altarum Institute,Altarum Institute,FIRST QUARTER REPORT,"10,000.00",4/19/2013,2013
MI,Altarum Institute,Altarum Institute,SECOND QUARTER REPORT,,7/18/2013,2013
MI,Altarum Institute,Altarum Institute,THIRD QUARTER REPORT,"10,000.00",10/17/2011,2011
MI,American Continental Group,Access Health of Muskegon,FOURTH QUARTER REPORT,"30,000.00",1/20/2015,2014
MI,American Continental Group,Access Health of Muskegon,FIRST QUARTER TERMINATION,"20,000.00",4/16/2015,2015
MI,American Continental Group,Access Health of Muskegon,REGISTRATION,,9/10/2014,2014
MI,American Continental Group,Access Health of Muskegon,THIRD QUARTER REPORT,"30,000.00",10/17/2014,2014
MI,Arnold & Porter Kaye Scholer LLP,InfuSystem,FOURTH QUARTER REPORT,"40,000.00",1/23/2017,2016
MI,Arnold & Porter Kaye Scholer LLP,InfuSystem,REGISTRATION,,2/2/2016,2015
MI,Arnold & Porter Kaye Scholer LLP,InfuSystem,FOURTH QUARTER REPORT,,3/24/2016,2015
MI,Arnold & Porter Kaye Scholer LLP,InfuSystem,FIRST QUARTER REPORT,"40,000.00",4/19/2016,2016
MI,Arnold & Porter Kaye Scholer LLP,InfuSystem,SECOND QUARTER REPORT,"90,000.00",7/20/2016,2016
MI,Arnold & Porter Kaye Scholer LLP,InfuSystem,THIRD QUARTER REPORT,"40,000.00",10/17/2016,2016
MI,Artemis Strategies,Metro Hospital,YEAR-END TERMINATION,"40,000.00",2/12/2008,2007
MI,Artemis Strategies,Metro Hospital,REGISTRATION,,2/20/2007,2007
MI,Artemis Strategies,Metro Hospital,MID-YEAR REPORT,"40,000.00",7/27/2007,2007
MI,"Baker Healthcare Consulting, Inc.",Pennock Hospital,FOURTH QUARTER REPORT,,1/20/2010,2009
