State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,REGISTRATION,,1/11/2013,2012
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FOURTH QUARTER REPORT,"20,000.00",1/14/2013,2012
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FOURTH QUARTER REPORT,"20,000.00",1/16/2013,2012
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FOURTH QUARTER REPORT,,1/17/2019,2018
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FOURTH QUARTER REPORT,,1/18/2018,2017
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FOURTH QUARTER REPORT,,1/18/2020,2019
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FOURTH QUARTER REPORT,,1/19/2017,2016
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FOURTH QUARTER REPORT,"10,000.00",1/30/2014,2013
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FIRST QUARTER REPORT,"7,000.00",4/16/2014,2014
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FIRST QUARTER REPORT,,4/18/2016,2016
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FIRST QUARTER REPORT,,4/24/2013,2013
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FIRST QUARTER REPORT,,5/5/2017,2017
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FIRST QUARTER REPORT,,5/23/2019,2019
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FIRST QUARTER REPORT,,5/30/2018,2018
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FIRST QUARTER AMENDMENT,"7,000.00",7/14/2016,2014
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,SECOND QUARTER REPORT,,7/18/2014,2014
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,SECOND QUARTER REPORT,"10,000.00",7/18/2017,2017
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,SECOND QUARTER REPORT,"10,000.00",7/19/2016,2016
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,SECOND QUARTER REPORT,"10,000.00",7/20/2018,2018
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,SECOND QUARTER REPORT,,7/29/2013,2013
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,SECOND QUARTER REPORT,"8,000.00",9/3/2019,2019
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,THIRD QUARTER REPORT,,10/17/2016,2016
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,THIRD QUARTER REPORT,,10/19/2017,2017
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,THIRD QUARTER REPORT,,10/19/2018,2018
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,THIRD QUARTER REPORT,"20,000.00",10/20/2014,2014
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,THIRD QUARTER REPORT,,10/31/2013,2013
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,THIRD QUARTER REPORT,,12/6/2019,2019
MN,Akin Gump Strauss Hauer & Feld,"Amplifon (USA), Inc.",REGISTRATION,,3/1/2017,2017
MN,ALSTON & BIRD LLP,Fairview Health Services,FOURTH QUARTER REPORT,"80,000.00",1/16/2015,2014
MN,ALSTON & BIRD LLP,Fairview Health Services,FOURTH QUARTER REPORT,"80,000.00",1/19/2016,2015
MN,ALSTON & BIRD LLP,Fairview Health Services,FOURTH QUARTER REPORT,"70,000.00",1/20/2012,2011
MN,ALSTON & BIRD LLP,Fairview Health Services,FOURTH QUARTER REPORT,"30,000.00",1/21/2014,2013
MN,ALSTON & BIRD LLP,Fairview Health Services,FOURTH QUARTER REPORT,"80,000.00",1/21/2020,2019
MN,ALSTON & BIRD LLP,Fairview Health Services,FOURTH QUARTER REPORT,"70,000.00",1/22/2013,2012
MN,ALSTON & BIRD LLP,Fairview Health Services,FOURTH QUARTER REPORT,"80,000.00",1/22/2018,2017
MN,ALSTON & BIRD LLP,Fairview Health Services,FOURTH QUARTER REPORT,"80,000.00",1/22/2019,2018
MN,ALSTON & BIRD LLP,Fairview Health Services,FOURTH QUARTER REPORT,"80,000.00",1/23/2017,2016
MN,ALSTON & BIRD LLP,Fairview Health Services,FIRST QUARTER REPORT,"80,000.00",4/19/2015,2015
MN,ALSTON & BIRD LLP,Fairview Health Services,FIRST QUARTER REPORT,"80,000.00",4/19/2018,2018
MN,ALSTON & BIRD LLP,Fairview Health Services,FIRST QUARTER REPORT,"70,000.00",4/20/2012,2012
MN,ALSTON & BIRD LLP,Fairview Health Services,FIRST QUARTER REPORT,"80,000.00",4/20/2016,2016
MN,ALSTON & BIRD LLP,Fairview Health Services,FIRST QUARTER REPORT,"80,000.00",4/20/2017,2017
MN,ALSTON & BIRD LLP,Fairview Health Services,FIRST QUARTER REPORT,"30,000.00",4/21/2014,2014
MN,ALSTON & BIRD LLP,Fairview Health Services,FIRST QUARTER REPORT,"70,000.00",4/22/2013,2013
MN,ALSTON & BIRD LLP,Fairview Health Services,FIRST QUARTER REPORT,"80,000.00",4/22/2019,2019
MN,ALSTON & BIRD LLP,Fairview Health Services,SECOND QUARTER REPORT,"30,000.00",7/10/2014,2014
MN,ALSTON & BIRD LLP,Fairview Health Services,SECOND QUARTER REPORT,"80,000.00",7/19/2015,2015
MN,ALSTON & BIRD LLP,Fairview Health Services,SECOND QUARTER REPORT,"70,000.00",7/20/2012,2012
MN,ALSTON & BIRD LLP,Fairview Health Services,SECOND QUARTER REPORT,"80,000.00",7/20/2016,2016
MN,ALSTON & BIRD LLP,Fairview Health Services,SECOND QUARTER REPORT,"80,000.00",7/20/2017,2017
MN,ALSTON & BIRD LLP,Fairview Health Services,SECOND QUARTER REPORT,"80,000.00",7/20/2018,2018
MN,ALSTON & BIRD LLP,Fairview Health Services,SECOND QUARTER REPORT,"70,000.00",7/22/2013,2013
MN,ALSTON & BIRD LLP,Fairview Health Services,SECOND QUARTER REPORT,"80,000.00",7/22/2019,2019
MN,ALSTON & BIRD LLP,Fairview Health Services,REGISTRATION,,9/8/2011,2011
MN,ALSTON & BIRD LLP,Fairview Health Services,THIRD QUARTER REPORT,"80,000.00",10/17/2014,2014
MN,ALSTON & BIRD LLP,Fairview Health Services,THIRD QUARTER REPORT,"80,000.00",10/19/2017,2017
MN,ALSTON & BIRD LLP,Fairview Health Services,THIRD QUARTER REPORT,"80,000.00",10/19/2018,2018
MN,ALSTON & BIRD LLP,Fairview Health Services,THIRD QUARTER REPORT,"70,000.00",10/20/2011,2011
MN,ALSTON & BIRD LLP,Fairview Health Services,THIRD QUARTER REPORT,"80,000.00",10/20/2015,2015
MN,ALSTON & BIRD LLP,Fairview Health Services,THIRD QUARTER REPORT,"80,000.00",10/20/2016,2016
MN,ALSTON & BIRD LLP,Fairview Health Services,THIRD QUARTER REPORT,"10,000.00",10/21/2013,2013
MN,ALSTON & BIRD LLP,Fairview Health Services,THIRD QUARTER REPORT,"80,000.00",10/21/2019,2019
MN,ALSTON & BIRD LLP,Fairview Health Services,THIRD QUARTER REPORT,"70,000.00",10/22/2012,2012
MN,ALSTON & BIRD LLP,Lemhi Ventures,REGISTRATION,,10/19/2009,2009
MN,ALSTON & BIRD LLP,Lemhi Ventures,THIRD QUARTER REPORT,"40,000.00",10/20/2009,2009
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"80,000.00",1/16/2015,2014
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"80,000.00",1/19/2016,2015
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"80,000.00",1/20/2012,2011
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"80,000.00",1/21/2014,2013
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"80,000.00",1/21/2020,2019
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"80,000.00",1/22/2013,2012
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"80,000.00",1/22/2018,2017
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"80,000.00",1/22/2019,2018
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"80,000.00",1/23/2017,2016
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,"80,000.00",4/19/2015,2015
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,"80,000.00",4/19/2018,2018
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,"80,000.00",4/20/2012,2012
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,"80,000.00",4/20/2016,2016
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,"80,000.00",4/20/2017,2017
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,"80,000.00",4/21/2014,2014
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,"80,000.00",4/22/2013,2013
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,"80,000.00",4/22/2019,2019
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"80,000.00",7/10/2014,2014
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"80,000.00",7/19/2015,2015
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"80,000.00",7/20/2012,2012
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"80,000.00",7/20/2016,2016
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"80,000.00",7/20/2017,2017
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"80,000.00",7/20/2018,2018
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"80,000.00",7/22/2013,2013
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"80,000.00",7/22/2019,2019
MN,ALSTON & BIRD LLP,Medica,REGISTRATION,,7/26/2011,2011
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,,7/28/2011,2011
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"80,000.00",7/28/2011,2011
MN,ALSTON & BIRD LLP,Medica,THIRD QUARTER REPORT,"80,000.00",10/17/2014,2014
MN,ALSTON & BIRD LLP,Medica,THIRD QUARTER REPORT,"80,000.00",10/19/2017,2017
MN,ALSTON & BIRD LLP,Medica,THIRD QUARTER REPORT,"80,000.00",10/19/2018,2018
MN,ALSTON & BIRD LLP,Medica,THIRD QUARTER REPORT,"80,000.00",10/20/2011,2011
MN,ALSTON & BIRD LLP,Medica,THIRD QUARTER REPORT,"80,000.00",10/20/2015,2015
MN,ALSTON & BIRD LLP,Medica,THIRD QUARTER REPORT,"80,000.00",10/20/2016,2016
MN,ALSTON & BIRD LLP,Medica,THIRD QUARTER REPORT,"80,000.00",10/21/2013,2013
MN,ALSTON & BIRD LLP,Medica,THIRD QUARTER REPORT,"80,000.00",10/21/2019,2019
MN,ALSTON & BIRD LLP,Medica,THIRD QUARTER REPORT,"80,000.00",10/22/2012,2012
MN,APCO Worldwide LLC,Sage Health Management Solutions,FOURTH QUARTER REPORT,"10,000.00",1/16/2015,2014
MN,APCO Worldwide LLC,Sage Health Management Solutions,REGISTRATION,,12/11/2014,2014
MN,Arnold & Porter Kaye Scholer LLP,COLOPLAST CORPORATION (Formerly MENTOR CORPORATION),YEAR-END REPORT,"20,000.00",2/12/2007,2006
MN,Arnold & Porter Kaye Scholer LLP,COLOPLAST CORPORATION (Formerly MENTOR CORPORATION),REGISTRATION,,2/14/2006,2005
MN,Arnold & Porter Kaye Scholer LLP,COLOPLAST CORPORATION (Formerly MENTOR CORPORATION),YEAR-END REPORT,,2/14/2006,2005
MN,Arnold & Porter Kaye Scholer LLP,COLOPLAST CORPORATION (Formerly MENTOR CORPORATION),REGISTRATION AMENDMENT,,8/14/2007,2006
MN,Arnold & Porter Kaye Scholer LLP,COLOPLAST CORPORATION (Formerly MENTOR CORPORATION),REGISTRATION,,8/22/2000,2000
MN,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Neurostimulation Device Alliance,REGISTRATION,,3/13/2012,2012
MN,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Neurostimulation Device Alliance,REGISTRATION AMENDMENT,,3/13/2014,2012
