State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
MO,Air Medical Group Holdings,Air Medical Group Holdings,FOURTH QUARTER REPORT,"920,000.00",1/17/2020,2019
MO,Air Medical Group Holdings,Air Medical Group Holdings,REGISTRATION,,10/18/2019,2019
MO,Air Medical Group Holdings,Air Medical Group Holdings,THIRD QUARTER REPORT,"1,190,000.00",10/21/2019,2019
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,FOURTH QUARTER REPORT,"60,000.00",1/18/2019,2018
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,FOURTH QUARTER REPORT,"60,000.00",1/19/2017,2016
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,FOURTH QUARTER REPORT,"60,000.00",1/19/2018,2017
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,FOURTH QUARTER REPORT,"60,000.00",1/20/2015,2014
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,FOURTH QUARTER REPORT,"60,000.00",1/20/2016,2015
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,FOURTH QUARTER REPORT,"100,000.00",1/21/2014,2013
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,FOURTH QUARTER REPORT,"890,000.00",1/21/2020,2019
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,SECOND QUARTER AMENDMENT,"60,000.00",2/13/2020,2018
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,SECOND QUARTER AMENDMENT,"60,000.00",3/13/2019,2018
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,FIRST QUARTER REPORT,"60,000.00",4/19/2018,2018
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,FIRST QUARTER REPORT,"60,000.00",4/20/2015,2015
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,FIRST QUARTER REPORT,"60,000.00",4/20/2016,2016
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,FIRST QUARTER REPORT,"60,000.00",4/20/2017,2017
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,FIRST QUARTER REPORT,"60,000.00",4/21/2014,2014
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,FIRST QUARTER REPORT,"60,000.00",4/22/2019,2019
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,SECOND QUARTER REPORT,"60,000.00",7/19/2014,2014
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,SECOND QUARTER REPORT,"60,000.00",7/19/2016,2016
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,SECOND QUARTER REPORT,"60,000.00",7/20/2015,2015
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,SECOND QUARTER REPORT,"60,000.00",7/20/2017,2017
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,SECOND QUARTER REPORT,"60,000.00",7/20/2018,2018
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,SECOND QUARTER REPORT,"60,000.00",7/22/2019,2019
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,SECOND QUARTER AMENDMENT,"200,000.00",8/15/2019,2019
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,REGISTRATION,,10/3/2013,2013
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,THIRD QUARTER REPORT,"60,000.00",10/18/2014,2014
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,THIRD QUARTER REPORT,"60,000.00",10/19/2017,2017
MO,Akin Gump Strauss Hauer & Feld,Air Evac Lifeteam,THIRD QUARTER REPORT,"60,000.00",10/20/2015,2015
