State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,FOURTH QUARTER REPORT,"40,000.00",1/18/2014,2013
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,FOURTH QUARTER REPORT,"30,000.00",1/18/2016,2015
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,FOURTH QUARTER REPORT,"40,000.00",1/19/2012,2011
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,FOURTH QUARTER REPORT,"30,000.00",1/20/2015,2014
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,FOURTH QUARTER REPORT,"40,000.00",1/22/2013,2012
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,REGISTRATION AMENDMENT,,3/13/2014,2011
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,FIRST QUARTER REPORT,"20,000.00",4/20/2012,2012
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,FIRST QUARTER REPORT,"40,000.00",4/20/2015,2015
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,FIRST QUARTER REPORT,"30,000.00",4/20/2016,2016
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,FIRST QUARTER REPORT,,4/20/2017,2017
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,FIRST QUARTER REPORT,"40,000.00",4/21/2014,2014
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,FIRST QUARTER REPORT,"40,000.00",4/22/2013,2013
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,REGISTRATION,,6/15/2011,2011
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,SECOND QUARTER REPORT,"20,000.00",7/13/2012,2012
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,SECOND QUARTER REPORT,"20,000.00",7/17/2017,2017
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,SECOND QUARTER REPORT,"30,000.00",7/20/2011,2011
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,SECOND QUARTER REPORT,"40,000.00",7/20/2015,2015
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,SECOND QUARTER REPORT,"30,000.00",7/21/2014,2014
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,SECOND QUARTER REPORT,"40,000.00",7/22/2013,2013
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,THIRD QUARTER REPORT,"30,000.00",10/17/2014,2014
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,THIRD QUARTER REPORT,"40,000.00",10/18/2012,2012
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,THIRD QUARTER REPORT,"40,000.00",10/20/2011,2011
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,THIRD QUARTER REPORT,"30,000.00",10/20/2015,2015
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,THIRD QUARTER REPORT,"40,000.00",10/21/2013,2013
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,AIS PainCare,FOURTH QUARTER REPORT,"20,000.00",1/17/2020,2019
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,AIS PainCare,FOURTH QUARTER REPORT,"30,000.00",1/19/2019,2018
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,AIS PainCare,FOURTH QUARTER REPORT,"30,000.00",1/22/2018,2017
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,AIS PainCare,FIRST QUARTER REPORT,"30,000.00",4/20/2018,2018
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,AIS PainCare,FIRST QUARTER REPORT,"10,000.00",4/25/2019,2019
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,AIS PainCare,REGISTRATION,,6/6/2017,2017
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,AIS PainCare,FIRST QUARTER REPORT,,6/22/2017,2017
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,AIS PainCare,SECOND QUARTER REPORT,"10,000.00",7/14/2019,2019
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,AIS PainCare,SECOND QUARTER REPORT,"30,000.00",7/16/2018,2018
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,AIS PainCare,SECOND QUARTER AMENDMENT,"20,000.00",7/18/2018,2018
