State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
MT,Consulting With Communities Inc.,Yellowstone Boys and Girls Ranch,REGISTRATION,,4/16/2013,2013
MT,Consulting With Communities Inc.,Yellowstone Boys and Girls Ranch,REGISTRATION AMENDMENT,,5/29/2014,2014
MT,DRINKER BIDDLE & REATH LLP,Benefis Health System,REGISTRATION,,6/2/2015,2015
MT,DRINKER BIDDLE & REATH LLP,Benefis Health System,SECOND QUARTER REPORT,,7/16/2015,2015
MT,"Greenberg Traurig, LLP",DRY PRAIRIE RURAL WATER AUTHORITY,MID-YEAR REPORT,"100,000.00",8/14/2002,2002
MT,Greystone Group LLC,NATIONAL COUNCIL OF SOCIAL SECURITY MANAGEMENT ASSOCIATIONS,REGISTRATION,,4/11/2005,2005
MT,"HEALTH POLICY SOURCE, INC.",Billings Clinic,FOURTH QUARTER REPORT,"30,000.00",1/12/2018,2017
MT,"HEALTH POLICY SOURCE, INC.",Billings Clinic,FOURTH QUARTER REPORT,"30,000.00",1/16/2014,2013
MT,"HEALTH POLICY SOURCE, INC.",Billings Clinic,FOURTH QUARTER REPORT,"30,000.00",1/16/2015,2014
MT,"HEALTH POLICY SOURCE, INC.",Billings Clinic,FOURTH QUARTER REPORT,"30,000.00",1/16/2020,2019
MT,"HEALTH POLICY SOURCE, INC.",Billings Clinic,FOURTH QUARTER REPORT,"10,000.00",1/18/2012,2011
MT,"HEALTH POLICY SOURCE, INC.",Billings Clinic,FOURTH QUARTER REPORT,"30,000.00",1/18/2013,2012
MT,"HEALTH POLICY SOURCE, INC.",Billings Clinic,FOURTH QUARTER REPORT,"30,000.00",1/18/2019,2018
MT,"HEALTH POLICY SOURCE, INC.",Billings Clinic,FOURTH QUARTER REPORT,"30,000.00",1/19/2016,2015
MT,"HEALTH POLICY SOURCE, INC.",Billings Clinic,FOURTH QUARTER REPORT,"40,000.00",1/19/2017,2016
MT,"HEALTH POLICY SOURCE, INC.",Billings Clinic,FIRST QUARTER REPORT,"50,000.00",4/16/2015,2015
MT,"HEALTH POLICY SOURCE, INC.",Billings Clinic,FIRST QUARTER REPORT,"20,000.00",4/17/2014,2014
MT,"HEALTH POLICY SOURCE, INC.",Billings Clinic,FIRST QUARTER REPORT,"30,000.00",4/17/2018,2018
MT,"HEALTH POLICY SOURCE, INC.",Billings Clinic,FIRST QUARTER REPORT,"30,000.00",4/18/2012,2012
MT,"HEALTH POLICY SOURCE, INC.",Billings Clinic,FIRST QUARTER REPORT,"50,000.00",4/19/2017,2017
