State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
NC,ALSTON & BIRD LLP,CaroMont Health,FOURTH QUARTER REPORT,"30,000.00",1/20/2011,2010
NC,ALSTON & BIRD LLP,CaroMont Health,FOURTH QUARTER REPORT,"30,000.00",1/20/2011,2010
NC,ALSTON & BIRD LLP,CaroMont Health,FIRST QUARTER REPORT,"50,000.00",4/20/2011,2011
NC,ALSTON & BIRD LLP,CaroMont Health,SECOND QUARTER REPORT,"50,000.00",7/20/2011,2011
NC,ALSTON & BIRD LLP,CaroMont Health,THIRD QUARTER REPORT,"40,000.00",10/20/2011,2011
NC,ALSTON & BIRD LLP,CaroMont Health,REGISTRATION,,12/8/2010,2010
NC,ALSTON & BIRD LLP,"Humacyte, Inc.",FOURTH QUARTER REPORT,"40,000.00",1/19/2016,2015
NC,ALSTON & BIRD LLP,"Humacyte, Inc.",FOURTH QUARTER REPORT,"40,000.00",1/23/2017,2016
NC,ALSTON & BIRD LLP,"Humacyte, Inc.",REGISTRATION,,3/25/2015,2015
NC,ALSTON & BIRD LLP,"Humacyte, Inc.",FIRST QUARTER REPORT,"40,000.00",4/19/2015,2015
NC,ALSTON & BIRD LLP,"Humacyte, Inc.",FIRST QUARTER REPORT,"40,000.00",4/20/2016,2016
NC,ALSTON & BIRD LLP,"Humacyte, Inc.",FIRST QUARTER REPORT,"40,000.00",4/20/2017,2017
NC,ALSTON & BIRD LLP,"Humacyte, Inc.",SECOND QUARTER REPORT,"40,000.00",7/19/2015,2015
NC,ALSTON & BIRD LLP,"Humacyte, Inc.",SECOND QUARTER REPORT,"40,000.00",7/20/2016,2016
NC,ALSTON & BIRD LLP,"Humacyte, Inc.",SECOND QUARTER TERMINATION,"30,000.00",7/20/2017,2017
NC,ALSTON & BIRD LLP,"Humacyte, Inc.",THIRD QUARTER REPORT,"40,000.00",10/20/2015,2015
NC,ALSTON & BIRD LLP,"Humacyte, Inc.",THIRD QUARTER REPORT,"40,000.00",10/20/2016,2016
NC,Armory Hill Advocates (formerly known as Rawlson Policy Group),Curo Health Services,FOURTH QUARTER REPORT,"30,000.00",1/22/2018,2017
NC,Armory Hill Advocates (formerly known as Rawlson Policy Group),Curo Health Services,FOURTH QUARTER REPORT,"30,000.00",2/18/2019,2018
NC,Armory Hill Advocates (formerly known as Rawlson Policy Group),Curo Health Services,FIRST QUARTER REPORT,"22,500.00",4/26/2017,2017
NC,Armory Hill Advocates (formerly known as Rawlson Policy Group),Curo Health Services,FIRST QUARTER REPORT,,5/22/2019,2019
NC,Armory Hill Advocates (formerly known as Rawlson Policy Group),Curo Health Services,FIRST QUARTER REPORT,"30,000.00",5/29/2018,2018
NC,Armory Hill Advocates (formerly known as Rawlson Policy Group),Curo Health Services,SECOND QUARTER REPORT,"22,500.00",7/19/2017,2017
NC,Armory Hill Advocates (formerly known as Rawlson Policy Group),Curo Health Services,SECOND QUARTER REPORT,"30,000.00",8/12/2018,2018
NC,Armory Hill Advocates (formerly known as Rawlson Policy Group),Curo Health Services,THIRD QUARTER REPORT,"30,000.00",10/24/2017,2017
NC,Armory Hill Advocates (formerly known as Rawlson Policy Group),Curo Health Services,THIRD QUARTER REPORT,"30,000.00",11/15/2018,2018
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,FOURTH QUARTER REPORT,"26,803.00",1/10/2017,2016
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,FOURTH QUARTER REPORT,"11,736.00",1/11/2016,2015
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,FOURTH QUARTER REPORT,"32,515.00",1/14/2014,2013
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,FOURTH QUARTER REPORT,"35,544.00",1/15/2015,2014
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,FOURTH QUARTER REPORT,"12,856.00",1/18/2013,2012
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,FOURTH QUARTER REPORT,"33,514.00",1/19/2012,2011
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,FOURTH QUARTER REPORT,"29,186.00",1/19/2018,2017
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,YEAR-END REPORT,"160,000.00",2/1/2002,2001
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,YEAR-END REPORT,"180,000.00",2/2/2004,2003
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,YEAR-END REPORT,"160,000.00",2/6/2004,2002
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,YEAR-END REPORT,"380,000.00",2/13/2007,2006
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,YEAR-END REPORT,"160,000.00",2/15/2001,2000
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,YEAR-END REPORT,"480,000.00",2/23/2005,2004
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,YEAR-END REPORT,"460,000.00",2/24/2006,2005
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,YEAR-END REPORT,"340,000.00",3/4/2008,2007
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,YEAR-END REPORT,"180,000.00",3/22/2004,2003
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,FOURTH QUARTER AMENDMENT,"33,416.00",4/10/2018,2017
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,THIRD QUARTER AMENDMENT,"7,669.00",4/10/2018,2017
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,FIRST QUARTER REPORT,"500,480.00",4/13/2017,2017
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,FIRST QUARTER REPORT,"160,359.00",4/17/2008,2008
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,FIRST QUARTER REPORT,"58,855.00",4/18/2013,2013
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,FIRST QUARTER REPORT,"54,116.00",4/18/2016,2016
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,FIRST QUARTER REPORT,"69,229.00",4/20/2015,2015
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,FIRST QUARTER REPORT,"60,478.00",4/21/2014,2014
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,SECOND QUARTER REPORT,"232,669.00",5/4/2009,2008
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,SECOND QUARTER REPORT,"7,655.00",7/12/2017,2017
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,SECOND QUARTER REPORT,"104,034.00",7/19/2012,2012
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,SECOND QUARTER REPORT,"8,309.00",7/19/2013,2013
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,SECOND QUARTER REPORT,"12,258.00",7/20/2016,2016
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,SECOND QUARTER REPORT,"28,392.00",7/21/2014,2014
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,SECOND QUARTER REPORT,"12,018.00",7/22/2015,2015
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,MID-YEAR REPORT,"100,000.00",8/10/2001,2001
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,MID-YEAR REPORT,"400,000.00",8/10/2007,2007
NC,Atrium Health-Formerly known as Carolinas HealthCare System,ATRIUM HEALTH - FORMERLY KNOWN AS CAROLINAS HEALTHCARE SYSTEM,MID-YEAR REPORT,"520,000.00",8/13/2004,2004
