State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
NE,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN SOCIETY OF GENERAL SURGEONS,YEAR-END REPORT,"20,000.00",2/9/2006,2005
NE,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN SOCIETY OF GENERAL SURGEONS,YEAR-END TERMINATION,,2/12/2007,2006
NE,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN SOCIETY OF GENERAL SURGEONS,YEAR-END REPORT,"24,000.00",2/13/2003,2002
NE,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN SOCIETY OF GENERAL SURGEONS,YEAR-END REPORT,"36,000.00",2/14/2000,1999
NE,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN SOCIETY OF GENERAL SURGEONS,YEAR-END REPORT,"21,000.00",2/14/2001,2000
NE,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN SOCIETY OF GENERAL SURGEONS,YEAR-END REPORT,"21,000.00",2/14/2002,2001
NE,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN SOCIETY OF GENERAL SURGEONS,YEAR-END REPORT,"27,000.00",2/14/2005,2004
NE,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN SOCIETY OF GENERAL SURGEONS,YEAR-END REPORT,"24,000.00",2/17/2004,2003
NE,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN SOCIETY OF GENERAL SURGEONS,MID-YEAR REPORT,"21,000.00",8/11/2000,2000
NE,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN SOCIETY OF GENERAL SURGEONS,MID-YEAR REPORT,"20,000.00",8/12/2005,2005
NE,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN SOCIETY OF GENERAL SURGEONS,MID-YEAR REPORT,"24,000.00",8/13/2003,2003
NE,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN SOCIETY OF GENERAL SURGEONS,MID-YEAR REPORT,"21,000.00",8/14/2001,2001
NE,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN SOCIETY OF GENERAL SURGEONS,MID-YEAR REPORT,"24,000.00",8/14/2002,2002
NE,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN SOCIETY OF GENERAL SURGEONS,MID-YEAR REPORT,"20,000.00",8/16/1999,1999
NE,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN SOCIETY OF GENERAL SURGEONS,MID-YEAR REPORT,"27,000.00",8/16/2004,2004
NE,"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",AMERICAN SOCIETY OF GENERAL SURGEONS,MID-YEAR REPORT,,8/26/2006,2006
NE,DRINKER BIDDLE & REATH LLP,College of Psychiatric and Neurologic Pharmacists,FIRST QUARTER REPORT,"20,000.00",4/17/2018,2018
NE,DRINKER BIDDLE & REATH LLP,College of Psychiatric and Neurologic Pharmacists,SECOND QUARTER REPORT,"20,000.00",7/17/2018,2018
NE,Faegre Baker Daniels Consulting,HONOReform - Hepatitis Outbreak National Organization for HONOReform,FOURTH QUARTER REPORT,"21,000.00",1/15/2009,2008
NE,Faegre Baker Daniels Consulting,HONOReform - Hepatitis Outbreak National Organization for HONOReform,REGISTRATION,,2/12/2008,2007
NE,Faegre Baker Daniels Consulting,HONOReform - Hepatitis Outbreak National Organization for HONOReform,YEAR-END REPORT,"40,000.00",2/13/2008,2007
NE,Faegre Baker Daniels Consulting,HONOReform - Hepatitis Outbreak National Organization for HONOReform,FIRST QUARTER AMENDMENT,"20,000.00",5/19/2008,2008
NE,Faegre Baker Daniels Consulting,HONOReform - Hepatitis Outbreak National Organization for HONOReform,REGISTRATION AMENDMENT,,7/11/2008,2008
NE,Faegre Baker Daniels Consulting,HONOReform - Hepatitis Outbreak National Organization for HONOReform,SECOND QUARTER AMENDMENT,"30,000.00",7/16/2008,2008
NE,Faegre Baker Daniels Consulting,HONOReform - Hepatitis Outbreak National Organization for HONOReform,THIRD QUARTER REPORT,"20,000.00",10/20/2008,2008
NE,"Hall, Render, Killian, Heath & Lyman, P.C.",Bryan Health,FOURTH QUARTER REPORT,,1/9/2017,2016
NE,"Hall, Render, Killian, Heath & Lyman, P.C.",Bryan Health,FIRST QUARTER TERMINATION,,4/5/2017,2017
NE,"Hall, Render, Killian, Heath & Lyman, P.C.",Bryan Health,REGISTRATION,,9/21/2016,2016
NE,"Hall, Render, Killian, Heath & Lyman, P.C.",Bryan Health,THIRD QUARTER REPORT,,10/20/2016,2016
NE,HOUSER CONSULTING SERVICES,INTEGRIGUARD,REGISTRATION,,4/10/2006,2006
NE,Kutak Rock LLP,OMNIUM WORLDWIDE INC,YEAR-END REPORT,,2/13/2002,2001
NE,Kutak Rock LLP,OMNIUM WORLDWIDE INC,MID-YEAR REPORT,,8/10/2001,2001
NE,Kutak Rock LLP,OMNIUM WORLDWIDE INC,REGISTRATION,,8/10/2001,2001
NE,Kutak Rock LLP,OMNIUM WORLDWIDE INC,REGISTRATION,,8/10/2001,2001
NE,Kutak Rock LLP,OMNIUM WORLDWIDE INC,MID-YEAR REPORT,,8/13/2002,2002
NE,Kutak Rock LLP,OMNIUM WORLDWIDE INC,MID-YEAR REPORT,,8/13/2002,2002
NE,"Liberty Partners Group, LLC",Bryan Health,REGISTRATION,,1/19/2017,2016
NE,"Liberty Partners Group, LLC",Bryan Health,FOURTH QUARTER TERMINATION,,1/20/2017,2016
NE,MOSAIC,MOSAIC,FOURTH QUARTER REPORT,,1/6/2017,2016
NE,MOSAIC,MOSAIC,FOURTH QUARTER REPORT,,1/13/2014,2013
NE,MOSAIC,MOSAIC,FOURTH QUARTER REPORT,,1/14/2019,2018
NE,MOSAIC,MOSAIC,FOURTH QUARTER REPORT,,1/17/2013,2012
NE,MOSAIC,MOSAIC,FOURTH QUARTER REPORT,,1/17/2018,2017
NE,MOSAIC,MOSAIC,FOURTH QUARTER REPORT,,1/18/2016,2015
NE,MOSAIC,MOSAIC,FOURTH QUARTER AMENDMENT,,1/20/2015,2013
NE,MOSAIC,MOSAIC,FOURTH QUARTER REPORT,,1/20/2020,2019
NE,MOSAIC,MOSAIC,YEAR-END REPORT,,1/22/2003,2002
NE,MOSAIC,MOSAIC,YEAR-END REPORT,"20,000.00",2/15/2000,1999
NE,MOSAIC,MOSAIC,YEAR-END REPORT,"20,000.00",2/20/2001,2000
NE,MOSAIC,MOSAIC,FIRST QUARTER REPORT,"24,222.00",4/4/2011,2011
NE,MOSAIC,MOSAIC,FIRST QUARTER REPORT,,4/4/2019,2019
NE,MOSAIC,MOSAIC,FIRST QUARTER REPORT,,4/12/2018,2018
NE,MOSAIC,MOSAIC,FIRST QUARTER REPORT,,4/17/2017,2017
NE,MOSAIC,MOSAIC,FIRST QUARTER REPORT,,4/20/2016,2016
NE,MOSAIC,MOSAIC,FIRST QUARTER REPORT,,4/22/2013,2013
NE,MOSAIC,MOSAIC,SECOND QUARTER REPORT,,7/1/2019,2019
NE,MOSAIC,MOSAIC,SECOND QUARTER REPORT,,7/5/2017,2017
NE,MOSAIC,MOSAIC,SECOND QUARTER REPORT,,7/11/2018,2018
NE,MOSAIC,MOSAIC,SECOND QUARTER REPORT,"25,356.00",7/12/2011,2011
NE,MOSAIC,MOSAIC,SECOND QUARTER REPORT,"8,146.00",7/17/2012,2012
NE,MOSAIC,MOSAIC,SECOND QUARTER REPORT,,7/17/2015,2015
NE,MOSAIC,MOSAIC,SECOND QUARTER REPORT,,7/19/2016,2016
NE,MOSAIC,MOSAIC,SECOND QUARTER REPORT,,7/22/2013,2013
NE,MOSAIC,MOSAIC,MID-YEAR REPORT,,7/29/2002,2002
NE,MOSAIC,MOSAIC,MID-YEAR REPORT,"20,000.00",8/9/2004,2004
NE,MOSAIC,MOSAIC,MID-YEAR REPORT,"20,000.00",8/12/1999,1999
NE,MOSAIC,MOSAIC,MID-YEAR REPORT,"20,000.00",8/16/2000,2000
NE,MOSAIC,MOSAIC,MID-YEAR REPORT,,8/18/2003,2003
NE,MOSAIC,MOSAIC,THIRD QUARTER REPORT,,9/30/2019,2019
NE,MOSAIC,MOSAIC,THIRD QUARTER REPORT,,10/11/2013,2013
NE,MOSAIC,MOSAIC,THIRD QUARTER REPORT,,10/12/2017,2017
NE,MOSAIC,MOSAIC,THIRD QUARTER REPORT,"22,651.00",10/13/2011,2011
NE,MOSAIC,MOSAIC,THIRD QUARTER REPORT,"9,770.00",10/15/2012,2012
NE,MOSAIC,MOSAIC,THIRD QUARTER REPORT,,10/16/2014,2014
NE,MOSAIC,MOSAIC,THIRD QUARTER REPORT,,10/17/2018,2018
NE,MOSAIC,MOSAIC,THIRD QUARTER REPORT,,10/19/2015,2015
NE,MOSAIC,MOSAIC,THIRD QUARTER REPORT,,10/20/2016,2016
