State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
NH,Akin Gump Strauss Hauer & Feld,Dartmouth-Hitchcock Medical Center,FOURTH QUARTER REPORT,"20,000.00",1/19/2015,2014
NH,Akin Gump Strauss Hauer & Feld,Dartmouth-Hitchcock Medical Center,FOURTH QUARTER REPORT,"10,000.00",1/20/2016,2015
NH,Akin Gump Strauss Hauer & Feld,Dartmouth-Hitchcock Medical Center,FIRST QUARTER REPORT,,4/18/2015,2015
NH,Akin Gump Strauss Hauer & Feld,Dartmouth-Hitchcock Medical Center,FIRST QUARTER REPORT,,4/19/2016,2016
NH,Akin Gump Strauss Hauer & Feld,Dartmouth-Hitchcock Medical Center,SECOND QUARTER REPORT,,7/20/2015,2015
NH,Akin Gump Strauss Hauer & Feld,Dartmouth-Hitchcock Medical Center,SECOND QUARTER TERMINATION,,7/20/2016,2016
NH,Akin Gump Strauss Hauer & Feld,Dartmouth-Hitchcock Medical Center,THIRD QUARTER REPORT,"20,000.00",10/20/2015,2015
NH,Akin Gump Strauss Hauer & Feld,Dartmouth-Hitchcock Medical Center,REGISTRATION,,12/5/2014,2014
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FOURTH QUARTER REPORT,"10,000.00",1/12/2010,2009
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FOURTH QUARTER REPORT,"10,000.00",1/16/2009,2008
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FOURTH QUARTER REPORT,"7,800.00",1/16/2018,2017
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FOURTH QUARTER REPORT,"10,000.00",1/18/2011,2010
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FOURTH QUARTER REPORT,"15,000.00",1/21/2020,2019
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FOURTH QUARTER REPORT,"15,000.00",1/22/2019,2018
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,REGISTRATION,,2/26/2008,2008
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FIRST QUARTER REPORT,"10,000.00",4/16/2009,2009
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FIRST QUARTER REPORT,"10,000.00",4/18/2008,2008
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FIRST QUARTER REPORT,"10,000.00",4/19/2010,2010
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FIRST QUARTER REPORT,"10,000.00",4/19/2018,2018
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,FIRST QUARTER REPORT,"15,000.00",4/19/2019,2019
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,SECOND QUARTER REPORT,"10,000.00",7/1/2010,2010
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,SECOND QUARTER REPORT,"10,000.00",7/2/2009,2009
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,SECOND QUARTER REPORT,"10,000.00",7/8/2008,2008
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,SECOND QUARTER REPORT,"15,000.00",7/18/2019,2019
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,SECOND QUARTER REPORT,"10,000.00",7/19/2018,2018
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,THIRD QUARTER REPORT,"10,000.00",10/12/2009,2009
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,THIRD QUARTER REPORT,"10,000.00",10/12/2010,2010
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,THIRD QUARTER REPORT,"10,000.00",10/14/2008,2008
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,THIRD QUARTER REPORT,"15,000.00",10/14/2019,2019
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,THIRD QUARTER REPORT,"7,800.00",10/20/2017,2017
NH,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,THIRD QUARTER REPORT,"15,000.00",10/21/2018,2018
NH,DEKA RESEARCH & DEVELOPMENT CORP,DEKA RESEARCH & DEVELOPMENT CORP,REGISTRATION,,8/14/2002,2002
NH,"Foley & Lardner, LLP",Novocure Inc.,FOURTH QUARTER REPORT,"180,000.00",1/20/2020,2019
NH,"Foley & Lardner, LLP",Novocure Inc.,SECOND QUARTER REPORT,"120,000.00",7/22/2019,2019
NH,"Foley & Lardner, LLP",Novocure Inc.,THIRD QUARTER REPORT,"140,000.00",10/21/2019,2019
NH,"Foley & Lardner, LLP",Novocure Inc.,REGISTRATION,,10/25/2017,2017
NH,McDermott Will & Emery LLP,MEDICAL METRX SOLUTIONS,YEAR-END REPORT,,2/7/2008,2007
NH,McDermott Will & Emery LLP,MEDICAL METRX SOLUTIONS,YEAR-END TERMINATION AMENDMENT,,2/7/2008,2007
NH,McDermott Will & Emery LLP,MEDICAL METRX SOLUTIONS,YEAR-END REPORT,"40,000.00",2/12/2007,2006
NH,McDermott Will & Emery LLP,MEDICAL METRX SOLUTIONS,YEAR-END REPORT,"40,000.00",2/13/2006,2005
NH,McDermott Will & Emery LLP,MEDICAL METRX SOLUTIONS,MID-YEAR REPORT,,5/30/2007,2005
NH,McDermott Will & Emery LLP,MEDICAL METRX SOLUTIONS,REGISTRATION,,6/3/2005,2005
NH,McDermott Will & Emery LLP,MEDICAL METRX SOLUTIONS,MID-YEAR REPORT,,7/26/2007,2007
NH,McDermott Will & Emery LLP,MEDICAL METRX SOLUTIONS,MID-YEAR REPORT,,7/28/2006,2006
NH,Peck Madigan Jones,"InnovaCare, Inc.",FOURTH QUARTER REPORT,"80,000.00",1/17/2020,2019
NH,Peck Madigan Jones,"InnovaCare, Inc.",FOURTH QUARTER REPORT,"80,000.00",1/18/2019,2018
NH,Peck Madigan Jones,"InnovaCare, Inc.",FOURTH QUARTER REPORT,"80,000.00",1/20/2015,2014
NH,Peck Madigan Jones,"InnovaCare, Inc.",FOURTH QUARTER REPORT,"80,000.00",1/20/2016,2015
NH,Peck Madigan Jones,"InnovaCare, Inc.",FOURTH QUARTER REPORT,"80,000.00",1/22/2018,2017
NH,Peck Madigan Jones,"InnovaCare, Inc.",FOURTH QUARTER REPORT,"80,000.00",1/23/2017,2016
NH,Peck Madigan Jones,"InnovaCare, Inc.",FIRST QUARTER REPORT,"80,000.00",4/20/2015,2015
NH,Peck Madigan Jones,"InnovaCare, Inc.",FIRST QUARTER REPORT,"80,000.00",4/20/2016,2016
NH,Peck Madigan Jones,"InnovaCare, Inc.",FIRST QUARTER REPORT,"80,000.00",4/20/2017,2017
NH,Peck Madigan Jones,"InnovaCare, Inc.",FIRST QUARTER REPORT,"80,000.00",4/20/2018,2018
NH,Peck Madigan Jones,"InnovaCare, Inc.",FIRST QUARTER REPORT,"80,000.00",4/22/2019,2019
NH,Peck Madigan Jones,"InnovaCare, Inc.",SECOND QUARTER REPORT,"80,000.00",7/20/2015,2015
NH,Peck Madigan Jones,"InnovaCare, Inc.",SECOND QUARTER REPORT,"80,000.00",7/20/2016,2016
NH,Peck Madigan Jones,"InnovaCare, Inc.",SECOND QUARTER REPORT,"80,000.00",7/20/2017,2017
NH,Peck Madigan Jones,"InnovaCare, Inc.",SECOND QUARTER REPORT,"80,000.00",7/20/2018,2018
NH,Peck Madigan Jones,"InnovaCare, Inc.",SECOND QUARTER REPORT,"80,000.00",7/22/2019,2019
NH,Peck Madigan Jones,"InnovaCare, Inc.",FIRST QUARTER AMENDMENT,"80,000.00",8/14/2017,2016
NH,Peck Madigan Jones,"InnovaCare, Inc.",REGISTRATION,,9/2/2014,2014
NH,Peck Madigan Jones,"InnovaCare, Inc.",THIRD QUARTER REPORT,"70,000.00",10/20/2014,2014
NH,Peck Madigan Jones,"InnovaCare, Inc.",THIRD QUARTER REPORT,"80,000.00",10/20/2015,2015
NH,Peck Madigan Jones,"InnovaCare, Inc.",THIRD QUARTER REPORT,"80,000.00",10/20/2016,2016
NH,Peck Madigan Jones,"InnovaCare, Inc.",THIRD QUARTER REPORT,"80,000.00",10/20/2017,2017
NH,Peck Madigan Jones,"InnovaCare, Inc.",THIRD QUARTER REPORT,"80,000.00",10/21/2019,2019
NH,Peck Madigan Jones,"InnovaCare, Inc.",THIRD QUARTER REPORT,"80,000.00",10/22/2018,2018
NH,Rubin and Rudman LLP,Novocure Inc.,REGISTRATION,,7/18/2014,2014
NH,Sidley Austin LLP,Novocure Inc.,FOURTH QUARTER REPORT,"10,000.00",1/20/2015,2014
NH,Sidley Austin LLP,Novocure Inc.,FIRST QUARTER REPORT,"60,000.00",4/20/2015,2015
NH,Sidley Austin LLP,Novocure Inc.,REGISTRATION,,7/17/2014,2013
NH,Sidley Austin LLP,Novocure Inc.,FIRST QUARTER AMENDMENT,"30,000.00",7/21/2014,2014
NH,Sidley Austin LLP,Novocure Inc.,FOURTH QUARTER AMENDMENT,"30,000.00",7/21/2014,2013
NH,Sidley Austin LLP,Novocure Inc.,SECOND QUARTER AMENDMENT,"130,000.00",7/21/2014,2014
NH,Sidley Austin LLP,Novocure Inc.,THIRD QUARTER REPORT,"140,000.00",10/17/2014,2014
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,FOURTH QUARTER REPORT,,1/20/2016,2015
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,FOURTH QUARTER REPORT,,1/20/2020,2019
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,FOURTH QUARTER REPORT,,1/21/2014,2013
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,FOURTH QUARTER REPORT,,1/21/2015,2014
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,FOURTH QUARTER REPORT,,1/21/2019,2018
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,FOURTH QUARTER REPORT,,1/22/2018,2017
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,FOURTH QUARTER REPORT,,1/23/2017,2016
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,THIRD QUARTER AMENDMENT,,2/1/2018,2016
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,REGISTRATION,,2/7/2013,2013
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,FIRST QUARTER REPORT,,4/17/2013,2013
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,FIRST QUARTER REPORT,,4/17/2014,2014
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,FIRST QUARTER REPORT,,4/17/2015,2015
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,FIRST QUARTER REPORT,,4/18/2019,2019
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,FIRST QUARTER REPORT,,4/19/2016,2016
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,FIRST QUARTER REPORT,,4/19/2018,2018
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,FIRST QUARTER REPORT,,4/20/2017,2017
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,SECOND QUARTER REPORT,,7/10/2015,2015
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,SECOND QUARTER REPORT,,7/12/2013,2013
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,SECOND QUARTER AMENDMENT,,7/12/2018,2017
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,SECOND QUARTER REPORT,,7/17/2014,2014
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,SECOND QUARTER REPORT,,7/19/2016,2016
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,SECOND QUARTER REPORT,,7/19/2017,2017
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,SECOND QUARTER REPORT,,7/19/2018,2018
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,SECOND QUARTER REPORT,,7/19/2019,2019
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,THIRD QUARTER REPORT,,10/15/2013,2013
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,THIRD QUARTER REPORT,,10/15/2014,2014
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,THIRD QUARTER REPORT,,10/17/2017,2017
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,THIRD QUARTER REPORT,,10/17/2018,2018
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,THIRD QUARTER REPORT,,10/18/2016,2016
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,THIRD QUARTER REPORT,,10/19/2015,2015
NH,Strategic Health Care,Alice Peck Day Memorial Hospital,THIRD QUARTER REPORT,,10/22/2019,2019
NH,Strategic Health Care,Franklin Regional Hospital,FOURTH QUARTER REPORT,,1/20/2016,2015
NH,Strategic Health Care,Franklin Regional Hospital,FOURTH QUARTER REPORT,,1/20/2020,2019
NH,Strategic Health Care,Franklin Regional Hospital,FOURTH QUARTER REPORT,,1/21/2014,2013
NH,Strategic Health Care,Franklin Regional Hospital,FOURTH QUARTER REPORT,,1/21/2015,2014
NH,Strategic Health Care,Franklin Regional Hospital,FOURTH QUARTER REPORT,,1/21/2019,2018
NH,Strategic Health Care,Franklin Regional Hospital,FOURTH QUARTER REPORT,,1/22/2018,2017
NH,Strategic Health Care,Franklin Regional Hospital,FOURTH QUARTER REPORT,,1/23/2017,2016
NH,Strategic Health Care,Franklin Regional Hospital,THIRD QUARTER AMENDMENT,,2/1/2018,2016
NH,Strategic Health Care,Franklin Regional Hospital,REGISTRATION,,4/10/2013,2013
NH,Strategic Health Care,Franklin Regional Hospital,FIRST QUARTER REPORT,,4/17/2014,2014
NH,Strategic Health Care,Franklin Regional Hospital,FIRST QUARTER REPORT,,4/17/2015,2015
NH,Strategic Health Care,Franklin Regional Hospital,FIRST QUARTER REPORT,,4/18/2013,2013
NH,Strategic Health Care,Franklin Regional Hospital,FIRST QUARTER REPORT,,4/18/2019,2019
NH,Strategic Health Care,Franklin Regional Hospital,FIRST QUARTER REPORT,,4/19/2018,2018
NH,Strategic Health Care,Franklin Regional Hospital,FIRST QUARTER REPORT,,4/20/2016,2016
NH,Strategic Health Care,Franklin Regional Hospital,FIRST QUARTER REPORT,,4/20/2017,2017
NH,Strategic Health Care,Franklin Regional Hospital,SECOND QUARTER REPORT,,7/12/2013,2013
NH,Strategic Health Care,Franklin Regional Hospital,SECOND QUARTER AMENDMENT,,7/12/2018,2017
NH,Strategic Health Care,Franklin Regional Hospital,SECOND QUARTER REPORT,,7/16/2015,2015
NH,Strategic Health Care,Franklin Regional Hospital,SECOND QUARTER REPORT,,7/17/2014,2014
NH,Strategic Health Care,Franklin Regional Hospital,SECOND QUARTER REPORT,,7/19/2016,2016
NH,Strategic Health Care,Franklin Regional Hospital,SECOND QUARTER REPORT,,7/19/2017,2017
NH,Strategic Health Care,Franklin Regional Hospital,SECOND QUARTER REPORT,,7/19/2018,2018
NH,Strategic Health Care,Franklin Regional Hospital,SECOND QUARTER REPORT,,7/19/2019,2019
NH,Strategic Health Care,Franklin Regional Hospital,THIRD QUARTER REPORT,,10/15/2013,2013
NH,Strategic Health Care,Franklin Regional Hospital,THIRD QUARTER REPORT,,10/15/2014,2014
NH,Strategic Health Care,Franklin Regional Hospital,THIRD QUARTER REPORT,,10/17/2017,2017
NH,Strategic Health Care,Franklin Regional Hospital,THIRD QUARTER REPORT,,10/17/2018,2018
NH,Strategic Health Care,Franklin Regional Hospital,THIRD QUARTER REPORT,,10/18/2016,2016
NH,Strategic Health Care,Franklin Regional Hospital,THIRD QUARTER REPORT,,10/19/2015,2015
NH,Strategic Health Care,Franklin Regional Hospital,THIRD QUARTER REPORT,,10/22/2019,2019
NH,Strategic Health Care,ST JOSEPH HOSPITAL,FOURTH QUARTER REPORT,"27,000.00",1/14/2009,2008
NH,Strategic Health Care,ST JOSEPH HOSPITAL,FOURTH QUARTER REPORT,"27,000.00",1/15/2010,2009
NH,Strategic Health Care,ST JOSEPH HOSPITAL,FOURTH QUARTER REPORT,"36,000.00",1/17/2011,2010
NH,Strategic Health Care,ST JOSEPH HOSPITAL,YEAR-END REPORT,,2/7/2008,2007
NH,Strategic Health Care,ST JOSEPH HOSPITAL,REGISTRATION,,3/26/2004,2004
NH,Strategic Health Care,ST JOSEPH HOSPITAL,FIRST QUARTER REPORT,"27,000.00",4/13/2010,2010
NH,Strategic Health Care,ST JOSEPH HOSPITAL,FIRST QUARTER REPORT,"9,000.00",4/16/2009,2009
NH,Strategic Health Care,ST JOSEPH HOSPITAL,FIRST QUARTER REPORT,"27,000.00",4/18/2008,2008
NH,Strategic Health Care,ST JOSEPH HOSPITAL,SECOND QUARTER REPORT,"27,000.00",7/9/2010,2010
NH,Strategic Health Care,ST JOSEPH HOSPITAL,SECOND QUARTER REPORT,"27,000.00",7/15/2008,2008
NH,Strategic Health Care,ST JOSEPH HOSPITAL,SECOND QUARTER REPORT,"27,000.00",7/15/2009,2009
NH,Strategic Health Care,ST JOSEPH HOSPITAL,SECOND QUARTER AMENDMENT,"27,000.00",7/17/2008,2008
NH,Strategic Health Care,ST JOSEPH HOSPITAL,THIRD QUARTER REPORT,"27,000.00",10/12/2010,2010
NH,Strategic Health Care,ST JOSEPH HOSPITAL,THIRD QUARTER REPORT,"36,000.00",10/17/2008,2008
NH,Strategic Health Care,ST JOSEPH HOSPITAL,FIRST QUARTER AMENDMENT,"27,000.00",10/18/2010,2010
NH,Strategic Health Care,ST JOSEPH HOSPITAL,THIRD QUARTER AMENDMENT,"27,000.00",10/18/2010,2009
NH,Strategic Health Care,ST JOSEPH HOSPITAL,THIRD QUARTER AMENDMENT,"36,000.00",10/18/2010,2008
NH,Strategic Health Care,ST JOSEPH HOSPITAL,THIRD QUARTER REPORT,"27,000.00",10/19/2009,2009
