State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
NJ,ACUITY STRATEGIC PARTNERS LLC,"Amicus Therapeutics, Inc.",FOURTH QUARTER REPORT,"20,000.00",1/10/2020,2019
NJ,ACUITY STRATEGIC PARTNERS LLC,"Amicus Therapeutics, Inc.",REGISTRATION,,8/13/2019,2019
NJ,ACUITY STRATEGIC PARTNERS LLC,"Amicus Therapeutics, Inc.",THIRD QUARTER REPORT,"20,000.00",10/18/2019,2019
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FOURTH QUARTER REPORT,"60,000.00",1/18/2009,2008
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FOURTH QUARTER REPORT,"20,000.00",1/18/2015,2014
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FOURTH QUARTER REPORT,"60,000.00",1/19/2010,2009
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FOURTH QUARTER REPORT,"90,000.00",1/19/2011,2010
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FOURTH QUARTER REPORT,"20,000.00",1/19/2014,2013
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FOURTH QUARTER REPORT,"60,000.00",1/20/2012,2011
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FOURTH QUARTER REPORT,"30,000.00",1/20/2013,2012
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FOURTH QUARTER REPORT,,1/20/2016,2015
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,YEAR-END REPORT,"60,000.00",2/12/2008,2007
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,YEAR-END REPORT,"60,000.00",2/14/2001,2000
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,YEAR-END REPORT,"60,000.00",2/14/2002,2001
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,YEAR-END REPORT,"80,000.00",2/14/2003,2002
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,YEAR-END REPORT,"20,000.00",2/17/2004,2003
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FIRST QUARTER REPORT,"70,000.00",4/18/2009,2009
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FIRST QUARTER REPORT,,4/18/2015,2015
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FIRST QUARTER REPORT,"30,000.00",4/19/2008,2008
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FIRST QUARTER REPORT,"80,000.00",4/19/2010,2010
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FIRST QUARTER REPORT,"170,000.00",4/19/2011,2011
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FIRST QUARTER REPORT,,4/19/2016,2016
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FIRST QUARTER REPORT,"40,000.00",4/20/2012,2012
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FIRST QUARTER REPORT,"40,000.00",4/21/2013,2013
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FIRST QUARTER REPORT,"20,000.00",4/21/2014,2014
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,YEAR-END REPORT,,6/15/2005,2004
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,SECOND QUARTER REPORT,"120,000.00",7/17/2010,2010
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,SECOND QUARTER REPORT,"80,000.00",7/17/2011,2011
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,SECOND QUARTER REPORT,"110,000.00",7/18/2009,2009
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,FIRST QUARTER AMENDMENT,"30,000.00",7/19/2008,2008
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,SECOND QUARTER REPORT,"60,000.00",7/19/2008,2008
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,SECOND QUARTER REPORT,"30,000.00",7/19/2012,2012
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,SECOND QUARTER REPORT,"30,000.00",7/20/2013,2013
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,SECOND QUARTER REPORT,,7/20/2015,2015
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,SECOND QUARTER REPORT,"10,000.00",7/21/2014,2014
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,MID-YEAR REPORT,,8/14/2001,2001
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,MID-YEAR REPORT,"60,000.00",8/14/2002,2002
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,MID-YEAR REPORT,"40,000.00",8/14/2003,2003
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,MID-YEAR REPORT,"20,000.00",8/17/2004,2004
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,MID-YEAR REPORT,,8/22/2005,2005
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,THIRD QUARTER REPORT,"60,000.00",10/18/2008,2008
NJ,Akin Gump Strauss Hauer & Feld,BARNABAS HEALTH,THIRD QUARTER REPORT,,10/18/2014,2014
