State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
NM,American Continental Group,Roswell Regional Hospital,FOURTH QUARTER REPORT,"10,000.00",1/19/2010,2009
NM,American Continental Group,Roswell Regional Hospital,FIRST QUARTER REPORT,"10,000.00",4/7/2010,2010
NM,American Continental Group,Roswell Regional Hospital,REGISTRATION,,6/10/2009,2009
NM,American Continental Group,Roswell Regional Hospital,SECOND QUARTER REPORT,"10,000.00",7/20/2009,2009
NM,American Continental Group,Roswell Regional Hospital,SECOND QUARTER REPORT,"10,000.00",7/20/2010,2010
NM,American Continental Group,Roswell Regional Hospital,THIRD QUARTER REPORT,"10,000.00",10/7/2009,2009
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FOURTH QUARTER REPORT,"15,000.00",1/3/2020,2019
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FOURTH QUARTER REPORT,"65,000.00",1/13/2011,2010
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,YEAR-END REPORT,"100,000.00",1/14/2004,2003
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FOURTH QUARTER REPORT,"64,000.00",1/15/2010,2009
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FOURTH QUARTER REPORT,"40,000.00",1/20/2015,2014
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FOURTH QUARTER REPORT,"42,000.00",1/21/2014,2013
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FOURTH QUARTER REPORT,"37,730.00",1/23/2013,2012
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FOURTH QUARTER REPORT,"15,000.00",1/24/2018,2017
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FOURTH QUARTER REPORT,"15,000.00",1/25/2019,2018
NM,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,FOURTH QUARTER REPORT,"94,000.00",1/28/2009,2008
