State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",REGISTRATION AMENDMENT,,9/29/2011,2008
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",REGISTRATION,,10/24/2008,2008
NV,"Cansler Consulting, LLC","The LifeCare Group, LLC",REGISTRATION,,7/14/2011,2011
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,FOURTH QUARTER REPORT,"60,000.00",1/19/2010,2009
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,FOURTH QUARTER REPORT,"60,000.00",1/19/2011,2010
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,FOURTH QUARTER REPORT,"60,000.00",1/20/2012,2011
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,FIRST QUARTER REPORT,"60,000.00",4/17/2012,2012
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,FIRST QUARTER REPORT,"60,000.00",4/19/2010,2010
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,FIRST QUARTER REPORT,"60,000.00",4/19/2011,2011
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,SECOND QUARTER REPORT,"60,000.00",7/19/2011,2011
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,SECOND QUARTER REPORT,"60,000.00",7/20/2010,2010
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,SECOND QUARTER REPORT,"60,000.00",7/20/2012,2012
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,THIRD QUARTER REPORT,"60,000.00",10/18/2011,2011
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,THIRD QUARTER REPORT,"40,000.00",10/20/2009,2009
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,THIRD QUARTER REPORT,"60,000.00",10/20/2010,2010
