State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
NY,"38 North Solutions, LLC",Lighthouse International,REGISTRATION,,1/21/2014,2013
NY,"38 North Solutions, LLC",Lighthouse International,FOURTH QUARTER AMENDMENT,,1/23/2014,2013
NY,"38 North Solutions, LLC",Lighthouse International,FIRST QUARTER REPORT,,4/21/2014,2014
NY,Akin Gump Strauss Hauer & Feld,ALLIANCE FOR QUALITY NURSING HOME CARE,YEAR-END TERMINATION,"120,000.00",2/14/2001,2000
NY,Akin Gump Strauss Hauer & Feld,ALLIANCE FOR QUALITY NURSING HOME CARE,REGISTRATION,,4/6/2000,2000
NY,Akin Gump Strauss Hauer & Feld,ALLIANCE FOR QUALITY NURSING HOME CARE,REGISTRATION AMENDMENT,,8/3/2000,2000
NY,Akin Gump Strauss Hauer & Feld,ALLIANCE FOR QUALITY NURSING HOME CARE,MID-YEAR REPORT,"160,000.00",8/11/2000,2000
NY,Akin Gump Strauss Hauer & Feld,BENEDICTINE HOSPITAL,YEAR-END REPORT,"20,000.00",2/14/2003,2002
NY,Akin Gump Strauss Hauer & Feld,BENEDICTINE HOSPITAL,YEAR-END REPORT,"20,000.00",2/17/2004,2003
NY,Akin Gump Strauss Hauer & Feld,BENEDICTINE HOSPITAL,REGISTRATION,,7/23/2002,2002
NY,Akin Gump Strauss Hauer & Feld,BENEDICTINE HOSPITAL,MID-YEAR REPORT,"20,000.00",8/14/2002,2002
NY,Akin Gump Strauss Hauer & Feld,BENEDICTINE HOSPITAL,MID-YEAR REPORT,,8/14/2003,2003
NY,Akin Gump Strauss Hauer & Feld,BENEDICTINE HOSPITAL,MID-YEAR REPORT,"20,000.00",8/17/2004,2004
NY,Akin Gump Strauss Hauer & Feld,GREATER NEW YORK HOSPITAL ASSN,YEAR-END REPORT,"40,000.00",2/14/2002,2001
NY,Akin Gump Strauss Hauer & Feld,GREATER NEW YORK HOSPITAL ASSN,REGISTRATION,,5/14/2002,2001
NY,Akin Gump Strauss Hauer & Feld,HealthCare Chaplaincy Network,REGISTRATION AMENDMENT,,1/6/2017,2016
NY,Akin Gump Strauss Hauer & Feld,HealthCare Chaplaincy Network,FOURTH QUARTER REPORT,"10,000.00",1/9/2017,2016
NY,Akin Gump Strauss Hauer & Feld,HealthCare Chaplaincy Network,REGISTRATION AMENDMENT,,1/9/2017,2016
NY,Akin Gump Strauss Hauer & Feld,HealthCare Chaplaincy Network,FOURTH QUARTER REPORT,"10,000.00",1/11/2018,2017
NY,Akin Gump Strauss Hauer & Feld,HealthCare Chaplaincy Network,FOURTH QUARTER TERMINATION,,1/22/2019,2018
NY,Akin Gump Strauss Hauer & Feld,HealthCare Chaplaincy Network,FIRST QUARTER REPORT,"10,000.00",4/14/2017,2017
NY,Akin Gump Strauss Hauer & Feld,HealthCare Chaplaincy Network,FIRST QUARTER REPORT,"10,000.00",4/17/2018,2018
NY,Akin Gump Strauss Hauer & Feld,HealthCare Chaplaincy Network,SECOND QUARTER REPORT,"10,000.00",7/17/2017,2017
NY,Akin Gump Strauss Hauer & Feld,HealthCare Chaplaincy Network,SECOND QUARTER REPORT,"10,000.00",7/20/2018,2018
NY,Akin Gump Strauss Hauer & Feld,HealthCare Chaplaincy Network,REGISTRATION,,8/17/2016,2016
NY,Akin Gump Strauss Hauer & Feld,HealthCare Chaplaincy Network,THIRD QUARTER REPORT,"10,000.00",10/12/2017,2017
NY,Akin Gump Strauss Hauer & Feld,HealthCare Chaplaincy Network,THIRD QUARTER REPORT,"10,000.00",10/22/2018,2018
NY,Akin Gump Strauss Hauer & Feld,KALEIDA HEALTH,FOURTH QUARTER REPORT,,1/16/2010,2009
NY,Akin Gump Strauss Hauer & Feld,KALEIDA HEALTH,FOURTH QUARTER REPORT,"10,000.00",1/18/2009,2008
NY,Akin Gump Strauss Hauer & Feld,KALEIDA HEALTH,YEAR-END REPORT,,2/10/2007,2006
NY,Akin Gump Strauss Hauer & Feld,KALEIDA HEALTH,YEAR-END REPORT,"20,000.00",2/10/2008,2007
NY,Akin Gump Strauss Hauer & Feld,KALEIDA HEALTH,YEAR-END REPORT,,2/11/2006,2005
NY,Akin Gump Strauss Hauer & Feld,KALEIDA HEALTH,FIRST QUARTER REPORT,"20,000.00",4/18/2009,2009
NY,Akin Gump Strauss Hauer & Feld,KALEIDA HEALTH,FIRST QUARTER REPORT,"10,000.00",4/18/2010,2010
NY,Akin Gump Strauss Hauer & Feld,KALEIDA HEALTH,FIRST QUARTER REPORT,"10,000.00",4/19/2008,2008
NY,Akin Gump Strauss Hauer & Feld,KALEIDA HEALTH,SECOND QUARTER REPORT,"10,000.00",7/18/2009,2009
NY,Akin Gump Strauss Hauer & Feld,KALEIDA HEALTH,SECOND QUARTER REPORT,"10,000.00",7/19/2008,2008
NY,Akin Gump Strauss Hauer & Feld,KALEIDA HEALTH,MID-YEAR REPORT,,7/29/2006,2006
NY,Akin Gump Strauss Hauer & Feld,KALEIDA HEALTH,MID-YEAR REPORT,"40,000.00",8/11/2007,2007
NY,Akin Gump Strauss Hauer & Feld,KALEIDA HEALTH,MID-YEAR REPORT,,8/22/2005,2005
NY,Akin Gump Strauss Hauer & Feld,KALEIDA HEALTH,THIRD QUARTER REPORT,,10/18/2008,2008
NY,Akin Gump Strauss Hauer & Feld,KALEIDA HEALTH,THIRD QUARTER REPORT,,10/19/2009,2009
NY,Akin Gump Strauss Hauer & Feld,KINGSTON HOSPITAL,YEAR-END REPORT,"20,000.00",2/14/2003,2002
