State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
OH,A.C. Sinagra & Associates,WEST SIDE ECUMENICAL MINISTRY,REGISTRATION,,3/12/2003,2003
OH,A.C. Sinagra & Associates,WEST SIDE ECUMENICAL MINISTRY,YEAR-END TERMINATION,,4/12/2004,2003
OH,A.C. Sinagra & Associates,WEST SIDE ECUMENICAL MINISTRY,MID-YEAR REPORT,,8/8/2003,2003
OH,Adam Greenslade,Fremont Memorial Hospital,REGISTRATION,,3/19/2008,2008
OH,Akin Gump Strauss Hauer & Feld,"Cleveland HeartLab, Inc.",FOURTH QUARTER REPORT,"10,000.00",1/20/2016,2015
OH,Akin Gump Strauss Hauer & Feld,"Cleveland HeartLab, Inc.",FIRST QUARTER REPORT,,4/20/2016,2016
OH,Akin Gump Strauss Hauer & Feld,"Cleveland HeartLab, Inc.",REGISTRATION AMENDMENT,,11/12/2015,2015
OH,Akin Gump Strauss Hauer & Feld,"Cleveland HeartLab, Inc.",THIRD QUARTER REPORT,"50,000.00",11/16/2015,2015
OH,"ALPINE GROUP PARTNERS, LLC.",CINERGY CORP,MID-YEAR REPORT,,8/3/2000,2000
OH,ALSTON & BIRD LLP,Chemed Corporation,REGISTRATION,,1/11/2007,2007
OH,ALSTON & BIRD LLP,Chemed Corporation,YEAR-END REPORT,"140,000.00",2/11/2008,2007
OH,ALSTON & BIRD LLP,Chemed Corporation,YEAR-END REPORT,,2/13/2007,2006
OH,ALSTON & BIRD LLP,Chemed Corporation,FIRST QUARTER TERMINATION,"20,000.00",4/18/2008,2008
OH,ALSTON & BIRD LLP,Medical Mutual of Ohio,FOURTH QUARTER REPORT,"80,000.00",1/20/2012,2011
OH,ALSTON & BIRD LLP,Medical Mutual of Ohio,REGISTRATION AMENDMENT,,4/12/2013,2013
OH,ALSTON & BIRD LLP,Medical Mutual of Ohio,FIRST QUARTER REPORT,"80,000.00",4/20/2012,2012
OH,ALSTON & BIRD LLP,Medical Mutual of Ohio,FIRST QUARTER REPORT,,4/22/2013,2013
