State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
OK,ANGELS OF GRACE HOME HEALTHCARE LLC,ANGELS OF GRACE HOME HEALTHCARE LLC,REGISTRATION,,3/18/2002,2002
OK,ANGELS OF GRACE HOME HEALTHCARE LLC,ANGELS OF GRACE HOME HEALTHCARE LLC,REGISTRATION,,4/25/2002,2002
OK,Arent Fox LLP,"180 Medical, Inc.",FOURTH QUARTER REPORT,"40,000.00",1/18/2013,2012
OK,Arent Fox LLP,"180 Medical, Inc.",REGISTRATION,,11/30/2012,2012
OK,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,YEAR-END REPORT,,2/24/2003,2002
OK,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,YEAR-END REPORT,,3/15/2002,2001
OK,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,YEAR-END REPORT,,3/15/2002,2001
OK,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,MID-YEAR REPORT,"20,000.00",8/7/2000,2000
OK,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,MID-YEAR REPORT,"10,000.00",8/13/1999,1999
OK,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,BLUE CROSS & BLUE SHIELD OF OKLAHOMA,MID-YEAR REPORT,,8/21/2002,2002
OK,"Capitol Decisions, Inc.",ARINC Engineering Services LLC,MID-YEAR REPORT,"20,000.00",9/16/2002,2002
OK,"Capitol Decisions, Inc.",STATE OF OKLAHOMA,MID-YEAR REPORT,"80,000.00",9/16/2002,2002
OK,"Capitol Decisions, Inc.",TULSA AIRPORT AUTHORITY,MID-YEAR REPORT,"20,000.00",8/14/2000,2000
OK,"Capitol Decisions, Inc.",VANCE DEVELOPMENT AUTHORITY,MID-YEAR REPORT,"20,000.00",8/14/2000,2000
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FOURTH QUARTER REPORT,"24,000.00",1/15/2013,2012
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FOURTH QUARTER REPORT,"22,000.00",1/16/2014,2013
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FOURTH QUARTER REPORT,"20,000.00",1/18/2015,2014
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,REGISTRATION,,1/19/2012,2012
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FOURTH QUARTER REPORT,"20,000.00",1/20/2016,2015
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FOURTH QUARTER REPORT,"20,000.00",1/20/2017,2016
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FIRST QUARTER REPORT,"12,000.00",4/12/2012,2012
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FIRST QUARTER REPORT,"22,000.00",4/15/2014,2014
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FIRST QUARTER REPORT,"20,000.00",4/15/2016,2016
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FIRST QUARTER REPORT,"24,000.00",4/16/2013,2013
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FIRST QUARTER REPORT,"20,000.00",4/17/2015,2015
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,FIRST QUARTER REPORT,"20,000.00",4/20/2017,2017
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,SECOND QUARTER REPORT,"20,000.00",7/8/2014,2014
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,SECOND QUARTER REPORT,"22,500.00",7/10/2013,2013
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,SECOND QUARTER REPORT,"48,000.00",7/12/2012,2012
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,SECOND QUARTER REPORT,"20,000.00",7/15/2015,2015
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,SECOND QUARTER REPORT,"20,000.00",7/20/2016,2016
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,SECOND QUARTER REPORT,"20,000.00",7/20/2017,2017
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,THIRD QUARTER REPORT,"22,000.00",10/8/2013,2013
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,THIRD QUARTER REPORT,"36,000.00",10/10/2012,2012
OK,Capitol Hill Consulting Group,McBride Orthopedic Hospital,THIRD QUARTER REPORT,"20,000.00",10/17/2014,2014
