State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
OR,ALSTON & BIRD LLP,"Ball Janik, LLP (on behalf of the State of Oregon)",REGISTRATION,,6/7/2011,2011
OR,ALSTON & BIRD LLP,"Ball Janik, LLP (on behalf of the State of Oregon)",SECOND QUARTER REPORT,,7/20/2011,2011
OR,ALSTON & BIRD LLP,"Ball Janik, LLP (on behalf of the State of Oregon)",THIRD QUARTER TERMINATION,,10/20/2011,2011
OR,ALSTON & BIRD LLP,Continua Health Alliance,FOURTH QUARTER REPORT,"20,000.00",1/20/2010,2009
OR,ALSTON & BIRD LLP,Continua Health Alliance,FIRST QUARTER REPORT,"20,000.00",4/20/2010,2010
OR,ALSTON & BIRD LLP,Continua Health Alliance,SECOND QUARTER TERMINATION,"10,000.00",7/20/2010,2010
OR,"Baker Healthcare Consulting, Inc.",Salem Hospital,YEAR-END TERMINATION,,2/7/2008,2007
OR,"Baker Healthcare Consulting, Inc.",Salem Hospital,YEAR-END REPORT,,2/20/2007,2006
OR,"Baker Healthcare Consulting, Inc.",Salem Hospital,YEAR-END REPORT,,2/27/2006,2005
OR,"Baker Healthcare Consulting, Inc.",Salem Hospital,MID-YEAR REPORT,,8/15/2006,2006
OR,"Baker Healthcare Consulting, Inc.",Salem Hospital,MID-YEAR REPORT,,8/15/2007,2007
OR,"Baker Healthcare Consulting, Inc.",Salem Hospital,REGISTRATION,,12/22/2005,2005
OR,Capitol Hill Consulting Group,Tonkon Torp on behalf of DeRoyal Medical Products,FIRST QUARTER REPORT,,4/20/2015,2015
OR,CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),MULTNOMAH COUNTY OREGON,REGISTRATION,,2/3/2005,2005
OR,CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),MULTNOMAH COUNTY OREGON,YEAR-END REPORT,"60,000.00",2/13/2007,2006
OR,CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),MULTNOMAH COUNTY OREGON,YEAR-END REPORT,"60,000.00",3/1/2006,2005
OR,CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),MULTNOMAH COUNTY OREGON,MID-YEAR REPORT,"40,000.00",8/14/2006,2006
OR,CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),PROVIDENCE HEALTH AND SERVICES,FOURTH QUARTER REPORT,"50,000.00",1/21/2009,2008
OR,CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),PROVIDENCE HEALTH AND SERVICES,YEAR-END REPORT,"20,000.00",2/8/2001,2000
OR,CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),PROVIDENCE HEALTH AND SERVICES,YEAR-END REPORT,"40,000.00",2/10/2003,2002
