State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
PA,Akin Gump Strauss Hauer & Feld,CATALINA MARKETING,REGISTRATION,,9/8/2005,2005
PA,Akin Gump Strauss Hauer & Feld,UPMC HEALTH SYSTEM,YEAR-END REPORT,"20,000.00",2/14/2003,2002
PA,Akin Gump Strauss Hauer & Feld,UPMC HEALTH SYSTEM,YEAR-END AMENDMENT,"20,000.00",9/24/2003,2002
PA,Akin Gump Strauss Hauer & Feld,UPMC HEALTH SYSTEM,REGISTRATION,,11/15/2002,2002
PA,AKR GOVERNMENT & POLITICAL SERVICES,DELAWARE CO CHAMBER OF COMMERCE,REGISTRATION,,8/18/2005,2005
PA,AKR GOVERNMENT & POLITICAL SERVICES,DELAWARE CO CHAMBER OF COMMERCE,REGISTRATION AMENDMENT,,9/15/2005,2005
PA,AKR GOVERNMENT & POLITICAL SERVICES,PATHWAYS PA,REGISTRATION AMENDMENT,,9/15/2005,2005
PA,"ALPINE GROUP PARTNERS, LLC.",ACA CONNECTS - AMERICA'S COMMUNICATION ASSOCIATION,MID-YEAR REPORT,"80,000.00",8/3/2000,2000
PA,ALSTON & BIRD LLP,CSL BEHRING LLC (formerly ZLB Behring),FOURTH QUARTER REPORT,"30,000.00",1/20/2010,2009
PA,ALSTON & BIRD LLP,CSL BEHRING LLC (formerly ZLB Behring),FOURTH QUARTER REPORT,"40,000.00",1/20/2011,2010
PA,ALSTON & BIRD LLP,CSL BEHRING LLC (formerly ZLB Behring),FOURTH QUARTER REPORT,"60,000.00",1/20/2012,2011
PA,ALSTON & BIRD LLP,CSL BEHRING LLC (formerly ZLB Behring),FOURTH QUARTER REPORT,"30,000.00",1/21/2009,2008
PA,ALSTON & BIRD LLP,CSL BEHRING LLC (formerly ZLB Behring),REGISTRATION,,2/8/2006,2005
PA,ALSTON & BIRD LLP,CSL BEHRING LLC (formerly ZLB Behring),YEAR-END REPORT,"80,000.00",2/8/2008,2007
PA,ALSTON & BIRD LLP,CSL BEHRING LLC (formerly ZLB Behring),YEAR-END REPORT,"80,000.00",2/14/2007,2006
PA,ALSTON & BIRD LLP,CSL BEHRING LLC (formerly ZLB Behring),MID-YEAR REPORT,"80,000.00",2/24/2006,2005
PA,ALSTON & BIRD LLP,CSL BEHRING LLC (formerly ZLB Behring),YEAR-END REPORT,"80,000.00",2/24/2006,2005
