State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
RI,"Buchanan Ingersoll & Rooney, PC","Nexus M.D., LLC",FOURTH QUARTER REPORT,"10,000.00",1/22/2019,2018
RI,"Buchanan Ingersoll & Rooney, PC","Nexus M.D., LLC",REGISTRATION,,2/1/2018,2018
RI,"Buchanan Ingersoll & Rooney, PC","Nexus M.D., LLC",FIRST QUARTER REPORT,"10,000.00",4/20/2018,2018
RI,"Buchanan Ingersoll & Rooney, PC","Nexus M.D., LLC",FIRST QUARTER REPORT,"10,000.00",4/22/2019,2019
RI,"Buchanan Ingersoll & Rooney, PC","Nexus M.D., LLC",SECOND QUARTER REPORT,"10,000.00",7/20/2018,2018
RI,"Buchanan Ingersoll & Rooney, PC","Nexus M.D., LLC",THIRD QUARTER REPORT,"10,000.00",10/16/2018,2018
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,FOURTH QUARTER REPORT,"10,000.00",1/20/2016,2015
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,FOURTH QUARTER REPORT,"10,000.00",1/21/2020,2019
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,FOURTH QUARTER REPORT,"10,000.00",1/22/2018,2017
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,FOURTH QUARTER REPORT,"10,000.00",1/22/2019,2018
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,FOURTH QUARTER REPORT,"10,000.00",1/24/2017,2016
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,REGISTRATION,,1/28/2015,2015
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,FIRST QUARTER REPORT,"10,000.00",4/20/2016,2016
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,FIRST QUARTER REPORT,"10,000.00",4/20/2018,2018
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,FIRST QUARTER REPORT,"10,000.00",4/21/2015,2015
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,FIRST QUARTER REPORT,"10,000.00",4/21/2017,2017
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,FIRST QUARTER REPORT,"10,000.00",4/22/2019,2019
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,SECOND QUARTER REPORT,"10,000.00",7/13/2017,2017
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,SECOND QUARTER REPORT,"10,000.00",7/20/2015,2015
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,SECOND QUARTER REPORT,"10,000.00",7/20/2016,2016
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,SECOND QUARTER REPORT,"10,000.00",7/20/2018,2018
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,SECOND QUARTER REPORT,"10,000.00",7/22/2019,2019
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,THIRD QUARTER REPORT,"10,000.00",10/9/2015,2015
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,THIRD QUARTER REPORT,"10,000.00",10/19/2017,2017
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,THIRD QUARTER REPORT,"10,000.00",10/20/2016,2016
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,THIRD QUARTER REPORT,"10,000.00",10/21/2019,2019
RI,"Capitol City Group, Ltd.",CharterCARE Health Partners,THIRD QUARTER REPORT,"10,000.00",10/22/2018,2018
RI,"Capitol City Group, Ltd.",LANDMARK MEDICAL CENTER,REGISTRATION,,1/7/2000,2000
RI,"Capitol City Group, Ltd.",Neighborhood Health Plan of Rhode Island,FOURTH QUARTER REPORT,"10,000.00",1/17/2014,2013
RI,"Capitol City Group, Ltd.",Neighborhood Health Plan of Rhode Island,FOURTH QUARTER REPORT,"10,000.00",1/20/2015,2014
RI,"Capitol City Group, Ltd.",Neighborhood Health Plan of Rhode Island,FOURTH QUARTER REPORT,"10,000.00",1/20/2016,2015
RI,"Capitol City Group, Ltd.",Neighborhood Health Plan of Rhode Island,FOURTH QUARTER REPORT,"10,000.00",1/21/2020,2019
RI,"Capitol City Group, Ltd.",Neighborhood Health Plan of Rhode Island,FOURTH QUARTER REPORT,"10,000.00",1/22/2018,2017
RI,"Capitol City Group, Ltd.",Neighborhood Health Plan of Rhode Island,FOURTH QUARTER REPORT,"10,000.00",1/22/2019,2018
RI,"Capitol City Group, Ltd.",Neighborhood Health Plan of Rhode Island,FOURTH QUARTER REPORT,"10,000.00",1/24/2017,2016
RI,"Capitol City Group, Ltd.",Neighborhood Health Plan of Rhode Island,REGISTRATION,,3/28/2011,2011
RI,"Capitol City Group, Ltd.",Neighborhood Health Plan of Rhode Island,FIRST QUARTER REPORT,"10,000.00",4/19/2013,2013
