State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
SC,Arnold & Porter Kaye Scholer LLP,Society for Excellence in Eyecare,REGISTRATION AMENDMENT,,1/2/2019,2019
SC,Arnold & Porter Kaye Scholer LLP,Society for Excellence in Eyecare,FOURTH QUARTER REPORT,"10,000.00",1/16/2020,2019
SC,Arnold & Porter Kaye Scholer LLP,Society for Excellence in Eyecare,FIRST QUARTER REPORT,"10,000.00",4/22/2019,2019
SC,Arnold & Porter Kaye Scholer LLP,Society for Excellence in Eyecare,SECOND QUARTER REPORT,"10,000.00",7/19/2019,2019
SC,Arnold & Porter Kaye Scholer LLP,Society for Excellence in Eyecare,THIRD QUARTER REPORT,"10,000.00",10/18/2019,2019
SC,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,CareCore National,FOURTH QUARTER REPORT,"20,000.00",1/11/2016,2015
SC,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,CareCore National,FOURTH QUARTER REPORT,,1/14/2015,2014
SC,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,CareCore National,REGISTRATION,,1/29/2014,2014
SC,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,CareCore National,FIRST QUARTER REPORT,"20,000.00",4/11/2014,2014
SC,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,CareCore National,FIRST QUARTER TERMINATION,"20,000.00",4/14/2016,2016
SC,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,CareCore National,FIRST QUARTER REPORT,,4/15/2015,2015
SC,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,CareCore National,SECOND QUARTER REPORT,,7/20/2015,2015
SC,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,CareCore National,SECOND QUARTER REPORT,"20,000.00",7/21/2014,2014
SC,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,CareCore National,THIRD QUARTER REPORT,"20,000.00",10/9/2015,2015
SC,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,CareCore National,THIRD QUARTER REPORT,,10/16/2014,2014
SC,"Baker Healthcare Consulting, Inc.",CAROLINAS HOSPITAL SYSTEM,YEAR-END TERMINATION,,2/23/2005,2004
SC,"Baker Healthcare Consulting, Inc.",CAROLINAS HOSPITAL SYSTEM,REGISTRATION,,10/29/2004,2004
SC,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,FOURTH QUARTER REPORT,"341,505.00",1/15/2009,2008
SC,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,FOURTH QUARTER REPORT,"300,874.00",1/15/2010,2009
SC,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,FOURTH QUARTER REPORT,"222,329.00",1/20/2011,2010
SC,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,FOURTH QUARTER REPORT,"184,468.00",1/27/2012,2011
SC,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,YEAR-END REPORT,"30,000.00",1/28/2005,2004
SC,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,YEAR-END REPORT,,2/13/2003,2002
SC,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,YEAR-END REPORT,"160,000.00",2/19/2008,2007
SC,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,YEAR-END REPORT,"130,000.00",2/26/2007,2006
SC,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,YEAR-END REPORT,,3/19/2002,2001
SC,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,FIRST QUARTER REPORT,"345,818.00",4/16/2009,2009
