State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
SD,ALSTON & BIRD LLP,COALITION OF FULL SERVICE COMMUNITY HOSPITALS,FOURTH QUARTER REPORT,"60,000.00",1/21/2009,2008
SD,ALSTON & BIRD LLP,COALITION OF FULL SERVICE COMMUNITY HOSPITALS,YEAR-END REPORT,"120,000.00",2/8/2008,2007
SD,ALSTON & BIRD LLP,COALITION OF FULL SERVICE COMMUNITY HOSPITALS,FIRST QUARTER REPORT,"60,000.00",4/18/2008,2008
SD,ALSTON & BIRD LLP,COALITION OF FULL SERVICE COMMUNITY HOSPITALS,FIRST QUARTER TERMINATION,"40,000.00",4/20/2009,2009
SD,ALSTON & BIRD LLP,COALITION OF FULL SERVICE COMMUNITY HOSPITALS,YEAR-END AMENDMENT,"120,000.00",5/1/2008,2007
SD,ALSTON & BIRD LLP,COALITION OF FULL SERVICE COMMUNITY HOSPITALS,REGISTRATION,,5/12/2005,2005
SD,ALSTON & BIRD LLP,COALITION OF FULL SERVICE COMMUNITY HOSPITALS,SECOND QUARTER REPORT,"60,000.00",7/21/2008,2008
SD,ALSTON & BIRD LLP,COALITION OF FULL SERVICE COMMUNITY HOSPITALS,MID-YEAR REPORT,"40,000.00",8/12/2005,2005
SD,ALSTON & BIRD LLP,COALITION OF FULL SERVICE COMMUNITY HOSPITALS,THIRD QUARTER REPORT,"60,000.00",10/20/2008,2008
SD,"Bockorny Group, Inc.",Sanford Health,FOURTH QUARTER REPORT,"50,000.00",1/19/2017,2016
SD,"Bockorny Group, Inc.",Sanford Health,FOURTH QUARTER REPORT,"60,000.00",1/20/2010,2009
SD,"Bockorny Group, Inc.",Sanford Health,FOURTH QUARTER REPORT,"60,000.00",1/20/2011,2010
SD,"Bockorny Group, Inc.",Sanford Health,FOURTH QUARTER REPORT,"50,000.00",1/20/2012,2011
SD,"Bockorny Group, Inc.",Sanford Health,FOURTH QUARTER REPORT,"50,000.00",1/20/2014,2013
SD,"Bockorny Group, Inc.",Sanford Health,FOURTH QUARTER REPORT,"50,000.00",1/20/2015,2014
SD,"Bockorny Group, Inc.",Sanford Health,FOURTH QUARTER REPORT,"50,000.00",1/20/2016,2015
SD,"Bockorny Group, Inc.",Sanford Health,FOURTH QUARTER REPORT,"60,000.00",1/21/2009,2008
SD,"Bockorny Group, Inc.",Sanford Health,FOURTH QUARTER REPORT,"50,000.00",1/22/2013,2012
SD,"Bockorny Group, Inc.",Sanford Health,YEAR-END REPORT,"120,000.00",2/8/2008,2007
SD,"Bockorny Group, Inc.",Sanford Health,FIRST QUARTER REPORT,"50,000.00",4/19/2013,2013
SD,"Bockorny Group, Inc.",Sanford Health,FIRST QUARTER REPORT,"60,000.00",4/20/2009,2009
SD,"Bockorny Group, Inc.",Sanford Health,FIRST QUARTER REPORT,"60,000.00",4/20/2010,2010
SD,"Bockorny Group, Inc.",Sanford Health,FIRST QUARTER REPORT,"50,000.00",4/20/2012,2012
SD,"Bockorny Group, Inc.",Sanford Health,FIRST QUARTER REPORT,"50,000.00",4/20/2015,2015
SD,"Bockorny Group, Inc.",Sanford Health,FIRST QUARTER REPORT,"50,000.00",4/20/2016,2016
SD,"Bockorny Group, Inc.",Sanford Health,FIRST QUARTER REPORT,"60,000.00",4/21/2008,2008
SD,"Bockorny Group, Inc.",Sanford Health,FIRST QUARTER REPORT,"50,000.00",4/21/2014,2014
SD,"Bockorny Group, Inc.",Sanford Health,YEAR-END REPORT,"100,000.00",6/14/2007,2006
SD,"Bockorny Group, Inc.",Sanford Health,SECOND QUARTER REPORT,"60,000.00",7/20/2009,2009
SD,"Bockorny Group, Inc.",Sanford Health,SECOND QUARTER REPORT,"60,000.00",7/20/2010,2010
SD,"Bockorny Group, Inc.",Sanford Health,SECOND QUARTER REPORT,"50,000.00",7/20/2012,2012
SD,"Bockorny Group, Inc.",Sanford Health,SECOND QUARTER REPORT,"50,000.00",7/20/2015,2015
SD,"Bockorny Group, Inc.",Sanford Health,SECOND QUARTER REPORT,"50,000.00",7/20/2016,2016
SD,"Bockorny Group, Inc.",Sanford Health,SECOND QUARTER REPORT,"60,000.00",7/21/2008,2008
SD,"Bockorny Group, Inc.",Sanford Health,SECOND QUARTER REPORT,"50,000.00",7/21/2014,2014
SD,"Bockorny Group, Inc.",Sanford Health,SECOND QUARTER REPORT,"50,000.00",7/22/2013,2013
SD,"Bockorny Group, Inc.",Sanford Health,THIRD QUARTER AMENDMENT,"50,000.00",7/27/2012,2011
SD,"Bockorny Group, Inc.",Sanford Health,MID-YEAR REPORT,"120,000.00",8/14/2007,2007
SD,"Bockorny Group, Inc.",Sanford Health,THIRD QUARTER REPORT,"60,000.00",10/17/2008,2008
SD,"Bockorny Group, Inc.",Sanford Health,THIRD QUARTER REPORT,"60,000.00",10/20/2009,2009
SD,"Bockorny Group, Inc.",Sanford Health,THIRD QUARTER REPORT,"60,000.00",10/20/2010,2010
SD,"Bockorny Group, Inc.",Sanford Health,THIRD QUARTER REPORT,"60,000.00",10/20/2011,2011
SD,"Bockorny Group, Inc.",Sanford Health,THIRD QUARTER REPORT,"50,000.00",10/20/2014,2014
SD,"Bockorny Group, Inc.",Sanford Health,THIRD QUARTER REPORT,"50,000.00",10/20/2015,2015
SD,"Bockorny Group, Inc.",Sanford Health,THIRD QUARTER REPORT,"50,000.00",10/20/2016,2016
SD,"Bockorny Group, Inc.",Sanford Health,THIRD QUARTER REPORT,"50,000.00",10/21/2013,2013
SD,"Bockorny Group, Inc.",Sanford Health,THIRD QUARTER REPORT,"50,000.00",10/22/2012,2012
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FOURTH QUARTER REPORT,"40,000.00",1/17/2014,2013
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FOURTH QUARTER REPORT,"40,000.00",1/17/2020,2019
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FOURTH QUARTER REPORT,"40,000.00",1/18/2019,2018
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FOURTH QUARTER REPORT,"40,000.00",1/19/2017,2016
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FOURTH QUARTER REPORT,"40,000.00",1/19/2018,2017
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FOURTH QUARTER REPORT,"30,000.00",1/20/2010,2009
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FOURTH QUARTER REPORT,"30,000.00",1/20/2011,2010
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FOURTH QUARTER REPORT,"30,000.00",1/20/2012,2011
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FOURTH QUARTER REPORT,"40,000.00",1/20/2015,2014
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FOURTH QUARTER REPORT,"40,000.00",1/20/2016,2015
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FOURTH QUARTER REPORT,"40,000.00",1/22/2013,2012
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,SECOND QUARTER AMENDMENT,"40,000.00",1/27/2016,2014
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FIRST QUARTER REPORT,"40,000.00",4/19/2013,2013
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FIRST QUARTER REPORT,"40,000.00",4/19/2019,2019
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FIRST QUARTER REPORT,"30,000.00",4/20/2010,2010
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FIRST QUARTER REPORT,"30,000.00",4/20/2011,2011
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FIRST QUARTER REPORT,"40,000.00",4/20/2012,2012
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FIRST QUARTER REPORT,"40,000.00",4/20/2015,2015
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FIRST QUARTER REPORT,"40,000.00",4/20/2016,2016
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FIRST QUARTER REPORT,"40,000.00",4/20/2017,2017
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FIRST QUARTER REPORT,"40,000.00",4/20/2018,2018
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,FIRST QUARTER REPORT,"40,000.00",4/21/2014,2014
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,SECOND QUARTER REPORT,"30,000.00",7/20/2010,2010
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,SECOND QUARTER REPORT,"30,000.00",7/20/2011,2011
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,SECOND QUARTER REPORT,"36,000.00",7/20/2012,2012
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,SECOND QUARTER REPORT,"40,000.00",7/20/2015,2015
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,SECOND QUARTER REPORT,"40,000.00",7/20/2016,2016
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,SECOND QUARTER REPORT,"40,000.00",7/20/2017,2017
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,SECOND QUARTER REPORT,"40,000.00",7/20/2018,2018
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,SECOND QUARTER REPORT,"40,000.00",7/21/2014,2014
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,SECOND QUARTER REPORT,"40,000.00",7/22/2013,2013
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,SECOND QUARTER REPORT,"40,000.00",7/22/2019,2019
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,REGISTRATION,,10/7/2009,2009
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,THIRD QUARTER REPORT,"40,000.00",10/19/2018,2018
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,THIRD QUARTER REPORT,"10,000.00",10/20/2009,2009
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,THIRD QUARTER REPORT,"30,000.00",10/20/2010,2010
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,THIRD QUARTER REPORT,"30,000.00",10/20/2011,2011
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,THIRD QUARTER REPORT,"40,000.00",10/20/2014,2014
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,THIRD QUARTER REPORT,"40,000.00",10/20/2015,2015
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,THIRD QUARTER REPORT,"40,000.00",10/20/2016,2016
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,THIRD QUARTER REPORT,"40,000.00",10/20/2017,2017
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,THIRD QUARTER REPORT,"40,000.00",10/21/2013,2013
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,THIRD QUARTER REPORT,"40,000.00",10/21/2019,2019
SD,"Bockorny Group, Inc.",The Evangelical Lutheran Good Samaritan Society,THIRD QUARTER REPORT,"40,000.00",10/22/2012,2012
SD,Chamber Hill Strategies,Sanford Health,FOURTH QUARTER REPORT,"60,000.00",1/13/2012,2011
SD,Chamber Hill Strategies,Sanford Health,FOURTH QUARTER REPORT,"50,000.00",1/16/2015,2014
SD,Chamber Hill Strategies,Sanford Health,FOURTH QUARTER REPORT,"60,000.00",1/17/2014,2013
SD,Chamber Hill Strategies,Sanford Health,FOURTH QUARTER REPORT,"50,000.00",1/17/2020,2019
SD,Chamber Hill Strategies,Sanford Health,FOURTH QUARTER REPORT,"60,000.00",1/18/2013,2012
SD,Chamber Hill Strategies,Sanford Health,FOURTH QUARTER REPORT,"50,000.00",1/18/2017,2016
SD,Chamber Hill Strategies,Sanford Health,FOURTH QUARTER REPORT,"50,000.00",1/18/2018,2017
