State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
TN,ABELL & PRYOR,HCA Hospital Corporation of America,REGISTRATION,,7/10/2008,2008
TN,ABELL & PRYOR,"LifePoint Hospitals, Inc",REGISTRATION,,8/1/2008,2008
TN,ABELL & PRYOR,"LifePoint Hospitals, Inc",THIRD QUARTER REPORT,"10,000.00",10/12/2008,2008
TN,ALSTON & BIRD LLP,CAPSTONE GOVERNMENT SOLUTIONS,REGISTRATION,,2/8/2006,2005
TN,ALSTON & BIRD LLP,CAPSTONE GOVERNMENT SOLUTIONS,YEAR-END REPORT,"20,000.00",2/24/2006,2005
TN,ALSTON & BIRD LLP,CAPSTONE GOVERNMENT SOLUTIONS,MID-YEAR REPORT,"80,000.00",8/4/2006,2006
TN,ALSTON & BIRD LLP,CAPSTONE GOVERNMENT SOLUTIONS,MID-YEAR TERMINATION,"80,000.00",8/17/2006,2006
TN,ALSTON & BIRD LLP,Healthways,FOURTH QUARTER REPORT,"60,000.00",1/19/2016,2015
TN,ALSTON & BIRD LLP,Healthways,FOURTH QUARTER REPORT,"50,000.00",1/20/2012,2011
TN,ALSTON & BIRD LLP,Healthways,FOURTH QUARTER REPORT,"60,000.00",1/22/2018,2017
TN,ALSTON & BIRD LLP,Healthways,FOURTH QUARTER REPORT,"60,000.00",1/23/2017,2016
TN,ALSTON & BIRD LLP,Healthways,REGISTRATION AMENDMENT,,2/9/2015,2015
TN,ALSTON & BIRD LLP,Healthways,FIRST QUARTER REPORT,"60,000.00",4/19/2015,2015
TN,ALSTON & BIRD LLP,Healthways,FIRST QUARTER REPORT,"50,000.00",4/19/2018,2018
TN,ALSTON & BIRD LLP,Healthways,FIRST QUARTER REPORT,"60,000.00",4/20/2016,2016
TN,ALSTON & BIRD LLP,Healthways,FIRST QUARTER REPORT,"60,000.00",4/20/2017,2017
TN,ALSTON & BIRD LLP,Healthways,SECOND QUARTER REPORT,"60,000.00",7/19/2015,2015
TN,ALSTON & BIRD LLP,Healthways,FIRST QUARTER TERMINATION,"50,000.00",7/19/2018,2018
TN,ALSTON & BIRD LLP,Healthways,SECOND QUARTER REPORT,"60,000.00",7/20/2016,2016
TN,ALSTON & BIRD LLP,Healthways,SECOND QUARTER REPORT,"60,000.00",7/20/2017,2017
TN,ALSTON & BIRD LLP,Healthways,REGISTRATION,,10/17/2011,2011
TN,ALSTON & BIRD LLP,Healthways,THIRD QUARTER REPORT,"60,000.00",10/19/2017,2017
TN,ALSTON & BIRD LLP,Healthways,THIRD QUARTER REPORT,"20,000.00",10/20/2011,2011
TN,ALSTON & BIRD LLP,Healthways,THIRD QUARTER REPORT,"60,000.00",10/20/2015,2015
TN,ALSTON & BIRD LLP,Healthways,THIRD QUARTER REPORT,"60,000.00",10/20/2016,2016
TN,ALSTON & BIRD LLP,TENNESSEE HOSPITAL ASSOCIATION,YEAR-END REPORT,"40,000.00",1/19/2007,2005
TN,ALSTON & BIRD LLP,TENNESSEE HOSPITAL ASSOCIATION,FOURTH QUARTER REPORT,"20,000.00",1/21/2009,2008
TN,ALSTON & BIRD LLP,TENNESSEE HOSPITAL ASSOCIATION,YEAR-END REPORT,"30,000.00",2/8/2008,2007
TN,ALSTON & BIRD LLP,TENNESSEE HOSPITAL ASSOCIATION,YEAR-END REPORT,"60,000.00",2/13/2007,2006
TN,ALSTON & BIRD LLP,TENNESSEE HOSPITAL ASSOCIATION,FIRST QUARTER AMENDMENT,"20,000.00",4/18/2008,2008
TN,ALSTON & BIRD LLP,TENNESSEE HOSPITAL ASSOCIATION,FIRST QUARTER REPORT,"20,000.00",4/18/2008,2008
TN,ALSTON & BIRD LLP,TENNESSEE HOSPITAL ASSOCIATION,FIRST QUARTER REPORT,"20,000.00",4/20/2009,2009
TN,ALSTON & BIRD LLP,TENNESSEE HOSPITAL ASSOCIATION,SECOND QUARTER TERMINATION,"20,000.00",7/20/2009,2009
TN,ALSTON & BIRD LLP,TENNESSEE HOSPITAL ASSOCIATION,SECOND QUARTER REPORT,"20,000.00",7/21/2008,2008
TN,ALSTON & BIRD LLP,TENNESSEE HOSPITAL ASSOCIATION,MID-YEAR REPORT,"60,000.00",8/6/2007,2007
TN,ALSTON & BIRD LLP,TENNESSEE HOSPITAL ASSOCIATION,MID-YEAR REPORT,"60,000.00",8/7/2006,2006
TN,ALSTON & BIRD LLP,TENNESSEE HOSPITAL ASSOCIATION,REGISTRATION,,9/23/2005,2005
TN,ALSTON & BIRD LLP,TENNESSEE HOSPITAL ASSOCIATION,THIRD QUARTER REPORT,"20,000.00",10/20/2008,2008
TN,ALSTON & BIRD LLP,"Tivity Health, Inc.",FOURTH QUARTER REPORT,"50,000.00",1/21/2020,2019
TN,ALSTON & BIRD LLP,"Tivity Health, Inc.",FOURTH QUARTER REPORT,"10,000.00",1/22/2018,2017
TN,ALSTON & BIRD LLP,"Tivity Health, Inc.",FOURTH QUARTER REPORT,"50,000.00",1/22/2019,2018
TN,ALSTON & BIRD LLP,"Tivity Health, Inc.",FIRST QUARTER REPORT,"30,000.00",4/19/2018,2018
TN,ALSTON & BIRD LLP,"Tivity Health, Inc.",FIRST QUARTER REPORT,"50,000.00",4/22/2019,2019
TN,ALSTON & BIRD LLP,"Tivity Health, Inc.",SECOND QUARTER REPORT,"50,000.00",7/20/2018,2018
TN,ALSTON & BIRD LLP,"Tivity Health, Inc.",SECOND QUARTER REPORT,"50,000.00",7/22/2019,2019
TN,ALSTON & BIRD LLP,"Tivity Health, Inc.",REGISTRATION,,10/16/2017,2017
TN,ALSTON & BIRD LLP,"Tivity Health, Inc.",THIRD QUARTER AMENDMENT,,10/20/2017,2017
TN,ALSTON & BIRD LLP,"Tivity Health, Inc.",THIRD QUARTER REPORT,"50,000.00",10/20/2018,2018
TN,ALSTON & BIRD LLP,"Tivity Health, Inc.",THIRD QUARTER REPORT,"50,000.00",10/21/2019,2019
TN,American Capitol Group,Medsoultions,FOURTH QUARTER REPORT,"45,000.00",1/14/2014,2013
TN,American Capitol Group,Medsoultions,REGISTRATION,,2/28/2013,2013
TN,American Capitol Group,Medsoultions,FIRST QUARTER REPORT,"45,000.00",4/17/2013,2013
